统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200005,25,20,小客车,4.97,69.50,69.46,0.01,997.51,3600.00
1,200011,33,21,小客车,4.98,69.60,46.43,0.00,32.88,2.55
1,200012,41,28,大客车,12.59,54.95,30.13,0.00,21.65,2.59
1,200025,55,22,小客车,4.21,54.30,40.72,0.00,25.26,2.23
1,200029,58,25,小客车,4.64,62.90,55.17,2.02,997.68,3600.00
1,200037,64,26,小客车,4.83,66.50,66.42,0.02,997.59,3600.00
1,200041,72,30,小客车,4.58,61.70,61.69,0.00,997.71,3600.00
1,200055,76,24,小客车,4.73,64.60,64.29,0.09,997.64,3600.00
1,200056,83,29,小客车,4.12,52.30,52.30,0.00,997.94,3600.00
1,200064,87,29,小客车,4.67,63.40,62.82,0.17,997.66,3600.00
1,200067,98,40,小客车,4.93,68.70,22.07,0.00,5.02,1.64
1,200071,93,27,小客车,4.84,66.90,66.85,0.01,997.58,3600.00
1,200073,99,29,小客车,4.50,60.00,33.24,0.00,18.57,2.01
1,200077,105,30,小客车,4.79,65.80,31.11,0.00,18.62,2.15
1,200086,110,24,小客车,4.84,66.80,19.92,0.00,11.98,2.16
1,200090,116,26,小客车,4.57,61.30,6.25,0.00,5.51,3.18
