统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100003,10.75,33.15,22.40,380.65,0.19,61.70
1,1,300,100004,14.35,40.90,26.55,380.78,0.44,52.50
1,1,300,100005,13.05,34.20,21.15,380.72,0.06,65.00
1,1,300,100008,14.20,36.40,22.20,380.97,1.82,67.30
1,1,300,100009,16.60,39.60,23.00,381.03,0.55,61.10
1,1,300,100011,20.55,44.40,23.85,381.29,0.35,58.40
1,1,300,100014,19.20,40.80,21.60,381.06,0.27,64.30
1,1,300,100015,27.95,54.50,26.55,381.29,0.89,53.50
1,1,300,100016,33.05,56.80,23.75,381.06,0.46,58.90
1,1,300,100017,31.15,53.10,21.95,381.46,0.22,63.20
1,1,300,100020,29.85,56.90,27.05,381.10,0.10,50.90
1,1,300,100022,36.70,62.15,25.45,380.65,0.33,54.55
1,1,300,100024,32.10,59.85,27.75,380.78,3.45,56.40
1,1,300,100025,37.10,60.30,23.20,380.72,0.51,60.40
1,1,300,100027,38.50,162.95,124.45,381.20,102.77,63.30
1,1,300,100029,41.50,167.75,126.25,380.97,106.43,69.20
1,1,300,100031,40.65,163.65,123.00,381.35,100.00,59.70
1,1,300,100033,43.55,163.50,119.95,381.62,96.86,59.50
1,1,300,100034,46.20,166.45,120.25,381.70,97.69,60.90
1,1,300,100036,50.35,167.65,117.30,381.03,90.56,51.30
1,1,300,100038,49.20,169.00,119.80,380.78,97.14,60.50
1,1,300,100040,52.20,171.50,119.30,380.78,93.87,53.90
1,1,300,100042,56.10,171.15,115.05,380.72,88.10,50.85
1,1,300,100043,55.05,169.95,114.90,380.90,95.14,69.40
1,1,300,100045,56.25,168.95,112.70,381.29,91.15,63.70
1,1,300,100048,58.65,171.30,112.65,380.99,92.60,68.40
1,1,300,100049,60.10,172.30,112.20,380.65,88.74,58.40
1,1,300,100051,63.30,173.65,110.35,381.47,90.15,68.00
1,1,300,100052,64.40,175.60,111.20,380.97,82.51,47.80
1,1,300,100054,65.90,175.95,110.05,380.78,86.09,57.20
1,1,300,100056,71.80,178.35,106.55,380.67,79.84,51.30
1,1,300,100058,69.90,175.95,106.05,381.37,84.19,62.80
1,1,300,100060,76.10,178.25,102.15,381.41,79.57,60.80
1,1,300,100061,73.05,174.15,101.10,381.15,76.33,55.40
1,1,300,100062,75.75,179.05,103.30,381.10,74.84,48.20
1,1,300,100065,79.30,176.55,97.25,381.62,74.62,60.70
1,1,300,100067,79.55,181.55,102.00,381.18,82.26,69.50
1,1,300,100069,82.95,180.65,97.70,381.03,73.46,56.60
1,1,300,100070,85.10,179.00,93.90,381.06,70.00,57.40
1,1,300,100073,84.40,180.55,96.15,380.65,74.47,63.20
1,1,300,100074,89.05,182.95,93.90,380.97,67.42,51.80
1,1,300,100076,89.45,182.90,93.45,381.17,72.21,64.60
1,1,300,100078,90.55,181.30,90.75,381.31,68.25,61.00
1,1,300,100080,93.50,183.90,90.40,380.97,64.86,53.70
1,1,300,100082,95.45,186.15,90.70,381.35,62.82,49.25
1,1,300,100084,99.35,185.10,85.75,380.97,65.55,67.90
1,1,300,100085,97.85,186.05,88.20,381.06,68.00,67.90
1,1,300,100087,100.25,188.65,88.40,381.08,68.52,69.00
1,1,300,100088,100.90,183.95,83.05,380.78,56.43,51.50
1,1,300,100090,103.65,186.20,82.55,381.49,56.83,53.40
1,1,300,100092,112.40,188.55,76.15,380.78,49.38,51.20
1,1,300,100093,114.00,192.25,78.25,380.72,47.96,45.25
1,1,300,100095,116.60,188.45,71.85,380.74,47.93,57.30
1,1,300,100097,115.20,187.30,72.10,380.90,52.26,69.10
1,1,300,100099,117.05,193.05,76.00,380.78,49.49,51.70
1,1,300,100101,120.35,189.60,69.25,380.97,44.18,54.70
1,1,300,100105,124.00,190.70,66.70,380.74,44.52,61.80
1,1,300,100106,121.70,194.75,73.05,381.46,51.96,65.10
1,1,300,100107,123.00,191.90,68.90,380.65,44.03,55.10
1,1,300,100108,127.20,192.95,65.75,381.62,43.52,61.80
1,1,300,100109,123.75,197.40,73.65,380.78,53.34,67.50
1,1,300,100111,131.25,194.10,62.85,380.97,39.08,57.70
1,1,300,100113,133.20,197.20,64.00,381.39,36.97,50.80
1,1,300,100115,136.90,196.40,59.50,380.97,34.10,54.00
1,1,300,100116,129.70,199.65,69.95,381.10,45.19,55.40
1,1,300,100118,139.05,197.50,58.45,381.53,38.77,69.80
1,1,300,100121,136.40,195.35,58.95,380.74,33.94,54.80
1,1,300,100122,143.70,199.25,55.55,380.65,29.40,52.40
1,1,300,100129,140.05,201.15,61.10,380.78,35.38,53.30
