统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200003,158,138,小客车,4.12,52.30,52.30,0.00,997.94,3600.00
1,200005,161,134,小客车,4.95,68.90,51.39,0.05,28.52,2.00
1,200007,163,126,小客车,4.42,58.50,49.76,0.07,32.26,2.33
1,200009,166,121,小客车,4.13,52.70,47.00,0.07,36.98,2.83
1,200014,168,86,小客车,4.51,60.30,42.19,0.00,24.74,2.11
1,200015,171,86,小客车,4.22,54.50,44.78,0.58,26.80,2.15
1,200023,173,33,小客车,4.41,58.10,45.92,0.18,26.60,2.09
1,200024,177,32,小客车,4.38,57.70,52.86,0.00,46.39,3.16
1,200026,186,34,小客车,4.20,54.00,53.89,0.04,997.90,3600.00
1,200027,202,35,小客车,4.22,54.50,54.50,0.00,997.89,3600.00
1,200029,204,29,小客车,4.77,65.40,53.83,0.12,35.48,2.37
1,200031,253,63,小客车,4.94,68.80,51.34,0.00,29.81,2.09
1,200034,255,32,小客车,4.93,68.70,51.62,0.00,29.44,2.05
1,200036,260,32,小客车,4.32,56.30,53.74,0.00,62.25,4.17
1,200037,264,34,小客车,4.24,54.70,52.53,0.00,106.15,7.28
1,200038,267,33,小客车,4.35,57.00,51.80,0.01,40.98,2.85
1,400003,125,86,小客车,4.42,58.50,58.50,0.00,997.79,3600.00
1,400005,128,74,小客车,4.13,52.70,50.57,0.04,52.73,3.75
1,400008,132,49,小客车,4.28,55.50,52.07,0.00,50.16,3.47
1,400010,137,19,小客车,4.51,60.30,57.02,0.00,60.88,3.84
1,400013,239,100,小客车,4.43,58.70,58.70,0.00,997.78,3600.00
1,400015,242,78,小客车,4.50,60.00,54.41,0.07,41.48,2.74
1,400020,246,49,小客车,4.38,57.70,54.81,0.01,57.11,3.75
1,400022,250,39,大客车,11.64,47.00,45.78,0.04,59.50,4.68
1,400026,298,60,小客车,4.84,66.90,66.90,0.00,997.58,3600.00
1,400027,300,63,小客车,4.94,68.80,61.71,0.09,45.09,2.63
2,200041,314,70,小客车,4.12,52.40,50.67,0.05,55.34,3.93
2,200043,318,60,小客车,4.86,67.10,60.36,0.00,50.82,3.03
2,200046,328,32,小客车,4.33,56.50,54.98,0.02,113.49,7.43
2,200047,373,74,小客车,4.55,61.00,59.63,0.02,102.34,6.18
2,200050,376,62,小客车,4.72,64.40,56.82,0.09,39.72,2.52
2,200054,379,54,小客车,4.01,50.30,48.82,0.03,57.78,4.26
2,200055,382,51,小客车,4.22,54.50,47.09,0.03,31.59,2.41
2,200059,384,33,小客车,4.73,64.60,46.65,0.01,25.33,1.95
2,200060,388,32,小客车,4.38,57.50,52.40,0.00,45.60,3.13
2,200061,435,63,小客车,4.03,50.60,49.41,0.03,63.67,4.64
2,200065,437,41,小客车,4.42,58.40,48.41,0.05,30.13,2.24
2,200068,447,28,小客车,4.78,65.50,63.21,0.00,107.62,6.13
2,200070,494,59,小客车,4.12,52.30,52.28,0.01,997.94,3600.00
2,200073,497,58,小客车,4.88,67.50,51.07,0.07,28.60,2.02
2,200077,502,29,小客车,4.68,63.60,60.14,0.00,66.66,3.99
2,200078,505,29,小客车,4.79,65.80,60.18,0.00,51.01,3.05
2,300049,332,20,小客车,5.00,70.00,41.44,0.00,8.72,1.51
2,300064,431,18,小客车,4.50,60.00,58.02,0.04,90.01,5.59
2,300075,478,19,小客车,4.68,63.60,63.58,0.01,997.66,3600.00
2,400029,303,50,小客车,4.70,64.00,56.95,0.11,43.24,2.73
2,400031,306,46,小客车,4.33,56.70,51.90,0.11,43.66,3.03
2,400034,359,61,小客车,4.35,57.00,57.00,0.00,997.82,3600.00
2,400036,363,45,小客车,4.03,50.60,48.81,0.03,53.65,3.96
2,400038,365,35,小客车,4.58,61.70,47.88,0.07,27.38,2.06
2,400042,421,48,大客车,11.79,48.25,48.25,0.00,994.10,3600.00
2,400044,424,36,小客车,4.75,64.90,47.50,0.05,25.97,1.97
2,400049,426,23,小客车,4.95,68.90,52.09,0.77,31.90,2.20
2,400051,481,62,小客车,4.22,54.50,51.43,0.11,43.95,3.08
2,400054,484,49,小客车,4.00,50.00,46.26,0.08,37.60,2.93
2,400060,538,46,小客车,4.54,60.70,60.70,0.00,997.73,3600.00
