线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4309,11路,400001,->4236,10,146.90,42.70,0,7.00,0.00,7.00,4236,1,1,30.70,30.70,63.00,0.00,0.00,63.00,7.00
4309,11路,400001,4236->,10,993.00,146.20,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400002,->4236,10,147.19,52.70,2,17.80,6.80,11.00,4236,3,1,70.70,212.10,167.00,68.00,6.80,99.00,11.00
4309,11路,400002,4236->,12,995.19,154.40,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400003,->4236,10,138.98,46.10,2,12.00,3.00,9.00,4236,2,1,64.10,128.20,111.00,30.00,3.00,81.00,9.00
4309,11路,400003,4236->,11,1001.01,168.10,1,19.80,19.80,0.00, ,0,0,0.00,0.00,217.80,217.80,19.80,0.00,0.00
4309,11路,400004,->4236,10,146.94,122.90,1,75.10,62.10,13.00,4236,4,1,110.90,443.60,738.00,621.00,62.10,117.00,13.00
4309,11路,400004,4236->,13,994.31,232.20,2,53.30,53.30,0.00, ,0,0,0.00,0.00,692.90,692.90,53.30,0.00,0.00
4309,11路,400005,->4236,10,147.06,130.10,4,70.80,61.80,9.00,4236,2,1,88.10,176.20,699.00,618.00,61.80,81.00,9.00
4309,11路,400005,4236->,11,993.23,228.40,2,61.00,61.00,0.00, ,0,0,0.00,0.00,671.00,671.00,61.00,0.00,0.00
4309,11路,400006,->4236,10,147.38,136.20,4,71.70,60.70,11.00,4236,3,1,94.20,282.60,706.00,607.00,60.70,99.00,11.00
4309,11路,400006,4236->,12,993.10,233.40,3,66.90,66.90,0.00, ,0,0,0.00,0.00,802.80,802.80,66.90,0.00,0.00
4309,11路,400007,->4236,10,147.41,115.00,2,79.40,70.40,9.00,4236,2,1,73.00,146.00,785.00,704.00,70.40,81.00,9.00
4309,11路,400007,4236->,11,606.24,192.40,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400008,->4236,10,119.57,157.40,0,0.00,0.00,0.00,4236,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400009,->4236,10,12.61,7.40,0,0.00,0.00,0.00,4236,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
