线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4327,32路,800001,16,1185.94,363.50,3,144.40,117.40,27.00,400.90,66.82,1593.50,1350.50,243.00
4327,32路,800002,18,1185.66,403.40,3,183.80,152.80,31.00,583.50,72.94,2117.60,1818.60,299.00
4327,32路,800003,17,1185.89,443.40,3,224.20,195.20,29.00,503.00,71.86,2470.00,2200.00,270.00
4327,32路,800004,11,1185.85,323.40,3,117.10,104.10,13.00,15.30,15.30,1053.90,936.90,117.00
4327,32路,800005,17,1185.62,363.40,2,151.80,122.80,29.00,550.00,78.57,1681.30,1420.30,261.00
4327,32路,800006,15,1186.58,248.70,2,31.30,6.30,25.00,351.40,70.28,288.00,63.00,225.00
4327,32路,800007,18,1186.49,286.10,2,71.50,40.50,31.00,674.70,84.34,728.60,438.60,290.00
4327,32路,800008,17,1186.23,323.40,3,110.60,81.60,29.00,564.80,80.69,1145.80,866.80,279.00
4327,32路,800009,18,903.43,296.40,1,112.30,81.30,31.00,596.90,74.61,1103.00,813.00,290.00
4327,32路,800010,11,878.54,176.40,0,19.00,0.00,19.00,15.40,15.40,165.00,0.00,165.00
4327,32路,800011,10,383.38,56.40,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
