统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,600001,257,257,社会大巴/公交车,11.91,25.00,24.04,0.01,497.02,148.86
2,100004,412,405,小汽车,4.93,34.35,25.99,0.01,498.77,138.17
2,100021,414,380,小汽车,4.36,28.55,25.68,0.01,5.52,1.55
2,100036,415,366,小汽车,4.67,31.65,25.02,0.01,4.61,1.33
2,100051,417,337,小汽车,4.68,31.80,24.98,0.01,4.54,1.31
2,100062,419,315,小汽车,4.29,27.90,23.76,0.01,4.69,1.42
2,100081,567,421,小汽车,4.34,28.45,24.46,0.01,498.91,146.86
2,100093,569,402,小汽车,4.72,32.25,25.32,0.01,4.73,1.35
2,100101,571,394,小汽车,4.62,31.15,24.96,0.01,4.60,1.33
2,100121,572,357,小汽车,4.97,34.75,25.37,0.01,4.46,1.27
2,100152,575,313,社会大巴/公交车,12.41,28.45,24.13,0.01,5.12,1.53
3,100136,722,487,小汽车,4.79,32.95,25.72,0.01,498.80,139.64
3,100163,724,446,小汽车,4.77,32.70,27.08,0.01,5.40,1.43
3,100181,726,406,小汽车,4.41,29.05,25.26,0.01,5.10,1.45
3,100193,727,385,小汽车,4.97,34.70,25.57,0.01,4.51,1.27
3,100201,877,520,小汽车,4.46,29.55,24.83,0.01,498.89,144.65
3,100221,879,484,小汽车,4.04,25.40,22.87,0.01,4.84,1.52
3,100236,881,464,小汽车,4.16,26.60,21.96,0.01,4.08,1.34
3,100281,882,389,小汽车,4.74,32.35,22.48,0.01,3.84,1.23
3,100301,884,357,小汽车,4.06,25.60,21.65,0.01,4.18,1.39
3,100313,886,344,小汽车,4.83,33.35,22.22,0.01,3.77,1.22
4,100252,1032,597,社会大巴/公交车,12.25,27.05,25.44,0.01,496.94,140.64
4,100262,1035,584,小汽车,4.80,33.00,25.98,0.01,4.83,1.34
4,100293,1037,524,小汽车,4.06,25.60,23.26,0.01,5.28,1.63
4,100338,1042,462,小汽车,4.69,31.90,23.08,0.01,4.00,1.25
4,100353,1187,590,社会大巴/公交车,11.64,22.00,21.64,0.01,497.09,165.39
4,100373,1039,403,小汽车,4.25,27.45,22.62,0.01,4.28,1.36
4,100389,1041,384,小汽车,4.49,29.90,22.75,0.01,4.03,1.28
4,100403,1192,512,小汽车,4.01,25.10,21.39,0.01,4.21,1.42
4,100418,1194,489,小汽车,4.80,33.00,21.85,0.01,3.70,1.22
4,100419,1196,490,小汽车,4.33,28.30,21.77,0.01,3.87,1.28
4,100432,1198,466,小汽车,4.11,26.10,21.31,0.01,3.99,1.35
4,100451,1200,440,小汽车,4.75,32.45,21.84,0.01,3.70,1.22
4,100463,1190,418,小汽车,4.92,34.15,22.55,0.01,3.84,1.22
