统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100005,178,171,小汽车,4.82,33.15,33.15,0.01,498.80,108.34
1,100026,187,144,小汽车,4.54,30.45,30.45,0.01,498.86,117.96
2,100055,336,241,小汽车,4.54,30.45,30.45,0.01,498.86,117.96
2,100077,342,207,小汽车,4.84,33.40,33.40,0.01,498.79,107.54
2,100135,353,119,小汽车,4.29,27.85,27.85,0.01,498.93,128.99
2,100177,499,192,小汽车,4.17,26.70,26.70,0.01,498.96,134.55
2,100186,502,175,小汽车,4.57,30.65,28.83,0.01,8.68,2.17
2,400002,370,170,社会大巴/公交车,11.86,25.00,25.00,0.01,497.03,143.15
2,400003,527,177,社会大巴/公交车,12.06,25.00,25.00,0.01,496.98,143.13
3,100226,647,245,小汽车,4.71,32.15,31.71,0.01,17.09,3.88
3,100235,642,227,小汽车,4.95,34.50,34.50,0.01,498.76,104.09
3,100286,802,304,小汽车,4.33,28.30,28.30,0.01,498.92,126.93
3,100334,813,238,小汽车,4.37,28.65,28.65,0.01,498.91,125.38
3,100336,804,226,小汽车,4.95,34.50,28.91,0.01,5.67,1.41
4,100355,952,353,小汽车,4.96,34.55,34.55,0.01,498.76,103.94
4,100388,960,304,小汽车,4.91,34.10,32.80,0.01,11.20,2.46
4,100406,958,274,小汽车,5.00,35.00,34.70,0.01,498.75,103.50
4,100424,1119,402,小汽车,5.00,34.95,33.38,0.01,12.13,2.62
4,100445,970,221,小汽车,4.63,31.30,31.30,0.01,498.84,114.75
4,100453,1115,354,小汽车,4.32,28.20,28.20,0.01,498.92,127.38
4,100462,1123,352,小汽车,4.43,29.30,27.73,0.01,7.93,2.06
4,100466,1121,346,小汽车,4.76,32.65,28.99,0.01,5.97,1.48
4,400006,1132,333,社会大巴/公交车,11.47,25.00,25.00,0.01,497.13,143.17
