统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100005,155,147,小汽车,4.82,33.15,31.05,0.01,498.80,115.66
1,100012,156,139,小汽车,4.13,26.30,24.83,0.01,6.13,1.78
1,100026,158,115,小汽车,4.54,30.45,24.44,0.01,4.44,1.31
1,100038,160,105,小汽车,4.17,26.70,23.12,0.01,4.61,1.44
2,100055,310,215,小汽车,4.54,30.45,29.32,0.01,498.86,122.49
2,100061,311,210,小汽车,4.32,28.15,25.33,0.01,5.38,1.53
2,100077,313,178,小汽车,4.84,33.40,25.51,0.01,4.49,1.27
2,100082,315,165,小汽车,4.75,32.50,25.40,0.01,4.54,1.29
2,100112,317,116,小汽车,4.00,25.00,22.88,0.01,5.26,1.66
2,100116,319,108,小汽车,4.08,25.75,22.12,0.01,4.37,1.42
2,100138,465,221,小汽车,4.83,33.35,31.08,0.01,498.79,115.55
2,100161,466,190,小汽车,4.04,25.35,24.24,0.01,6.42,1.91
2,100177,468,161,小汽车,4.17,26.70,22.86,0.01,4.46,1.40
2,100182,470,149,小汽车,4.22,27.25,22.37,0.01,4.12,1.33
2,100186,472,144,小汽车,4.57,30.65,22.75,0.01,3.89,1.23
2,100212,474,99,小汽车,4.66,31.60,23.13,0.01,3.94,1.23
2,400002,338,138,社会大巴/公交车,11.86,25.00,25.00,0.01,497.03,143.15
2,400003,495,145,社会大巴/公交车,12.06,25.00,25.00,0.01,496.98,143.13
3,100226,621,220,小汽车,4.71,32.15,28.72,0.01,6.16,1.54
3,100235,620,204,小汽车,4.95,34.50,31.28,0.01,498.76,114.80
3,100237,623,207,小汽车,4.04,25.40,23.86,0.01,5.95,1.80
3,100261,625,174,小汽车,4.96,34.65,24.49,0.01,4.17,1.22
3,100282,627,132,小汽车,4.29,27.95,23.56,0.01,4.54,1.39
3,100286,775,275,小汽车,4.33,28.30,27.78,0.01,498.92,129.29
3,100315,776,230,小汽车,4.14,26.40,23.81,0.01,5.10,1.54
3,100334,782,207,小汽车,4.37,28.65,22.84,0.01,4.09,1.29
3,100335,780,204,小汽车,4.34,28.40,23.00,0.01,4.18,1.31
3,100340,784,201,小汽车,4.89,33.90,23.46,0.01,3.95,1.21
3,100345,778,193,小汽车,4.37,28.65,23.26,0.01,4.24,1.31
3,100362,786,177,小汽车,4.56,30.60,23.47,0.01,4.12,1.26
4,100355,930,329,小汽车,4.96,34.55,31.31,0.01,498.76,114.71
4,100370,931,302,小汽车,4.91,34.05,29.67,0.01,6.16,1.49
4,100394,935,270,小汽车,4.41,29.05,26.18,0.01,5.72,1.57
4,100396,937,270,小汽车,4.72,32.25,25.93,0.01,4.76,1.32
4,100406,933,250,小汽车,5.00,35.00,28.85,0.01,5.50,1.37
4,100407,942,256,小汽车,4.55,30.50,24.68,0.01,4.57,1.33
4,100417,939,234,小汽车,4.63,31.30,25.51,0.01,4.74,1.34
4,100424,1088,371,小汽车,5.00,34.95,25.58,0.01,4.43,1.25
4,100429,1085,358,小汽车,4.86,33.55,31.28,0.01,498.79,114.79
4,100445,940,191,小汽车,4.63,31.30,25.25,0.01,4.64,1.32
4,100450,1086,328,小汽车,4.16,26.60,25.10,0.01,6.20,1.78
4,100462,1092,320,小汽车,4.43,29.30,24.55,0.01,4.70,1.38
4,100464,1094,319,小汽车,4.78,32.75,24.76,0.01,4.33,1.26
4,100466,1090,315,小汽车,4.76,32.65,25.40,0.01,4.53,1.28
4,100474,1096,306,小汽车,4.39,28.90,24.09,0.01,4.58,1.37
4,100501,1097,250,小汽车,4.57,30.65,24.06,0.01,4.30,1.29
4,100514,1099,230,小汽车,4.45,29.45,23.82,0.01,4.38,1.32
4,100517,1110,238,小汽车,4.67,31.75,31.50,0.01,25.53,5.84
4,100521,1101,218,小汽车,4.00,25.05,22.45,0.01,4.92,1.58
5,100512,1240,372,小汽车,4.34,28.40,27.68,0.01,498.92,129.75
5,100542,1244,317,小汽车,4.26,27.60,19.75,0.01,3.20,1.17
5,100547,1242,312,小汽车,4.97,34.75,14.61,0.01,2.02,0.99
5,100553,1246,308,小汽车,4.18,26.85,21.09,0.01,3.65,1.25
5,100564,1248,293,小汽车,4.05,25.50,21.01,0.01,3.84,1.32
5,100566,1249,294,小汽车,4.66,31.60,21.80,0.01,3.62,1.20
