统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100004,145,44,小汽车,4.93,34.35,18.49,2.89,6.82,1.33
1,100008,54,40,小汽车,4.43,29.30,6.62,0.00,997.79,3600.00
1,100011,147,39,小汽车,4.84,33.40,23.46,0.93,7.81,1.20
1,100020,148,39,小汽车,4.39,28.95,22.83,0.47,7.71,1.22
1,100021,150,41,小汽车,4.36,28.55,22.18,0.34,7.45,1.21
1,100030,152,37,小汽车,4.97,34.70,22.39,0.35,7.17,1.15
1,100031,154,101,小汽车,4.54,30.40,22.42,0.33,7.35,1.18
1,100036,156,101,小汽车,4.67,31.65,22.55,0.30,7.32,1.17
1,100047,158,80,小汽车,4.54,30.45,22.42,0.29,7.36,1.18
1,100050,159,79,小汽车,4.62,31.15,22.36,0.28,7.28,1.17
1,100051,161,76,小汽车,4.68,31.80,22.46,0.27,7.28,1.17
1,100062,164,56,小汽车,4.29,27.90,25.70,0.00,13.34,1.87
1,100067,166,48,小汽车,4.71,32.05,25.41,0.02,9.05,1.28
1,100071,172,44,小汽车,4.41,29.10,27.19,0.02,14.53,1.92
1,100072,170,41,小汽车,4.45,29.50,28.67,0.00,24.59,3.09
1,100081,190,39,小汽车,4.34,28.45,8.05,0.00,997.83,3600.00
1,100087,300,40,小汽车,4.42,29.25,17.41,2.77,6.01,1.24
2,100091,301,42,小汽车,4.30,28.05,20.42,0.85,6.65,1.17
2,100093,303,43,小汽车,4.72,32.25,21.43,0.47,6.85,1.15
2,100101,305,38,小汽车,4.62,31.15,21.63,0.41,6.94,1.15
2,100107,307,39,小汽车,4.55,30.50,21.81,0.35,7.06,1.16
2,100111,309,103,小汽车,4.05,25.50,20.94,0.26,7.39,1.27
2,100120,313,93,小汽车,4.48,29.80,21.27,0.30,6.87,1.16
2,100121,311,90,小汽车,4.97,34.75,21.32,0.27,6.79,1.15
2,100130,315,81,小汽车,4.88,33.75,21.73,0.30,6.91,1.15
2,100131,316,83,小汽车,4.86,33.60,21.94,0.32,7.01,1.15
2,100136,318,78,小汽车,4.79,32.95,22.22,0.29,7.13,1.15
2,100147,320,61,小汽车,4.56,30.60,22.49,0.21,7.41,1.19
2,100150,322,56,小汽车,4.73,32.30,22.53,0.21,7.30,1.17
2,100152,325,59,社会大巴/公交车,12.41,28.45,22.99,0.08,9.19,1.44
2,100163,328,46,小汽车,4.77,32.70,25.44,0.00,9.14,1.29
2,100167,331,46,小汽车,4.67,31.65,5.91,0.00,13.73,8.36
2,100171,455,39,小汽车,4.49,29.90,18.93,2.81,6.61,1.26
2,100172,457,39,小汽车,4.62,31.20,22.13,0.93,7.31,1.19
2,100181,458,39,小汽车,4.41,29.05,22.13,0.47,7.32,1.19
2,100187,460,35,小汽车,4.86,33.55,22.42,0.40,7.19,1.15
2,100191,462,45,小汽车,4.03,25.30,21.33,0.27,7.75,1.31
2,100193,464,116,小汽车,4.97,34.70,21.59,0.28,6.88,1.15
2,100201,466,104,小汽车,4.46,29.55,21.44,0.30,6.97,1.17
2,100207,468,93,小汽车,4.59,30.90,21.59,0.28,6.95,1.16
2,100211,470,91,小汽车,4.74,32.40,21.82,0.29,6.99,1.15
2,100220,471,77,小汽车,4.46,29.65,22.00,0.24,7.26,1.19
2,100221,473,74,小汽车,4.04,25.40,21.74,0.12,8.36,1.38
2,100230,475,62,小汽车,4.02,25.20,21.33,0.08,8.11,1.37
2,100231,477,63,小汽车,4.19,26.90,21.09,0.10,7.27,1.24
2,100236,479,58,小汽车,4.16,26.60,20.97,0.12,7.25,1.25
2,100247,486,52,小汽车,4.97,34.75,5.19,0.00,15.03,10.43
2,100253,483,43,小汽车,4.58,30.80,28.55,0.00,16.86,2.13
3,100252,611,52,社会大巴/公交车,12.25,27.05,24.51,1.14,10.87,1.60
3,100262,613,38,小汽车,4.80,33.00,24.56,0.22,8.23,1.21
3,100267,615,43,小汽车,4.21,27.15,22.94,0.22,8.46,1.33
3,100271,619,134,小汽车,4.05,25.55,21.49,0.20,7.89,1.32
3,100272,617,128,小汽车,4.55,30.55,22.51,0.23,7.41,1.19
3,100281,620,122,小汽车,4.74,32.35,21.44,0.23,6.85,1.15
3,100287,622,117,小汽车,4.80,33.00,21.64,0.29,6.91,1.15
3,100291,624,111,小汽车,4.38,28.80,21.68,0.25,7.18,1.19
3,100293,626,108,小汽车,4.06,25.60,21.24,0.16,7.72,1.31
3,100301,628,96,小汽车,4.06,25.60,20.84,0.13,7.43,1.28
3,100307,630,91,小汽车,4.29,27.85,20.69,0.16,6.83,1.19
3,100312,632,85,小汽车,4.26,27.65,20.63,0.18,6.82,1.19
3,100313,636,89,小汽车,4.83,33.35,21.68,0.16,6.93,1.15
3,100322,765,94,小汽车,4.07,25.65,16.45,2.80,5.48,1.20
3,100329,646,73,小汽车,4.43,29.35,8.05,0.00,997.78,3600.00
3,100330,634,60,小汽车,4.38,28.75,21.49,0.08,7.20,1.21
3,100337,774,188,小汽车,4.25,27.55,19.66,0.12,6.37,1.17
3,100338,767,74,小汽车,4.69,31.90,20.64,0.83,6.64,1.16
3,100353,771,86,社会大巴/公交车,11.64,22.00,19.53,0.16,9.13,1.68
3,100354,768,62,小汽车,4.12,26.15,20.29,0.41,6.72,1.19
3,100358,783,173,小汽车,4.65,31.50,20.48,0.26,6.48,1.14
3,100368,779,153,小汽车,4.71,32.10,19.83,0.28,6.26,1.14
3,100373,776,134,小汽车,4.25,27.45,19.50,0.20,6.28,1.16
3,100378,777,126,小汽车,4.26,27.65,19.46,0.23,6.24,1.15
3,100389,781,119,小汽车,4.49,29.90,20.17,0.28,6.39,1.14
3,100398,785,111,小汽车,4.88,33.80,21.43,0.12,6.84,1.15
3,100403,798,113,小汽车,4.01,25.10,7.96,0.00,997.99,3600.00
4,100379,920,149,小汽车,4.74,32.35,17.66,2.57,6.08,1.24
4,100404,925,135,小汽车,4.31,28.10,21.42,0.34,7.09,1.19
4,100405,923,124,小汽车,4.52,30.20,21.67,0.47,7.00,1.16
4,100418,922,96,小汽车,4.80,33.00,21.60,0.84,6.98,1.16
4,100419,929,217,小汽车,4.33,28.30,20.90,0.28,6.83,1.18
4,100426,927,98,小汽车,4.36,28.60,21.14,0.30,6.91,1.18
4,100428,933,201,小汽车,4.02,25.20,20.23,0.22,7.00,1.25
4,100431,931,193,小汽车,4.30,28.00,20.79,0.26,6.81,1.18
4,100432,935,197,小汽车,4.11,26.10,19.98,0.20,6.67,1.20
4,100441,938,187,小汽车,4.42,29.20,19.92,0.23,6.35,1.15
4,100446,936,179,小汽车,4.14,26.45,19.89,0.20,6.57,1.19
4,100451,940,175,小汽车,4.75,32.45,20.33,0.29,6.42,1.14
4,100463,942,167,小汽车,4.92,34.15,25.09,0.00,8.80,1.26
4,100465,1075,174,小汽车,4.22,27.25,15.93,2.64,5.36,1.21
4,100469,950,165,小汽车,4.07,25.65,7.76,0.00,520.49,241.52
4,100470,1082,175,小汽车,4.17,26.65,19.70,0.30,6.40,1.17
4,100485,1077,136,小汽车,4.64,31.45,20.12,0.85,6.44,1.15
4,100487,1080,139,小汽车,4.16,26.60,19.94,0.34,6.51,1.18
4,100491,1084,247,小汽车,4.92,34.15,20.29,0.33,6.44,1.14
4,100493,1078,123,小汽车,4.21,27.15,20.22,0.44,6.56,1.17
4,100499,1090,237,小汽车,4.71,32.05,20.81,0.32,6.58,1.14
4,100509,1093,230,小汽车,4.58,30.80,20.70,0.25,6.60,1.15
4,100510,1088,220,小汽车,4.64,31.40,20.47,0.29,6.48,1.14
4,100519,1086,206,小汽车,4.17,26.65,20.08,0.30,6.60,1.18
4,100520,1097,214,小汽车,4.41,29.05,23.52,0.00,8.61,1.32
4,100533,1091,174,小汽车,4.18,26.85,20.57,0.25,6.86,1.20
4,100534,1104,187,小汽车,4.45,29.45,22.80,0.00,11.92,1.88
4,100535,1095,175,小汽车,4.89,33.90,22.53,0.01,7.31,1.17
4,100541,1099,170,小汽车,4.66,31.55,23.49,0.04,7.92,1.21
4,100550,1101,166,小汽车,4.94,34.40,23.41,0.11,7.60,1.17
5,100555,1235,172,小汽车,4.78,32.75,22.49,0.40,7.23,1.16
5,100559,1230,158,小汽车,4.93,34.30,18.52,2.90,6.82,1.33
5,100572,1237,153,小汽车,4.57,30.70,22.55,0.34,7.38,1.18
5,100575,1233,145,小汽车,4.78,32.80,22.33,0.45,7.19,1.16
5,100577,1243,266,小汽车,4.22,27.25,21.89,0.25,7.59,1.25
5,100579,1232,135,小汽车,4.25,27.55,21.85,0.76,7.39,1.22
5,100585,1239,246,小汽车,4.38,28.85,22.18,0.29,7.42,1.21
5,100599,1241,222,小汽车,4.88,33.75,22.30,0.31,7.14,1.15
5,100608,1244,212,小汽车,4.62,31.20,21.84,0.25,7.05,1.16
5,100615,1250,204,小汽车,4.79,32.85,21.84,0.18,7.01,1.15
5,100619,1246,191,小汽车,4.57,30.65,21.99,0.25,7.15,1.17
5,100622,1248,189,小汽车,4.11,26.05,21.88,0.14,8.12,1.34
5,100626,1252,181,小汽车,4.41,29.10,24.54,0.00,9.71,1.42
