统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100002,80,47,社会大巴/公交车,11.92,24.35,22.53,0.66,10.67,1.70
1,100003,47,35,小汽车,4.68,31.85,1.80,0.00,997.66,3600.00
1,100009,82,43,小汽车,4.28,27.75,21.77,0.18,7.44,1.23
1,100010,84,45,小汽车,4.28,27.75,21.23,0.22,7.10,1.20
1,100014,86,43,小汽车,4.88,33.85,21.39,0.29,6.80,1.14
1,100015,88,62,小汽车,4.53,30.25,21.37,0.31,6.89,1.16
1,100018,90,55,小汽车,5.00,35.00,21.90,0.32,6.98,1.15
1,100019,92,56,小汽车,4.99,34.85,22.29,0.34,7.11,1.15
1,100023,93,51,小汽车,4.98,34.80,22.53,0.32,7.22,1.15
1,100024,95,51,小汽车,4.78,32.80,22.71,0.29,7.33,1.16
1,100028,97,49,小汽车,4.75,32.45,23.62,0.13,7.83,1.19
1,100029,99,50,小汽车,4.88,33.85,23.79,0.14,7.79,1.18
1,100033,103,50,小汽车,4.05,25.50,24.71,0.00,19.00,2.77
1,100034,105,52,小汽车,4.96,34.65,26.57,0.00,9.51,1.29
1,100039,107,47,小汽车,4.45,29.50,26.67,0.00,12.63,1.70
1,100040,125,61,小汽车,4.61,31.05,24.72,0.04,8.82,1.28
1,100043,127,56,小汽车,4.91,34.05,27.07,0.00,10.01,1.33
1,100044,130,58,小汽车,4.13,26.30,25.39,0.00,18.12,2.57
1,100048,133,55,小汽车,4.54,30.35,27.41,0.00,13.27,1.74
1,100049,123,45,小汽车,4.38,28.80,24.82,0.00,10.06,1.46
1,100053,135,47,小汽车,4.97,34.70,27.19,0.00,9.65,1.28
1,100054,140,43,小汽车,4.26,27.60,27.32,0.00,36.46,4.81
1,100058,145,43,小汽车,4.25,27.55,27.30,0.00,34.96,4.61
1,100059,148,45,小汽车,4.83,33.30,2.36,0.00,14.61,22.32
1,100063,234,41,小汽车,4.24,27.40,19.96,2.44,6.86,1.24
1,100064,236,42,小汽车,4.51,30.15,21.80,0.72,7.16,1.18
1,100068,237,40,小汽车,4.30,28.05,21.45,0.41,7.09,1.19
1,100069,239,45,小汽车,4.00,25.00,20.41,0.29,7.10,1.25
1,100073,243,111,小汽车,4.17,26.70,20.55,0.28,6.85,1.20
1,100074,241,45,小汽车,4.96,34.55,20.79,0.31,6.61,1.14
1,100078,245,102,小汽车,4.49,29.85,20.56,0.27,6.57,1.15
1,100079,247,101,小汽车,4.38,28.85,20.62,0.28,6.65,1.16
1,100083,249,92,小汽车,4.13,26.35,20.33,0.24,6.81,1.21
1,100084,251,90,小汽车,4.78,32.80,20.66,0.27,6.54,1.14
1,100088,252,85,小汽车,4.92,34.15,21.09,0.33,6.69,1.14
1,100089,254,85,小汽车,4.65,31.50,21.45,0.29,6.86,1.15
1,100094,258,86,小汽车,4.07,25.70,24.74,0.00,18.01,2.62
1,100095,260,87,小汽车,4.10,26.00,23.85,0.02,11.61,1.75
1,100098,264,87,小汽车,4.71,32.05,23.37,0.12,7.74,1.19
1,100099,262,84,小汽车,4.45,29.45,23.53,0.05,8.37,1.28
1,100103,266,80,小汽车,4.75,32.55,25.47,0.00,9.12,1.29
1,100104,271,82,小汽车,4.04,25.35,25.09,0.00,33.20,4.76
1,100109,274,73,小汽车,4.78,32.75,27.55,0.00,11.18,1.46
1,100110,276,74,小汽车,4.85,33.50,27.51,0.00,10.38,1.36
1,100114,279,69,小汽车,4.70,31.95,30.43,0.00,20.66,2.44
1,100115,284,71,小汽车,4.86,33.55,27.62,0.01,10.38,1.35
1,100118,285,70,小汽车,4.92,34.20,27.57,0.06,10.03,1.31
1,100119,298,82,小汽车,4.09,25.95,25.40,0.01,21.25,3.01
1,100133,281,44,小汽车,4.38,28.80,27.62,0.02,17.78,2.32
1,100139,295,48,小汽车,4.53,30.25,29.32,0.01,22.22,2.73
1,100140,292,44,小汽车,4.58,30.80,30.55,0.00,48.48,5.71
1,400001,121,66,社会大巴/公交车,12.43,25.00,25.00,0.00,993.78,3600.00
2,100123,387,81,小汽车,4.93,34.30,0.25,0.00,505.09,7346.75
2,100124,389,83,小汽车,4.04,25.40,18.91,2.31,6.62,1.26
2,100128,392,81,小汽车,4.08,25.85,20.64,0.37,6.99,1.22
2,100129,391,78,小汽车,4.70,31.95,21.48,0.68,6.99,1.17
2,100134,396,78,小汽车,4.83,33.25,21.42,0.37,6.80,1.14
2,100143,400,145,小汽车,4.41,29.10,21.59,0.23,7.11,1.19
2,100144,402,143,小汽车,4.42,29.20,21.48,0.24,7.04,1.18
2,100148,404,141,小汽车,4.62,31.20,21.49,0.27,6.90,1.16
2,100149,301,37,小汽车,4.75,32.45,29.15,0.00,11.13,1.37
2,100153,406,132,小汽车,4.31,28.10,21.47,0.23,7.19,1.21
2,100154,394,41,小汽车,4.76,32.65,21.01,0.34,6.66,1.14
2,100158,407,131,小汽车,4.59,30.95,21.47,0.24,6.91,1.16
2,100159,398,121,小汽车,4.39,28.90,21.83,0.23,7.27,1.20
2,100162,409,128,小汽车,4.28,27.80,21.51,0.20,7.27,1.22
2,100164,413,130,小汽车,4.77,32.70,22.60,0.12,7.34,1.17
2,100168,411,123,小汽车,4.42,29.25,22.46,0.07,7.71,1.23
2,100169,417,124,小汽车,4.58,30.80,22.86,0.10,7.64,1.20
2,100173,419,120,小汽车,4.89,33.95,24.32,0.00,8.14,1.20
2,100174,415,115,小汽车,4.25,27.50,22.91,0.08,8.57,1.35
2,100178,422,108,小汽车,4.50,30.00,28.06,0.00,16.61,2.13
2,100179,424,108,小汽车,4.64,31.40,27.50,0.00,11.65,1.52
2,100183,430,106,小汽车,4.17,26.75,26.06,0.01,20.63,2.85
2,100184,427,103,小汽车,4.53,30.30,28.72,0.00,17.93,2.25
2,100188,433,99,小汽车,4.84,33.45,29.03,0.00,12.72,1.58
2,100189,440,107,小汽车,4.34,28.40,28.25,0.00,54.70,6.97
2,100194,446,98,小汽车,4.47,29.75,28.05,0.00,16.79,2.16
2,100195,449,98,小汽车,4.07,25.65,24.97,0.01,19.26,2.78
2,100198,452,96,小汽车,4.00,25.05,24.43,0.00,20.62,3.04
2,100199,454,97,小汽车,4.75,32.55,26.35,0.00,9.97,1.36
2,100203,458,91,小汽车,4.28,27.75,4.46,0.00,16.89,13.64
2,100204,544,93,小汽车,4.50,29.95,18.27,2.55,6.30,1.24
2,100209,443,67,小汽车,4.32,28.15,26.55,0.02,14.99,2.03
2,100210,546,85,小汽车,4.54,30.40,21.40,0.78,6.97,1.17
2,100214,547,85,小汽车,4.68,31.85,21.96,0.48,7.06,1.16
2,100215,549,85,小汽车,4.42,29.15,21.91,0.36,7.21,1.18
2,100218,551,83,小汽车,4.85,33.50,22.14,0.35,7.09,1.15
2,100219,553,159,小汽车,4.45,29.45,22.09,0.32,7.29,1.19
2,100223,557,154,小汽车,4.86,33.60,22.01,0.31,7.03,1.15
2,100224,560,158,小汽车,4.47,29.70,21.49,0.22,7.01,1.17
2,100228,563,154,小汽车,4.60,31.00,24.30,0.00,8.71,1.29
2,100229,565,154,小汽车,4.07,25.65,23.81,0.01,12.35,1.87
2,100233,559,142,小汽车,4.15,26.50,21.66,0.23,7.66,1.27
2,100234,573,156,小汽车,4.08,25.75,22.24,0.09,8.79,1.42
2,100239,569,146,小汽车,4.07,25.70,22.65,0.05,9.48,1.51
2,100240,579,154,小汽车,4.66,31.55,23.89,0.05,8.15,1.23
2,100243,555,123,小汽车,4.43,29.30,21.87,0.28,7.21,1.19
2,100244,581,152,小汽车,4.53,30.25,26.58,0.00,11.78,1.60
2,100248,577,143,小汽车,4.54,30.45,23.78,0.02,8.35,1.26
2,100250,575,138,小汽车,4.75,32.55,23.21,0.00,7.71,1.20
2,100251,586,148,小汽车,4.37,28.70,28.23,0.00,31.84,4.06
2,100256,567,120,小汽车,4.16,26.60,23.24,0.03,9.58,1.48
2,100258,589,142,小汽车,4.75,32.45,30.57,0.00,18.73,2.21
2,100259,571,119,小汽车,4.71,32.10,22.44,0.11,7.31,1.17
2,100263,599,141,小汽车,4.10,26.00,25.53,0.00,25.02,3.53
2,100304,593,58,小汽车,4.13,26.25,25.83,0.01,24.44,3.41
2,100310,595,54,小汽车,4.79,32.85,25.66,0.02,9.02,1.27
3,100264,603,144,小汽车,4.54,30.45,25.23,0.07,9.40,1.34
3,100268,604,134,小汽车,4.70,32.00,25.06,0.09,8.75,1.26
3,100269,607,133,小汽车,4.70,32.00,27.84,0.00,12.00,1.55
3,100273,615,128,小汽车,4.17,26.75,3.72,0.00,29.63,28.70
3,100274,610,124,小汽车,4.63,31.35,29.86,0.00,19.98,2.41
3,100278,702,131,小汽车,4.55,30.55,21.14,0.44,6.77,1.15
3,100279,706,136,小汽车,4.05,25.50,20.07,0.26,6.79,1.22
3,100283,710,209,小汽车,4.96,34.55,20.65,0.34,6.56,1.14
3,100284,712,209,小汽车,4.46,29.65,20.75,0.32,6.65,1.15
3,100288,714,207,小汽车,4.26,27.60,20.69,0.26,6.81,1.19
3,100289,725,217,小汽车,4.70,31.95,21.34,0.20,6.83,1.15
