统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100012,174.90,237.10,62.20,153.99,41.12,26.30
1,1,300,100038,179.20,239.40,60.20,154.31,39.39,26.70
2,301,600,100061,329.10,391.50,62.40,153.99,42.71,28.15
2,301,600,100082,334.90,393.10,58.20,154.41,41.10,32.50
2,301,600,100112,337.80,396.40,58.60,154.41,36.36,25.00
2,301,600,100138,479.20,545.40,66.20,153.99,49.58,33.35
2,301,600,100161,485.50,549.20,63.70,153.99,41.83,25.35
2,301,600,100182,490.00,551.40,61.40,153.99,41.06,27.25
2,301,600,100212,493.60,552.50,58.90,153.99,41.36,31.60
3,601,900,100237,642.50,702.40,59.90,153.99,38.07,25.40
3,601,900,100261,644.30,704.20,59.90,153.99,43.90,34.65
3,601,900,100282,646.20,706.00,59.80,154.31,39.92,27.95
3,601,900,100315,795.90,857.00,61.10,153.99,40.10,26.40
3,601,900,100335,799.90,859.20,59.30,153.99,39.78,28.40
3,601,900,100340,803.20,860.30,57.10,153.99,40.75,33.90
3,601,900,100362,806.00,862.40,56.40,154.76,38.19,30.60
4,901,1200,100370,946.50,1010.20,63.70,154.31,47.39,34.05
4,901,1200,100394,953.90,1013.20,59.30,153.99,40.22,29.05
4,901,1200,100396,955.80,1014.90,59.10,153.99,41.91,32.25
4,901,1200,100417,957.80,1017.00,59.20,153.99,41.49,31.30
4,901,1200,100429,1099.10,1165.30,66.20,153.99,49.68,33.55
4,901,1200,100450,1106.20,1168.90,62.70,153.99,41.86,26.60
4,901,1200,100464,1113.80,1170.10,56.30,153.99,39.37,32.75
4,901,1200,100474,1115.50,1172.40,56.90,153.99,37.72,28.90
4,901,1200,100501,1117.30,1174.40,57.10,153.99,39.01,30.65
4,901,1200,100514,1119.10,1176.10,57.00,153.99,38.18,29.45
