统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100005,168.90,191.80,22.90,209.93,0.10,33.15
1,1,300,100016,170.40,195.40,25.00,208.81,0.03,30.10
1,1,300,100026,176.40,201.50,25.10,209.93,0.28,30.45
1,1,300,100035,175.50,206.10,30.60,208.81,0.53,25.00
1,1,300,100045,184.80,214.80,30.00,208.81,0.17,25.20
1,1,300,300001,158.30,184.30,26.00,207.72,0.08,28.85
1,1,300,300002,175.30,201.10,25.80,207.72,0.15,29.15
1,1,300,300003,179.10,202.10,23.00,207.72,1.29,34.45
1,1,300,400001,188.90,218.90,30.00,207.72,0.09,25.00
2,301,600,100055,325.20,350.20,25.00,209.93,0.18,30.45
2,301,600,100066,325.10,349.80,24.70,208.81,0.09,30.55
2,301,600,100077,332.90,355.70,22.80,209.93,0.17,33.40
2,301,600,100086,331.30,360.30,29.00,209.13,0.21,26.15
2,301,600,100097,329.80,352.70,22.90,207.72,0.10,32.80
2,301,600,100105,334.20,364.00,29.80,207.72,0.36,25.40
2,301,600,100116,338.90,368.60,29.70,209.23,0.45,25.75
2,301,600,100126,333.10,360.40,27.30,208.81,4.10,32.40
2,301,600,100135,341.80,369.70,27.90,210.02,0.75,27.85
2,301,600,100146,480.70,506.20,25.50,208.81,0.06,29.55
2,301,600,100155,484.80,513.70,28.90,208.81,0.26,26.25
2,301,600,100166,487.90,517.90,30.00,208.04,0.16,25.10
2,301,600,100177,487.50,515.90,28.40,209.93,0.09,26.70
2,301,600,100186,491.40,518.10,26.70,209.93,2.04,30.65
2,301,600,100197,489.70,517.50,27.80,208.81,0.86,27.90
2,301,600,100216,491.90,520.80,28.90,208.81,1.26,27.20
2,301,600,300004,317.20,344.40,27.20,207.72,0.06,27.55
2,301,600,300005,337.30,364.30,27.00,207.72,3.26,31.50
2,301,600,300006,400.10,476.20,76.10,207.72,50.14,28.80
