统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100005,31.50,192.10,160.60,799.48,73.78,33.15
1,1,300,100016,51.10,195.80,144.70,798.84,49.16,30.10
1,1,300,100026,68.50,201.90,133.40,799.48,38.88,30.45
1,1,300,100035,83.90,206.50,122.60,798.74,7.58,25.00
1,1,300,100045,100.80,215.20,114.40,798.79,0.29,25.20
1,1,300,400001,101.90,219.40,117.50,798.17,2.56,25.00
2,301,600,100055,120.90,350.50,229.60,799.90,135.03,30.45
2,301,600,100066,142.30,350.20,207.90,799.31,113.71,30.55
2,301,600,100077,161.10,356.10,195.00,800.12,108.76,33.40
2,301,600,100086,189.50,360.70,171.20,799.70,61.11,26.15
2,301,600,100097,204.00,353.10,149.10,799.10,61.39,32.80
2,301,600,100105,217.60,364.50,146.90,800.19,33.49,25.40
2,301,600,100116,240.60,369.00,128.40,799.20,16.67,25.75
2,301,600,100126,246.20,360.80,114.60,799.10,25.81,32.40
2,301,600,100135,265.50,370.10,104.60,800.63,1.11,27.85
2,301,600,100146,280.90,506.60,225.70,798.73,128.39,29.55
2,301,600,100155,308.90,514.10,205.20,799.56,95.55,26.25
2,301,600,100166,324.50,518.30,193.80,798.79,79.23,25.10
2,301,600,100177,335.90,516.30,180.40,799.48,72.61,26.70
2,301,600,100186,353.60,518.50,164.90,800.13,70.92,30.65
2,301,600,100197,379.00,517.90,138.90,799.80,35.70,27.90
2,301,600,100216,410.60,521.20,110.60,799.42,4.79,27.20
2,301,600,400002,269.90,387.90,118.00,802.93,2.38,25.00
2,301,600,400003,429.10,545.00,115.90,800.92,0.57,25.00
3,601,900,100205,408.30,662.80,254.50,800.27,154.12,28.70
3,601,900,100226,453.60,660.90,207.30,800.33,117.68,32.15
3,601,900,100235,450.10,655.70,205.60,799.68,122.16,34.50
3,601,900,100246,460.60,669.80,209.20,798.33,97.59,25.75
3,601,900,100254,480.00,671.90,191.90,801.84,93.38,29.30
3,601,900,100266,490.80,669.80,179.00,800.64,75.32,27.80
3,601,900,100277,596.60,820.10,223.50,799.31,117.90,27.25
3,601,900,100286,531.40,818.50,287.10,800.32,185.29,28.30
3,601,900,100297,609.20,819.60,210.40,800.20,105.65,27.50
3,601,900,100305,630.10,826.10,196.00,799.66,84.42,25.80
3,601,900,100324,582.70,674.40,91.70,799.10,0.37,31.50
3,601,900,100334,660.30,830.30,170.00,801.51,69.29,28.65
3,601,900,100336,619.10,820.40,201.30,803.03,117.51,34.50
3,601,900,100345,636.30,824.90,188.60,798.76,88.23,28.65
3,601,900,100363,660.40,829.80,169.40,800.30,55.75,25.35
3,601,900,400004,632.30,835.50,203.20,799.91,88.01,25.00
4,901,1200,100355,758.40,965.70,207.30,800.45,123.90,34.55
4,901,1200,100364,760.80,976.10,215.30,800.07,120.08,30.25
4,901,1200,100366,666.30,966.20,299.90,799.58,215.11,33.95
4,901,1200,100371,765.70,967.10,201.40,799.20,114.35,33.05
4,901,1200,100388,778.60,974.20,195.60,800.71,111.07,34.10
4,901,1200,100406,780.90,970.70,189.80,800.30,107.48,35.00
4,901,1200,100407,809.50,987.30,177.80,799.92,83.38,30.50
4,901,1200,100412,786.50,971.00,184.50,800.89,99.45,33.90
4,901,1200,100414,817.20,977.60,160.40,800.46,68.33,31.30
4,901,1200,100424,826.40,1133.50,307.10,801.65,224.53,34.95
4,901,1200,100443,839.20,1129.30,290.10,800.19,200.78,32.25
4,901,1200,100445,828.60,984.10,155.50,800.22,63.46,31.30
4,901,1200,100453,857.10,1131.30,274.20,802.70,171.73,28.20
4,901,1200,100462,865.50,1139.20,273.70,801.43,175.23,29.30
4,901,1200,100466,862.30,1135.80,273.50,800.38,185.25,32.65
4,901,1200,100471,939.60,1141.00,201.40,800.19,87.99,25.40
4,901,1200,100482,941.80,1144.10,202.30,801.99,100.82,28.45
4,901,1200,100483,937.60,1130.90,193.30,803.13,107.12,33.55
4,901,1200,100492,945.70,1141.40,195.70,801.39,94.29,28.45
4,901,1200,100497,917.20,1127.80,210.60,799.91,110.26,28.70
4,901,1200,100517,1058.00,1149.70,91.70,798.89,1.12,31.75
4,901,1200,100521,962.60,1152.50,189.90,800.09,74.92,25.05
4,901,1200,100522,952.40,1136.60,184.20,800.26,98.20,33.50
4,901,1200,400005,789.30,989.10,199.80,799.73,84.64,25.00
4,901,1200,400006,945.50,1150.40,204.90,801.55,89.48,25.00
