统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100003,99.20,160.80,61.60,189.54,40.18,31.85
1,1,300,100005,98.40,160.50,62.10,188.32,41.65,33.15
1,1,300,100010,113.00,163.60,50.60,189.54,26.01,27.75
1,1,300,100012,105.60,163.80,58.20,188.32,32.42,26.30
1,1,300,100015,116.70,165.60,48.90,189.54,26.34,30.25
1,1,300,100016,103.00,161.00,58.00,188.97,35.40,30.10
1,1,300,100019,120.30,167.40,47.10,189.54,27.52,34.85
1,1,300,100024,123.80,169.30,45.50,189.54,24.70,32.80
1,1,300,100026,108.10,165.70,57.60,188.32,35.34,30.45
1,1,300,100029,127.40,171.20,43.80,189.54,23.64,33.85
1,1,300,100034,132.40,173.00,40.60,189.54,20.91,34.65
1,1,300,100035,130.30,164.20,33.90,188.72,6.72,25.00
1,1,300,100038,133.00,167.90,34.90,188.32,9.51,26.70
1,1,300,100040,152.50,182.00,29.50,189.54,7.52,31.05
1,1,300,100044,157.30,184.50,27.20,189.54,1.25,26.30
1,1,300,100045,146.50,173.60,27.10,188.92,0.11,25.20
1,1,300,100049,150.70,180.20,29.50,189.54,5.81,28.80
1,1,300,100054,165.20,190.10,24.90,189.54,0.18,27.60
1,1,300,400001,148.00,177.60,29.60,189.54,2.31,25.00
2,301,600,100055,255.20,316.00,60.80,188.32,38.54,30.45
2,301,600,100059,253.30,315.50,62.20,189.54,41.71,33.30
2,301,600,100061,259.40,318.50,59.10,188.32,35.02,28.15
2,301,600,100064,261.70,318.10,56.40,189.54,33.77,30.15
2,301,600,100066,255.00,315.90,60.90,188.92,38.64,30.55
2,301,600,100069,268.10,324.60,56.50,189.54,29.21,25.00
2,301,600,100074,269.90,326.40,56.50,189.54,36.75,34.55
2,301,600,100077,261.30,320.40,59.10,188.32,38.80,33.40
2,301,600,100079,276.30,328.30,52.00,189.54,28.35,28.85
2,301,600,100082,263.20,323.20,60.00,188.32,39.14,32.50
2,301,600,100084,280.20,330.20,50.00,189.54,29.20,32.80
2,301,600,100086,262.70,319.40,56.70,188.92,30.69,26.15
2,301,600,100089,283.90,332.00,48.10,189.54,26.44,31.50
2,301,600,100095,288.70,333.90,45.20,189.54,18.96,26.00
2,301,600,100097,266.50,321.10,54.60,189.92,33.76,32.80
2,301,600,100099,290.50,335.80,45.30,189.54,22.13,29.45
2,301,600,100104,298.80,337.70,38.90,189.54,11.98,25.35
2,301,600,100105,267.70,322.90,55.20,190.75,28.17,25.40
2,301,600,100110,302.40,339.60,37.20,189.54,16.83,33.50
2,301,600,100112,280.60,325.40,44.80,188.32,17.68,25.00
2,301,600,100115,308.50,341.50,33.00,189.54,12.66,33.55
2,301,600,100116,285.70,327.30,41.60,188.32,15.27,25.75
2,301,600,100119,325.30,351.70,26.40,189.54,0.11,25.95
2,301,600,100124,416.30,472.20,55.90,189.54,29.04,25.40
2,301,600,100126,281.70,322.70,41.00,188.92,20.01,32.40
2,301,600,100128,421.00,474.50,53.50,189.54,27.10,25.85
2,301,600,100134,424.60,478.20,53.60,189.54,33.08,33.25
2,301,600,100135,306.90,331.50,24.60,188.92,0.18,27.85
2,301,600,100138,408.30,470.40,62.10,188.32,41.77,33.35
2,301,600,100140,314.90,343.40,28.50,189.54,6.35,30.80
2,301,600,100144,430.50,482.10,51.60,189.54,28.23,29.20
2,301,600,100146,413.00,471.20,58.20,188.71,35.21,29.55
2,301,600,100149,327.20,353.60,26.40,189.54,5.37,32.45
2,301,600,100154,422.80,476.40,53.60,189.54,32.70,32.65
2,301,600,100155,415.60,474.00,58.40,188.92,32.49,26.25
2,301,600,100159,426.60,480.20,53.60,189.54,29.99,28.90
2,301,600,100161,418.50,474.00,55.50,188.32,28.76,25.35
2,301,600,100164,442.00,483.90,41.90,189.54,21.03,32.70
2,301,600,100166,419.30,476.40,57.10,188.92,30.00,25.10
2,301,600,100169,445.90,487.80,41.90,189.54,19.75,30.80
2,301,600,100174,444.10,485.90,41.80,189.54,16.99,27.50
2,301,600,100177,421.00,476.20,55.20,188.32,29.81,26.70
2,301,600,100179,451.50,489.70,38.20,189.54,16.47,31.40
2,301,600,100182,423.10,478.20,55.10,188.32,30.22,27.25
2,301,600,100184,453.30,491.50,38.20,189.54,15.68,30.30
2,301,600,100186,438.50,480.00,41.50,188.32,19.38,30.65
2,301,600,100189,464.70,493.50,28.80,189.54,4.77,28.40
2,301,600,100195,475.90,502.60,26.70,189.54,0.10,25.65
2,301,600,100197,421.80,478.40,56.60,188.92,32.22,27.90
2,301,600,100199,482.00,504.80,22.80,189.54,1.84,32.55
2,301,600,100212,441.30,481.90,40.60,188.32,19.15,31.60
2,301,600,100216,453.30,480.40,27.10,188.92,2.10,27.20
2,301,600,400002,318.60,345.80,27.20,188.74,0.02,25.00
2,301,600,400003,475.70,503.00,27.30,188.74,0.12,25.00
3,601,900,100204,569.60,626.10,56.50,189.54,33.72,29.95
3,601,900,100205,568.80,626.30,57.50,189.83,33.69,28.70
3,601,900,100210,571.80,628.40,56.60,189.54,34.15,30.40
3,601,900,100215,576.00,630.50,54.50,189.54,31.09,29.15
