统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100004,38.90,153.00,114.10,188.61,94.33,34.35
1,1,300,100008,36.90,151.10,114.20,188.18,91.08,29.30
1,1,300,100011,41.10,154.90,113.80,188.18,93.52,33.40
1,1,300,100020,59.40,157.10,97.70,188.18,74.30,28.95
1,1,300,100021,62.20,159.30,97.10,188.82,73.29,28.55
1,1,300,100030,72.50,161.10,88.60,188.82,69.01,34.70
1,1,300,100031,77.40,163.00,85.60,188.61,63.26,30.40
1,1,300,100036,79.80,164.80,85.00,188.50,63.56,31.65
1,1,300,100047,103.80,166.80,63.00,188.82,40.68,30.45
1,1,300,100050,105.90,168.60,62.70,188.93,40.87,31.15
1,1,300,100051,107.80,170.40,62.60,188.18,41.30,31.80
1,1,300,100062,133.30,172.80,39.50,188.18,15.22,27.90
1,1,300,100067,138.90,174.60,35.70,188.61,14.51,32.05
1,1,300,100071,154.80,180.50,25.70,189.15,2.30,29.10
1,1,300,100072,154.30,177.90,23.60,188.61,0.58,29.50
2,301,600,100081,173.20,306.30,133.10,188.18,109.29,28.45
2,301,600,100087,187.50,308.50,121.00,188.18,97.84,29.25
2,301,600,100091,195.20,310.60,115.40,188.50,91.21,28.05
2,301,600,100093,197.10,312.40,115.30,188.82,94.22,32.25
2,301,600,100101,202.30,314.30,112.00,188.18,90.25,31.15
2,301,600,100107,221.30,316.30,95.00,188.82,72.71,30.50
2,301,600,100111,231.10,318.60,87.50,188.50,60.89,25.50
2,301,600,100120,244.70,322.30,77.60,188.18,54.87,29.80
2,301,600,100121,242.50,320.30,77.80,188.82,58.24,34.75
2,301,600,100130,251.10,324.20,73.10,188.18,53.03,33.75
2,301,600,100131,253.90,325.90,72.00,188.82,51.77,33.60
2,301,600,100136,261.50,327.60,66.10,188.18,45.54,32.95
2,301,600,100147,283.90,329.50,45.60,188.82,23.39,30.60
2,301,600,100150,286.90,331.20,44.30,188.82,23.25,32.30
2,301,600,100152,291.70,333.90,42.20,188.18,18.39,28.45
2,301,600,100163,309.50,336.30,26.80,188.82,6.01,32.70
2,301,600,100167,313.40,460.60,147.20,188.61,125.75,31.65
2,301,600,100171,318.10,463.10,145.00,188.18,122.34,29.90
2,301,600,100172,320.50,465.00,144.50,188.82,122.71,31.20
2,301,600,100181,346.80,467.20,120.40,188.82,97.00,29.05
2,301,600,100187,353.50,469.10,115.60,188.50,95.37,33.55
2,301,600,100191,365.00,471.60,106.60,188.18,79.82,25.30
2,301,600,100193,366.80,473.30,106.50,188.50,86.94,34.70
2,301,600,100201,389.50,475.30,85.80,188.71,62.81,29.55
2,301,600,100207,395.10,477.30,82.20,188.82,60.20,30.90
2,301,600,100211,402.90,479.00,76.10,188.61,55.14,32.40
2,301,600,100220,416.70,480.80,64.10,188.82,41.17,29.65
2,301,600,100221,424.80,483.20,58.40,188.61,31.67,25.40
2,301,600,100230,444.60,485.40,40.80,188.18,13.92,25.20
2,301,600,100231,446.80,487.30,40.50,188.93,15.22,26.90
2,301,600,100236,450.40,489.20,38.80,188.18,13.33,26.60
2,301,600,100253,465.50,491.20,25.70,188.18,3.70,30.80
3,601,900,100247,467.30,615.10,147.80,189.13,128.21,34.75
3,601,900,100252,473.80,619.20,145.40,188.61,120.30,27.05
3,601,900,100262,476.70,621.60,144.90,188.18,124.37,33.00
3,601,900,100267,489.60,624.00,134.40,188.61,109.39,27.15
3,601,900,100271,510.20,628.30,118.10,188.18,91.58,25.55
3,601,900,100272,506.90,625.90,119.00,188.82,96.75,30.55
3,601,900,100281,518.60,630.00,111.40,188.50,90.42,32.35
3,601,900,100287,525.70,631.80,106.10,188.18,85.57,33.00
3,601,900,100291,537.00,633.70,96.70,188.82,73.10,28.80
3,601,900,100293,545.40,635.90,90.50,188.18,64.04,25.60
