统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100002,36.60,93.30,56.70,214.82,24.94,24.35
1,1,300,100003,30.60,87.80,57.20,214.18,32.99,31.85
1,1,300,100005,31.90,87.50,55.60,214.45,32.31,33.15
1,1,300,100006,38.00,87.90,49.90,214.73,25.36,31.50
1,1,300,100009,42.50,95.90,53.40,214.18,25.61,27.75
1,1,300,100010,44.90,97.90,53.00,214.50,25.17,27.75
1,1,300,100012,47.30,91.60,44.30,215.20,14.84,26.30
1,1,300,100014,46.60,99.70,53.10,214.92,30.24,33.85
1,1,300,100015,50.80,101.60,50.80,214.18,25.31,30.25
1,1,300,100016,51.50,90.60,39.10,214.31,13.47,30.10
1,1,300,100018,52.80,103.40,50.60,214.18,28.57,35.00
1,1,300,100019,55.00,105.30,50.30,214.50,28.14,34.85
1,1,300,100023,63.30,107.10,43.80,214.82,21.58,34.80
1,1,300,100024,65.80,109.00,43.20,214.18,19.69,32.80
1,1,300,100025,68.50,95.90,27.40,214.31,0.33,28.50
1,1,300,100026,68.90,94.90,26.00,214.45,0.65,30.45
1,1,300,100028,71.10,110.80,39.70,214.50,15.90,32.45
1,1,300,100029,73.20,112.60,39.40,214.82,16.55,33.85
1,1,300,100033,81.00,115.80,34.80,214.18,4.56,25.50
1,1,300,100034,84.80,117.60,32.80,214.50,10.51,34.65
1,1,300,100035,84.40,115.70,31.30,214.45,0.42,25.00
1,1,300,100038,87.90,118.60,30.70,215.40,1.66,26.70
1,1,300,100039,86.80,119.60,32.80,214.50,6.62,29.50
1,1,300,100040,104.80,137.90,33.10,214.82,8.19,31.05
1,1,300,100042,93.80,121.10,27.30,214.31,0.04,28.30
1,1,300,100043,108.50,139.70,31.20,214.82,8.49,34.05
1,1,300,100044,110.80,142.90,32.10,214.18,2.78,26.30
1,1,300,100045,101.30,132.10,30.80,214.31,0.18,25.20
1,1,300,100048,114.40,144.90,30.50,214.60,5.04,30.35
1,1,300,100049,103.20,136.00,32.80,215.02,5.92,28.80
1,1,300,100053,116.20,146.70,30.50,214.50,8.25,34.70
1,1,300,100054,122.00,151.90,29.90,214.82,1.88,27.60
1,1,300,100055,121.30,243.30,122.00,214.88,96.60,30.45
1,1,300,100057,126.50,154.50,28.00,214.73,0.04,27.65
1,1,300,100058,128.60,157.00,28.40,214.50,0.37,27.55
1,1,300,100059,130.30,242.50,112.20,214.82,88.98,33.30
1,1,300,100061,130.30,246.20,115.90,214.88,88.42,28.15
1,1,300,100063,137.40,246.20,108.80,214.18,80.66,27.40
1,1,300,100064,139.40,248.30,108.90,214.50,83.29,30.15
1,1,300,100066,142.70,243.20,100.50,214.83,75.18,30.55
1,1,300,100068,147.90,250.50,102.60,214.82,75.03,28.05
1,1,300,100069,154.70,253.30,98.60,214.50,67.71,25.00
1,1,300,100073,160.50,257.20,96.70,215.04,67.71,26.70
1,1,300,100074,158.50,255.00,96.50,214.18,74.18,34.55
1,1,300,100076,158.30,245.20,86.90,214.62,64.41,34.35
1,1,300,100077,161.40,248.10,86.70,215.09,63.52,33.40
1,1,300,100078,164.90,259.00,94.10,214.50,68.23,29.85
1,1,300,100079,168.10,260.90,92.80,214.82,65.99,28.85
1,1,300,100082,175.50,250.00,74.50,215.09,50.67,32.50
1,1,300,100083,180.90,263.00,82.10,214.50,52.79,26.35
1,1,300,100084,182.80,264.80,82.00,214.50,58.46,32.80
1,1,300,100086,189.90,248.70,58.80,214.31,29.30,26.15
1,1,300,100088,186.60,266.60,80.00,214.18,57.42,34.15
1,1,300,100089,189.80,268.50,78.70,214.50,54.19,31.50
1,1,300,100092,193.10,250.60,57.50,214.62,32.13,30.45
1,1,300,100094,201.80,271.20,69.40,214.50,39.35,25.70
1,1,300,100095,203.80,273.60,69.80,214.82,40.06,26.00
1,1,300,100097,204.40,252.50,48.10,214.31,24.58,32.80
1,1,300,100098,207.60,277.30,69.70,214.92,45.56,32.05
1,1,300,100099,205.80,275.50,69.70,214.18,43.52,29.45
1,1,300,100103,211.40,279.20,67.80,214.82,44.04,32.55
1,1,300,100104,251.10,284.30,33.20,214.18,2.78,25.35
1,1,300,100105,218.00,253.10,35.10,214.99,4.63,25.40
1,1,300,100106,220.20,255.10,34.90,214.62,4.54,25.45
1,1,300,100109,255.20,286.10,30.90,214.82,7.29,32.75
1,1,300,100110,257.40,287.90,30.50,214.18,7.48,33.50
1,1,300,100112,234.80,266.10,31.30,215.30,0.30,25.00
1,1,300,100114,261.10,290.10,29.00,214.82,4.80,31.95
1,1,300,100115,264.10,295.20,31.10,214.18,8.12,33.55
1,1,300,100116,241.10,271.50,30.40,214.88,0.36,25.75
1,1,300,100118,267.20,297.10,29.90,214.18,7.35,34.20
1,1,300,100125,251.50,279.10,27.60,214.31,0.14,28.10
1,1,300,100126,246.60,270.50,23.90,214.62,0.05,32.40
1,1,300,100133,262.60,293.30,30.70,214.82,3.85,28.80
1,1,300,100135,265.90,293.90,28.00,214.94,0.22,27.85
1,1,300,100141,269.70,295.80,26.10,214.62,3.47,34.15
1,1,300,400001,102.40,133.40,31.00,214.18,0.16,25.00
2,301,600,100119,275.50,311.20,35.70,214.50,5.94,25.95
2,301,600,100123,279.10,397.20,118.10,214.92,95.54,34.30
2,301,600,100124,281.20,402.00,120.80,214.18,90.44,25.40
2,301,600,100128,287.20,406.30,119.10,214.18,89.27,25.85
2,301,600,100129,284.90,403.80,118.90,214.50,94.73,31.95
2,301,600,100134,292.80,409.90,117.10,214.18,93.91,33.25
2,301,600,100138,268.30,397.40,129.10,215.09,105.88,33.35
2,301,600,100139,276.40,306.50,30.10,214.68,4.55,30.25
2,301,600,100140,273.40,302.90,29.50,215.00,4.37,30.80
2,301,600,100143,301.30,413.80,112.50,214.82,85.92,29.10
2,301,600,100144,306.90,415.70,108.80,214.18,82.39,29.20
2,301,600,100146,281.40,400.60,119.20,214.45,93.07,29.55
2,301,600,100148,311.10,417.50,106.40,214.60,81.64,31.20
2,301,600,100149,285.00,313.10,28.10,215.00,4.25,32.45
2,301,600,100153,316.10,419.50,103.40,214.18,75.96,28.10
2,301,600,100154,293.90,408.10,114.20,214.50,90.55,32.65
2,301,600,100155,309.50,401.70,92.20,215.08,62.70,26.25
2,301,600,100157,297.50,397.80,100.30,214.93,76.12,32.00
2,301,600,100158,318.30,421.30,103.00,214.18,78.09,30.95
2,301,600,100159,302.50,411.80,109.30,214.50,82.58,28.90
2,301,600,100161,308.10,404.10,96.00,214.88,65.48,25.35
2,301,600,100162,320.30,423.30,103.00,214.82,75.18,27.80
2,301,600,100164,326.70,427.00,100.30,214.60,76.67,32.70
2,301,600,100166,325.00,404.50,79.50,215.08,48.65,25.10
2,301,600,100168,324.40,425.20,100.80,214.82,74.36,29.25
2,301,600,100169,328.80,430.80,102.00,214.18,76.97,30.80
2,301,600,100173,332.50,432.70,100.20,214.50,77.45,33.95
2,301,600,100174,327.40,429.00,101.60,214.82,73.48,27.50
2,301,600,100176,333.00,425.40,92.40,214.31,65.38,28.55
2,301,600,100177,336.40,406.30,69.90,214.45,40.98,26.70
2,301,600,100178,337.80,434.60,96.80,214.18,71.10,30.00
2,301,600,100179,343.80,436.60,92.80,214.50,68.21,31.40
2,301,600,100182,350.40,408.30,57.90,214.77,29.53,27.25
2,301,600,100183,410.90,442.80,31.90,214.82,2.99,26.75
2,301,600,100184,408.90,438.80,29.90,214.18,4.45,30.30
2,301,600,100186,354.00,426.70,72.70,215.11,47.43,30.65
