统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100005,295,274,小客车,4.67,53.50,49.26,0.00,74.77,5.46
1,100008,147,124,小客车,4.89,57.90,55.92,0.00,146.32,9.42
1,100017,152,92,小客车,4.55,51.10,47.66,0.03,63.98,4.83
1,400014,126,103,小客车,4.39,47.80,46.96,0.20,997.80,3600.00
1,400027,137,91,小客车,4.74,54.70,52.83,0.00,141.96,9.67
1,400035,241,187,小客车,4.64,52.90,52.90,0.00,997.68,3600.00
1,400042,252,185,小客车,4.17,43.40,42.67,0.00,152.82,12.89
1,400059,255,158,小客车,4.84,56.90,42.59,0.00,26.84,2.27
1,400060,261,164,小客车,4.04,40.70,38.96,0.01,77.37,7.15
1,400065,265,164,小客车,4.13,42.60,38.22,0.01,42.02,3.96
1,400077,268,148,小客车,4.84,56.90,38.18,0.01,21.03,1.98
1,400080,280,150,小客车,4.03,40.50,37.25,0.00,48.78,4.71
1,400084,284,150,小客车,4.20,44.00,38.29,0.00,36.69,3.45
1,400088,270,128,小客车,4.72,54.50,38.11,0.01,21.89,2.07
1,400097,273,111,小客车,4.70,53.90,38.04,0.01,22.08,2.09
1,400105,288,118,小客车,4.22,44.50,39.46,0.00,41.62,3.80
1,400108,275,97,小客车,4.96,59.10,38.01,0.01,20.22,1.92
2,100002,306,298,大客车,12.34,45.80,44.24,0.00,110.20,8.97
2,100004,318,301,小客车,4.03,40.60,39.13,0.01,86.22,7.93
2,100012,324,285,小客车,4.13,42.50,38.45,0.09,43.28,4.05
2,100013,310,269,小客车,4.75,55.00,42.67,0.32,32.39,2.73
2,100015,329,279,小客车,4.12,42.30,31.31,0.01,8.35,1.92
2,100016,320,264,小客车,4.87,57.30,39.37,0.00,22.22,2.03
2,100024,330,237,小客车,4.45,48.90,31.18,0.00,12.82,1.48
2,100027,327,219,小客车,4.91,58.10,41.09,0.48,21.50,1.88
2,100037,333,170,小客车,4.96,59.20,35.29,0.00,18.05,1.84
2,100038,460,289,小客车,4.53,50.50,46.19,0.01,57.38,4.47
2,100039,456,278,小客车,4.49,49.70,47.70,0.03,101.13,7.63
2,100054,463,247,小客车,4.96,59.10,47.17,0.00,34.06,2.60
