统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200004,141,130,小客车,4.58,51.60,51.60,0.00,997.71,3600.00
1,200006,147,130,小客车,4.37,47.30,47.23,0.02,997.82,3600.00
1,200012,295,262,小客车,4.66,53.10,50.36,0.58,997.67,3600.00
1,200014,155,120,小客车,4.19,43.80,43.78,0.00,997.90,3600.00
1,200018,163,121,小客车,4.04,40.70,40.69,0.00,997.98,3600.00
1,200022,299,255,小客车,4.58,51.60,48.25,0.71,997.71,3600.00
1,200029,291,237,小客车,4.74,54.70,48.39,1.28,523.50,38.95
1,300001,106,99,小客车,4.54,50.90,50.90,0.00,997.73,3600.00
1,300008,111,77,小客车,4.46,49.30,48.99,0.07,997.77,3600.00
1,300013,118,79,小客车,4.12,42.30,42.28,0.00,997.94,3600.00
1,300021,131,73,小客车,4.17,43.50,43.50,0.00,997.91,3600.00
1,300035,252,158,小客车,4.96,59.20,59.20,0.00,997.52,3600.00
1,300044,259,155,小客车,4.53,50.50,50.49,0.00,997.74,3600.00
1,300048,264,151,小客车,4.58,51.70,48.70,0.64,997.71,3600.00
1,300055,268,126,小客车,4.42,48.40,46.63,0.41,997.79,3600.00
1,300068,273,84,小客车,4.32,46.40,45.67,0.18,997.84,3600.00
1,300074,278,80,小客车,4.21,44.30,42.70,0.40,997.89,3600.00
1,300087,287,61,小客车,4.27,45.40,45.40,0.00,997.86,3600.00
2,200033,306,244,小客车,4.21,44.30,44.29,0.00,997.89,3600.00
2,200051,313,220,小客车,4.11,42.10,42.05,0.01,997.95,3600.00
2,200052,337,239,大客车,11.64,40.00,40.00,0.00,994.18,3600.00
2,200060,441,324,小客车,4.79,55.90,55.85,0.01,997.60,3600.00
2,200067,321,195,小客车,4.13,42.60,37.24,1.30,997.93,3600.00
2,200073,475,346,小客车,4.02,40.40,40.03,0.10,997.99,3600.00
2,200082,469,319,小客车,4.03,40.50,37.72,0.74,997.99,3600.00
2,200094,324,165,小客车,4.84,56.80,42.58,0.13,28.04,2.37
2,200113,456,262,小客车,4.46,49.10,43.55,0.00,46.05,3.81
2,200116,452,256,小客车,4.11,42.20,42.20,0.00,997.94,3600.00
2,200127,463,251,小客车,4.05,41.10,41.08,0.01,997.97,3600.00
2,200210,597,257,小客车,4.84,56.80,50.53,1.17,997.58,3600.00
2,300092,402,158,小客车,4.97,59.40,59.40,0.00,997.51,3600.00
2,300099,417,146,小客车,4.03,40.50,40.50,0.00,997.99,3600.00
2,300105,422,134,小客车,4.08,41.70,39.28,0.63,997.96,3600.00
2,300132,434,51,小客车,4.62,52.30,52.30,0.00,997.69,3600.00
2,300139,561,166,小客车,4.16,43.20,43.20,0.00,997.92,3600.00
2,300146,568,159,小客车,4.01,40.20,40.18,0.01,997.99,3600.00
2,300158,571,145,小客车,4.67,53.40,39.95,0.01,25.10,2.26
2,300172,577,125,小客车,4.33,46.60,38.50,1.20,522.53,48.86
2,300177,579,121,小客车,4.79,55.70,43.00,0.18,29.00,2.43
2,300183,585,120,小客车,4.01,40.20,40.14,0.02,997.99,3600.00
2,300203,588,73,小客车,4.78,55.60,39.41,0.04,22.93,2.09
2,300209,591,62,小客车,4.46,49.20,40.49,0.20,30.53,2.71
3,200086,770,618,小客车,4.20,44.00,42.58,0.36,997.90,3600.00
3,200189,612,311,小客车,4.23,44.60,44.60,0.00,997.88,3600.00
3,200245,618,211,小客车,4.34,46.90,46.63,0.07,997.83,3600.00
3,200251,601,180,小客车,4.98,59.60,51.81,0.53,522.25,36.29
3,200274,621,167,小客车,4.47,49.50,43.97,0.02,44.59,3.65
3,200280,752,290,小客车,4.07,41.40,41.34,0.02,997.97,3600.00
3,200290,759,274,小客车,4.01,40.20,40.05,0.04,997.99,3600.00
3,200305,746,241,小客车,4.18,43.70,43.70,0.00,997.91,3600.00
3,200329,763,225,小客车,4.26,45.20,39.99,0.00,40.97,3.69
3,200337,765,220,小客车,4.96,59.10,40.50,0.21,22.43,1.99
3,200343,774,225,小客车,4.16,43.20,39.84,0.90,523.12,47.27
3,200368,900,309,小客车,4.25,44.90,44.90,0.00,997.88,3600.00
3,200440,892,187,小客车,5.00,60.00,47.63,2.00,997.50,3600.00
3,300216,705,168,小客车,4.62,52.40,52.40,0.00,997.69,3600.00
3,300223,712,150,小客车,4.37,47.40,47.37,0.01,997.81,3600.00
3,300236,721,137,小客车,4.05,41.00,41.00,0.00,997.97,3600.00
3,300256,724,81,小客车,4.68,53.60,41.88,0.00,28.78,2.47
3,300262,727,63,小客车,4.92,58.40,42.42,0.24,24.95,2.12
3,300269,857,172,小客车,4.42,48.30,48.30,0.00,997.79,3600.00
3,300272,863,174,小客车,4.32,46.40,46.23,0.04,997.84,3600.00
3,300287,869,150,小客车,4.28,45.50,45.14,0.09,997.86,3600.00
3,300307,878,120,小客车,4.17,43.30,43.27,0.01,997.92,3600.00
3,300320,885,98,小客车,4.02,40.40,40.39,0.00,997.99,3600.00
4,200354,1085,517,小客车,4.09,41.80,40.61,0.32,997.96,3600.00
4,200376,920,315,小客车,4.04,40.80,39.25,0.42,997.98,3600.00
4,200387,905,280,小客车,4.21,44.30,43.11,0.30,997.89,3600.00
4,200391,915,284,小客车,4.13,42.70,42.17,0.14,997.93,3600.00
4,200393,1068,430,小客车,4.29,45.90,32.05,1.98,39.08,4.39
4,200396,1058,420,小客车,4.25,45.10,44.39,0.18,997.87,3600.00
4,200407,910,259,小客车,4.29,45.80,44.41,0.34,997.85,3600.00
4,200429,1089,404,小客车,4.17,43.40,38.82,0.02,40.84,3.79
4,200447,923,212,小客车,4.50,50.00,38.55,0.07,25.19,2.35
4,200460,1053,318,小客车,4.67,53.30,42.16,0.00,29.87,2.55
4,200462,1080,339,小客车,4.14,42.90,42.83,0.02,997.93,3600.00
4,200471,1062,306,小客车,4.22,44.50,41.02,0.90,523.79,45.97
4,200498,1074,272,小客车,4.16,43.20,42.96,0.06,997.92,3600.00
4,200509,1050,236,小客车,4.04,40.80,40.80,0.00,997.98,3600.00
4,200537,1197,325,小客车,4.15,43.00,43.00,0.00,997.92,3600.00
4,300346,1005,141,小客车,4.66,53.10,53.10,0.00,997.67,3600.00
4,300353,1014,138,大客车,12.13,44.05,44.05,0.00,993.94,3600.00
4,300364,1018,106,小客车,4.58,51.70,44.18,0.00,38.87,3.17
4,300377,1023,75,小客车,4.37,47.30,46.84,0.11,997.82,3600.00
4,300384,1035,65,小客车,4.26,45.20,45.20,0.00,997.87,3600.00
4,300392,1156,166,小客车,4.49,49.70,49.70,0.00,997.76,3600.00
4,300396,1167,167,小客车,4.11,42.20,42.01,0.05,997.94,3600.00
4,300417,1170,122,小客车,4.59,51.90,43.62,0.00,36.67,3.03
4,300424,1177,114,小客车,4.09,41.90,41.87,0.01,997.95,3600.00
4,300437,1183,77,小客车,4.03,40.50,40.37,0.04,997.99,3600.00
5,200084,1207,1056,小客车,4.71,54.30,41.77,0.00,27.66,2.38
5,200097,1210,1045,小客车,4.58,51.60,43.57,0.19,35.29,2.92
5,200128,1204,988,小客车,4.08,41.60,41.58,0.01,997.96,3600.00
5,200155,1214,967,小客车,4.67,53.50,47.24,0.05,46.42,3.54
