统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500010,84,61,电动车,2.38,21.05,20.80,0.00,12.38,2.14
1,500013,90,57,电动车,2.52,25.55,23.72,0.00,10.06,1.53
1,500023,110,49,电动车,2.62,29.05,23.22,0.00,15.27,2.37
1,500031,139,57,电动车,2.55,26.65,21.68,0.00,8.23,1.37
1,500072,238,64,自行车,1.71,13.86,20.00,0.00,3.88,0.70
1,500077,250,65,自行车,1.85,15.64,15.72,0.00,8.45,1.94
1,500080,260,66,自行车,1.87,15.92,14.42,0.92,0.58,0.15
1,500081,242,49,电动车,2.59,28.10,21.16,1.08,4.36,0.74
1,500082,262,65,自行车,1.82,15.20,13.92,0.69,0.73,0.19
1,500086,255,55,电动车,2.48,24.25,17.52,0.00,5.31,1.09
1,500088,281,59,电动车,2.62,28.95,7.28,1.73,0.71,0.35
2,500103,312,62,电动车,2.38,20.85,19.84,0.00,31.82,5.77
2,500107,324,67,自行车,1.89,16.26,17.94,0.44,4.28,0.86
2,500113,323,53,电动车,2.61,28.75,20.73,1.01,19.63,3.41
2,500120,359,58,电动车,2.43,22.70,18.26,0.00,14.67,2.89
2,500122,377,64,自行车,1.95,16.96,15.46,0.80,2.26,0.53
2,500125,380,61,电动车,2.42,22.40,16.25,0.83,2.33,0.52
2,500126,369,49,电动车,2.57,27.40,23.17,0.55,8.64,1.34
2,500128,389,65,电动车,2.36,20.40,15.40,1.07,2.08,0.49
2,500134,403,64,自行车,1.87,15.90,15.39,0.81,2.19,0.51
2,500135,405,56,电动车,2.47,24.00,18.86,0.99,5.77,1.10
2,500138,417,57,电动车,2.43,22.75,13.00,0.56,1.07,0.30
2,500143,433,61,电动车,2.40,21.65,8.69,1.33,1.80,0.75
2,500145,437,67,自行车,1.70,13.60,16.95,0.00,7.02,1.49
2,500147,439,65,自行车,1.91,16.52,17.89,0.30,2.40,0.48
2,500152,447,66,自行车,1.87,15.88,18.97,0.00,6.87,1.30
2,500153,443,61,电动车,2.41,22.05,17.36,0.00,11.93,2.47
2,500156,448,56,电动车,2.55,26.70,20.03,0.42,2.27,0.41
2,500160,451,48,电动车,2.61,28.70,18.38,0.65,11.67,2.29
2,500170,487,66,电动车,2.45,23.30,18.75,0.30,13.05,2.51
2,500172,493,66,自行车,1.73,14.06,16.21,0.24,13.21,2.93
2,500175,478,46,电动车,2.59,27.85,22.39,0.00,19.21,3.09
2,500177,500,67,自行车,1.77,14.60,15.33,0.00,3.88,0.91
2,500179,504,67,自行车,1.69,13.54,14.80,0.88,2.05,0.50
2,500181,510,65,电动车,2.35,20.10,14.48,1.16,1.75,0.43
2,500184,514,67,自行车,1.71,13.76,14.72,0.79,2.07,0.51
2,500187,521,67,自行车,1.79,14.84,14.81,0.88,1.89,0.46
2,500190,528,66,电动车,2.36,20.20,13.62,0.00,1.73,0.46
2,500201,537,53,电动车,2.58,27.80,16.03,0.00,1.65,0.37
2,500203,555,62,电动车,2.37,20.70,15.53,1.09,1.88,0.44
2,500204,562,68,自行车,1.83,15.40,14.32,0.33,1.56,0.39
2,500207,568,66,自行车,1.79,14.84,14.57,0.68,1.86,0.46
2,500213,582,64,电动车,2.35,20.10,10.10,1.09,5.25,1.87
2,500215,584,60,电动车,2.59,27.85,14.05,0.86,5.38,1.38
2,500222,599,62,电动车,2.39,21.40,17.83,0.83,2.59,0.52
2,500228,598,45,电动车,2.61,28.80,22.46,0.00,16.74,2.68
3,500236,636,60,电动车,2.55,26.80,23.35,0.00,4.49,0.69
3,500248,677,63,电动车,2.36,20.20,12.02,1.54,2.71,0.81
3,500250,675,63,电动车,2.55,26.60,26.19,0.00,10.92,1.50
3,500252,688,67,自行车,1.78,14.74,13.01,0.00,0.50,0.14
3,500256,695,61,电动车,2.47,24.00,17.99,0.00,10.74,2.15
3,500260,687,50,电动车,2.63,29.20,29.10,0.00,17.59,2.18
3,500262,709,69,自行车,1.65,13.06,15.01,0.85,2.93,0.70
3,500265,705,61,电动车,2.46,23.80,19.33,0.00,3.56,0.66
3,500268,714,61,电动车,2.58,27.65,8.67,1.36,0.94,0.39
3,500269,719,69,自行车,1.80,15.02,6.48,0.00,0.87,0.48
3,500278,722,55,电动车,2.60,28.30,12.23,0.13,0.50,0.15
3,500287,747,57,电动车,2.60,28.20,28.20,0.00,14.18,1.81
3,500291,753,52,电动车,2.48,24.45,22.79,0.00,12.76,2.02
3,500296,781,65,电动车,2.36,20.20,12.36,1.45,1.10,0.32
3,500297,787,69,自行车,1.91,16.42,16.85,0.22,16.25,3.47
3,500300,781,58,电动车,2.55,26.65,26.54,0.00,11.82,1.60
3,500319,858,64,自行车,1.80,15.00,15.90,0.00,8.59,1.94
3,500323,859,57,电动车,2.63,29.20,19.55,0.00,2.05,0.38
3,500325,864,54,电动车,2.48,24.30,6.64,0.00,1.66,0.90
3,500326,862,52,电动车,2.52,25.55,20.26,0.96,4.40,0.78
3,500331,869,51,电动车,2.53,25.95,19.97,1.04,2.31,0.42
3,500334,895,64,自行车,1.93,16.70,19.92,0.00,3.43,0.62
4,500346,916,65,电动车,2.64,29.60,26.01,0.00,10.05,1.39
4,500347,918,65,自行车,1.82,15.32,15.47,0.81,6.31,1.47
4,500363,939,61,电动车,2.51,25.35,25.35,0.00,9.94,1.41
4,500368,947,57,电动车,2.55,26.55,16.94,0.00,9.81,2.08
