统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200001,37,32,小客车,4.70,53.90,53.90,0.00,997.65,3600.00
1,200005,111,99,小客车,4.22,44.50,44.20,0.08,997.89,3600.00
1,200008,113,84,小客车,4.46,49.10,38.42,0.30,19.31,1.81
1,200013,138,105,小客车,4.97,59.50,49.81,0.00,31.56,2.28
1,200015,133,96,小客车,4.08,41.60,41.60,0.00,997.96,3600.00
1,200016,135,97,小客车,4.39,47.80,36.80,0.26,18.42,1.80
1,200033,150,88,小客车,4.21,44.30,44.28,0.00,997.89,3600.00
1,200035,161,98,小客车,4.62,52.40,40.85,0.00,21.86,1.93
1,200036,156,92,小客车,4.91,58.10,36.81,0.32,16.44,1.61
1,200037,154,88,小客车,4.64,52.90,36.59,0.44,17.21,1.69
1,200046,158,72,小客车,4.60,52.00,34.68,0.46,16.27,1.69
1,200048,152,63,小客车,4.83,56.50,39.36,0.42,18.16,1.66
1,200053,176,77,小客车,4.42,48.40,46.79,0.38,997.79,3600.00
1,200055,163,59,小客车,4.70,53.90,39.66,0.04,19.38,1.76
1,200063,165,44,小客车,4.73,54.60,36.67,0.29,16.79,1.65
1,200069,179,53,小客车,4.58,51.60,47.95,0.01,40.39,3.03
1,200078,192,52,小客车,4.01,40.30,40.17,0.00,149.11,13.36
1,200080,195,51,小客车,4.54,50.90,39.85,0.00,20.19,1.82
1,200082,199,49,小客车,4.03,40.50,31.44,0.27,16.49,1.89
1,200084,202,49,小客车,4.71,54.30,28.30,2.71,24.67,3.14
1,200087,196,42,小客车,4.22,44.40,34.57,0.23,17.88,1.86
1,200097,208,43,小客车,4.58,51.60,49.07,0.22,51.35,3.77
