统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100001,187,181,小客车,4.90,58.00,57.49,0.00,137.42,8.61
1,200017,168,128,小客车,4.48,49.60,49.55,0.00,307.86,22.37
1,200022,177,133,小客车,4.58,51.60,51.16,0.00,113.47,7.98
1,200027,197,151,小客车,4.97,59.50,54.38,0.01,16.56,2.19
1,200028,142,91,小客车,4.49,49.70,49.67,0.00,370.55,26.85
1,200047,202,113,小客车,4.75,55.00,50.66,0.00,41.04,2.92
1,300002,68,56,大客车,11.44,38.30,38.26,0.00,172.42,16.22
1,300003,55,44,小客车,4.67,53.50,53.50,0.00,997.66,3600.00
1,300005,197,168,小客车,4.07,41.30,40.92,0.00,83.35,7.33
1,300017,208,165,小客车,4.42,48.40,47.55,0.02,75.01,5.68
1,300019,204,161,小客车,4.96,59.20,48.63,0.03,22.56,1.67
1,300020,210,155,小客车,4.71,54.30,46.58,0.03,23.89,1.85
1,300022,219,156,小客车,4.45,48.90,44.57,0.01,28.97,2.34
1,300028,216,140,小客车,4.96,59.10,43.37,0.12,17.35,1.44
1,300029,228,148,小客车,4.79,55.90,40.32,0.00,16.02,1.43
1,300033,214,131,小客车,4.67,53.30,44.27,0.08,20.78,1.69
1,300038,223,125,小客车,4.05,41.00,40.31,0.01,55.09,4.92
1,300039,213,114,小客车,4.47,49.50,46.39,0.01,35.22,2.73
1,300046,226,117,小客车,4.20,43.90,40.32,0.00,27.05,2.42
