统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400005,40,29,小客车,4.78,55.60,55.60,0.00,997.61,3600.00
1,400014,57,34,小客车,4.39,47.80,45.67,0.00,56.74,4.47
1,400016,63,37,小客车,4.04,40.70,39.04,0.01,42.48,3.92
1,400017,53,27,小客车,4.98,59.60,58.62,0.08,128.24,7.88
1,400018,59,33,小客车,5.00,59.90,45.70,0.00,22.94,1.81
1,400019,71,44,小客车,4.01,40.20,35.96,0.08,24.77,2.48
1,400022,68,35,小客车,4.11,42.10,40.36,0.00,50.87,4.54
1,400030,87,34,小客车,4.08,41.50,40.76,0.00,66.51,5.87
1,400031,89,36,小客车,4.21,44.30,39.89,0.02,28.88,2.61
1,400037,94,36,小客车,4.46,49.10,40.49,0.00,23.24,2.07
1,400038,92,31,小客车,4.53,50.50,40.28,0.00,21.42,1.91
1,400046,101,29,小客车,4.83,56.50,52.00,0.00,40.20,2.78
1,400047,108,35,小客车,4.58,51.70,48.73,0.01,19.16,2.83
1,400049,112,35,小客车,4.11,42.10,41.59,0.01,75.90,6.57
1,400055,119,28,小客车,4.88,57.50,56.42,0.22,997.56,3600.00
1,400058,127,32,小客车,4.79,55.90,52.59,0.40,85.30,5.84
1,400060,133,36,小客车,4.04,40.70,40.32,0.00,85.04,7.59
1,400063,135,36,小客车,5.00,60.00,40.41,0.00,18.57,1.65
1,400064,139,39,小客车,4.02,40.40,38.32,0.02,42.01,3.95
1,400069,142,34,小客车,4.64,52.90,38.63,0.08,18.86,1.76
1,400072,144,34,小客车,4.75,55.10,38.84,0.04,18.42,1.71
1,400075,148,34,小客车,4.36,47.10,45.78,0.31,997.82,3600.00
1,400076,152,35,小客车,4.01,40.30,25.70,3.35,106.81,14.96
1,400079,158,31,小客车,4.50,50.00,47.56,0.00,53.17,4.02
1,400085,171,37,小客车,4.22,44.40,44.21,0.00,148.22,12.07
1,400086,178,37,小客车,4.15,43.00,42.44,0.05,102.40,8.69
1,400087,180,39,小客车,4.94,58.80,42.44,0.01,20.32,1.72
1,400096,192,32,小客车,4.57,51.30,49.84,0.00,65.63,4.74
1,400101,198,31,小客车,4.95,58.90,57.00,0.24,146.98,9.28
1,400102,203,35,大客车,12.35,45.90,44.46,0.09,531.65,43.05
1,400105,207,37,小客车,4.22,44.50,24.45,0.00,6.15,0.91
1,400106,206,33,小客车,4.30,46.10,44.60,0.01,51.41,8.30
1,400112,210,28,小客车,4.63,52.50,46.59,0.28,39.93,3.09
