统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200012,270,239,小客车,4.66,53.10,53.08,0.00,997.67,3600.00
1,200027,260,213,小客车,4.97,59.50,59.50,0.00,997.51,3600.00
1,200031,285,231,小客车,4.54,50.80,50.80,0.00,997.73,3600.00
1,200036,290,228,小客车,4.91,58.10,53.45,0.35,68.70,4.63
1,200037,276,212,小客车,4.64,52.90,52.00,0.27,997.68,3600.00
1,200062,295,177,小客车,4.04,40.70,39.79,0.00,65.45,5.92
2,200041,409,234,小客车,4.54,50.70,15.82,5.02,997.73,3600.00
2,200058,416,305,小客车,4.94,58.80,23.11,0.41,13.23,2.06
2,200073,413,206,小客车,4.02,40.40,23.23,0.03,13.39,2.08
2,200075,411,196,小客车,4.93,58.70,25.28,2.56,18.30,2.61
2,200076,419,284,小客车,4.59,51.90,24.80,0.53,13.99,2.03
2,200080,426,283,小客车,4.54,50.90,26.24,0.42,14.76,2.02
2,200082,421,272,小客车,4.03,40.50,25.12,0.43,14.51,2.08
2,200086,428,276,小客车,4.20,44.00,26.19,0.41,14.93,2.05
2,200093,424,265,小客车,4.28,45.50,25.61,0.39,14.52,2.04
2,200133,431,212,小客车,4.88,57.60,27.01,0.36,15.15,2.02
2,200145,434,198,小客车,4.51,50.30,27.36,0.32,15.37,2.02
2,200150,436,194,小客车,4.46,49.10,27.43,0.31,15.43,2.02
