统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500009,212,190,自行车,1.88,16.00,19.99,0.00,59.52,10.72
1,500015,221,186,自行车,1.78,14.68,19.67,0.00,34.09,6.24
1,500024,230,166,自行车,1.66,13.18,19.81,0.00,45.45,8.26
1,500030,197,118,电动车,2.61,28.70,28.70,0.00,37.07,4.65
1,500033,215,128,电动车,2.64,29.60,19.99,0.00,9.92,1.79
1,600004,235,223,自行车,1.79,14.82,19.48,0.00,11.50,2.13
1,600007,233,219,自行车,1.80,14.94,19.96,0.00,0.50,0.09
1,600009,239,222,自行车,1.94,16.90,19.11,0.00,10.58,1.99
1,600013,241,217,电动车,2.49,24.80,19.10,0.00,3.14,0.59
1,600030,246,191,电动车,2.56,26.95,19.11,0.00,7.37,1.39
1,600031,215,155,电动车,2.54,26.20,26.04,0.00,0.50,0.07
1,600034,254,182,自行车,1.80,14.94,19.53,0.00,23.16,4.27
1,600039,237,162,自行车,1.92,16.66,19.31,0.00,8.60,1.60
1,600043,256,178,电动车,2.58,27.50,19.53,0.00,10.01,1.84
1,600050,259,169,电动车,2.45,23.45,19.59,0.00,12.11,2.23
1,600064,240,118,自行车,1.76,14.46,18.86,0.00,6.07,1.16
1,600066,235,107,电动车,2.51,25.30,19.96,0.00,0.50,0.09
1,600069,244,112,自行车,1.66,13.08,19.85,0.00,1.65,0.30
1,600074,260,115,自行车,1.65,13.06,19.89,0.00,4.21,0.76
1,700004,215,202,自行车,1.79,14.86,20.00,0.00,0.50,0.09
1,700005,163,149,电动车,2.53,25.85,25.85,0.00,998.74,3600.00
1,700009,232,196,自行车,1.68,13.46,19.98,0.00,12.71,2.29
1,700011,204,167,电动车,2.52,25.55,25.30,0.00,52.05,7.40
1,700016,192,143,电动车,2.56,27.15,27.15,0.00,200.98,26.65
1,700017,246,194,自行车,1.70,13.70,19.55,0.00,0.67,0.12
1,700020,244,175,电动车,2.49,24.65,19.10,0.00,10.58,1.99
1,700023,249,171,电动车,2.46,23.55,19.18,0.00,9.80,1.84
1,700027,250,159,电动车,2.51,25.20,22.96,0.00,7.59,1.19
1,700031,261,163,电动车,2.64,29.60,19.60,0.00,4.44,0.82
1,700033,270,170,电动车,2.50,24.85,24.41,0.00,45.64,6.73
1,700036,274,162,电动车,2.51,25.45,25.28,0.00,29.24,4.16
1,700043,292,169,电动车,2.63,29.35,29.27,0.00,121.42,14.93
2,500039,369,265,自行车,1.65,13.04,19.56,0.00,9.46,1.74
2,500051,343,218,电动车,2.60,28.50,25.02,0.00,18.51,2.66
2,500052,374,246,自行车,1.93,16.68,19.33,0.00,22.65,4.22
2,500055,347,209,电动车,2.62,29.00,27.08,0.00,26.26,3.49
2,500058,368,219,电动车,2.46,23.60,22.50,0.00,0.62,0.10
2,500061,370,216,电动车,2.57,27.20,22.52,0.00,2.39,0.38
2,500079,353,162,电动车,2.56,27.15,26.57,0.00,11.63,1.58
2,500101,341,107,电动车,2.64,29.55,29.55,0.00,4.86,0.59
2,600052,382,287,自行车,1.66,13.16,19.76,0.00,0.91,0.17
2,600054,387,291,自行车,1.93,16.76,19.42,0.00,1.53,0.28
2,600059,391,276,自行车,1.87,15.92,19.17,0.00,21.44,4.02
2,600070,393,261,电动车,2.58,27.55,19.17,0.00,9.28,1.74
2,600077,381,232,自行车,1.80,15.00,19.93,0.00,9.52,1.72
2,600084,403,240,自行车,1.70,13.60,19.11,0.00,7.54,1.42
2,600087,408,238,自行车,1.82,15.30,18.77,0.00,17.48,3.35
2,600093,412,236,自行车,1.82,15.32,18.68,0.00,16.91,3.26
2,600097,415,236,自行车,1.69,13.54,18.59,0.00,6.06,1.17
2,600098,367,189,电动车,2.50,25.10,25.05,0.00,16.60,2.39
2,600102,418,229,自行车,1.77,14.56,18.45,0.00,15.54,3.03
2,600107,422,206,自行车,1.70,13.70,18.36,0.00,15.14,2.97
2,600126,384,126,电动车,2.64,29.70,19.93,0.00,7.75,1.40
2,600130,380,117,电动车,2.38,20.85,20.80,0.00,28.32,4.90
2,600136,386,113,电动车,2.46,23.60,19.94,0.00,12.59,2.27
2,600141,393,110,电动车,2.50,25.15,19.41,0.00,0.50,0.09
2,600146,396,96,电动车,2.49,24.55,19.40,0.00,10.99,2.04
2,600148,396,96,电动车,2.50,24.95,24.84,0.00,0.50,0.07
2,700037,316,202,自行车,1.65,13.04,20.00,0.00,76.92,13.85
2,700042,322,199,自行车,1.71,13.78,19.63,0.00,32.00,5.87
2,700047,333,199,自行车,1.86,15.74,19.99,0.00,11.08,2.00
2,700051,304,162,电动车,2.48,24.20,24.15,0.00,98.36,14.66
2,700052,339,195,自行车,1.74,14.14,19.72,0.00,36.89,6.73
2,700056,331,168,电动车,2.46,23.60,23.24,0.00,45.75,7.09
2,700058,364,190,电动车,2.37,20.65,20.64,0.00,1.39,0.24
2,700062,399,218,自行车,1.81,15.16,19.48,0.00,13.54,2.50
2,700063,364,182,电动车,2.43,22.70,22.62,0.00,73.29,11.67
2,700067,391,200,自行车,1.81,15.14,19.43,0.00,0.50,0.09
2,700072,401,202,自行车,1.76,14.48,19.45,0.00,11.85,2.19
2,700075,351,148,电动车,2.55,26.60,26.50,0.00,28.25,3.84
2,700076,405,189,电动车,2.38,20.90,19.62,0.00,0.50,0.09
2,700080,425,201,自行车,1.82,15.20,18.27,0.00,14.70,2.90
2,700083,414,181,电动车,2.43,22.70,22.42,0.00,9.80,1.57
2,700088,405,155,电动车,2.64,29.70,19.11,0.00,9.30,1.75
