统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500005,179,167,电动车,2.53,26.15,26.07,0.00,101.61,14.03
1,500010,199,175,电动车,2.38,21.05,21.03,0.00,141.29,24.18
1,500013,202,169,电动车,2.52,25.55,21.03,0.00,12.60,2.16
1,500019,216,166,自行车,1.70,13.70,19.95,0.00,84.78,15.30
1,800006,165,156,电动车,2.55,26.55,26.55,0.00,998.73,3600.00
1,800030,300,237,电动车,2.62,29.05,29.05,0.00,998.69,3600.00
2,500022,351,288,自行车,1.79,14.86,19.70,0.01,29.07,5.31
2,500028,357,282,自行车,1.75,14.28,19.56,0.00,29.39,5.41
2,500031,342,258,电动车,2.55,26.65,26.61,0.00,19.50,2.64
2,500091,347,131,电动车,2.63,29.50,22.28,0.98,9.63,1.56
2,800012,319,297,自行车,1.66,13.14,20.00,0.00,31.90,5.74
2,800016,302,271,电动车,2.52,25.80,25.80,0.00,12.18,1.70
2,800029,326,262,自行车,1.84,15.48,20.00,0.00,13.09,2.36
2,800035,308,237,电动车,2.51,25.35,24.91,0.00,40.83,5.90
2,800038,323,249,电动车,2.40,21.70,20.44,0.00,19.90,3.50
2,800042,332,250,自行车,1.90,16.30,19.70,0.00,35.56,6.50
2,800051,311,218,电动车,2.61,28.75,24.87,0.00,16.38,2.37
2,800061,338,233,电动车,2.39,21.30,19.78,0.00,17.29,3.15
2,800072,333,216,自行车,1.65,13.06,19.86,0.00,0.50,0.09
2,800074,345,226,自行车,1.81,15.18,19.71,0.00,21.32,3.89
2,800079,314,186,电动车,2.59,27.90,26.13,0.00,24.39,3.36
2,800086,320,183,电动车,2.56,26.85,26.21,0.00,2.92,0.40
2,800088,334,192,电动车,2.60,28.40,19.70,0.00,8.65,1.58
