统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,0,0.00
1,1,200,30,0,0.00
1,1,200,31,0,0.00
1,1,200,32,0,0.00
1,1,200,33,1,4.90
1,1,200,34,1,4.90
1,1,200,35,1,4.90
1,1,200,36,1,4.90
1,1,200,37,1,4.90
1,1,200,38,1,4.90
1,1,200,39,1,4.90
1,1,200,40,1,4.90
1,1,200,41,1,4.90
1,1,200,42,1,4.90
1,1,200,43,1,4.90
1,1,200,44,1,4.90
1,1,200,45,1,4.90
1,1,200,46,1,4.90
1,1,200,47,1,4.90
1,1,200,48,1,4.90
1,1,200,49,1,4.90
1,1,200,50,1,4.90
1,1,200,51,1,4.90
1,1,200,52,1,4.90
1,1,200,53,1,4.90
1,1,200,54,1,4.90
1,1,200,55,1,4.90
1,1,200,56,1,4.90
1,1,200,57,1,4.90
1,1,200,58,1,4.90
1,1,200,59,1,4.90
1,1,200,60,1,4.90
1,1,200,61,1,4.90
1,1,200,62,1,4.90
1,1,200,63,1,4.90
1,1,200,64,1,4.90
1,1,200,65,1,4.90
1,1,200,66,1,4.90
1,1,200,67,1,4.90
1,1,200,68,1,4.90
1,1,200,69,1,4.90
1,1,200,70,1,4.90
1,1,200,71,1,4.90
1,1,200,72,1,4.90
1,1,200,73,1,4.90
1,1,200,74,1,4.90
1,1,200,75,1,4.90
1,1,200,76,1,4.90
1,1,200,77,1,4.90
1,1,200,78,1,4.90
1,1,200,79,1,4.90
1,1,200,80,1,4.90
1,1,200,81,1,4.90
1,1,200,82,1,4.90
1,1,200,83,1,4.90
1,1,200,84,1,4.90
1,1,200,85,1,4.90
1,1,200,86,1,4.90
1,1,200,87,1,4.90
1,1,200,88,1,4.90
1,1,200,89,1,4.90
1,1,200,90,1,4.90
1,1,200,91,1,4.90
1,1,200,92,1,4.90
1,1,200,93,1,4.90
1,1,200,94,1,4.90
1,1,200,95,1,4.90
1,1,200,96,1,4.90
1,1,200,97,1,4.90
1,1,200,98,1,4.90
1,1,200,99,1,4.90
1,1,200,100,1,4.90
1,1,200,101,1,4.90
1,1,200,102,1,4.90
1,1,200,103,1,4.90
1,1,200,104,1,4.90
1,1,200,105,1,4.90
1,1,200,106,1,4.90
1,1,200,107,1,4.90
1,1,200,108,1,4.90
1,1,200,109,1,4.90
1,1,200,110,1,4.90
1,1,200,111,1,4.90
1,1,200,112,1,4.90
1,1,200,113,1,4.90
1,1,200,114,1,4.90
1,1,200,115,1,4.90
1,1,200,116,1,4.90
1,1,200,117,1,4.90
1,1,200,118,1,4.90
1,1,200,119,1,4.90
1,1,200,120,1,4.90
1,1,200,121,1,4.90
1,1,200,122,1,4.90
1,1,200,123,1,4.90
1,1,200,124,1,4.90
1,1,200,125,2,13.00
1,1,200,126,2,12.15
