统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200001,289,171,小客车,4.70,53.90,15.59,4.94,997.65,3600.00
2,200008,439,331,小客车,4.46,49.10,13.66,2.67,997.77,3600.00
2,200012,441,333,小客车,4.66,53.10,18.86,0.00,8.36,1.60
2,200032,452,384,小客车,4.08,41.50,20.38,0.96,10.43,1.84
2,200044,444,292,小客车,4.17,43.40,17.99,0.76,7.83,1.57
2,200054,448,300,小客车,4.34,46.90,23.69,0.67,10.86,1.65
2,200055,446,277,小客车,4.70,53.90,21.72,0.84,9.88,1.64
2,200056,456,344,小客车,4.04,40.80,22.91,0.36,10.62,1.67
2,200066,454,326,小客车,4.02,40.40,22.52,0.42,10.46,1.67
2,200078,458,315,小客车,4.01,40.30,23.31,0.32,10.90,1.68
2,200113,463,268,小客车,4.46,49.10,32.35,0.00,17.25,1.92
2,200153,461,214,小客车,4.53,50.60,27.13,0.00,12.33,1.64
