统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100008,144,120,小客车,4.89,57.90,47.08,0.28,46.75,3.57
1,300004,79,64,小客车,4.05,41.10,41.10,0.00,997.97,3600.00
1,300009,91,54,小客车,4.58,51.70,49.69,0.00,131.89,9.56
1,300018,226,183,小客车,4.38,47.60,47.60,0.00,997.81,3600.00
1,300024,129,60,小客车,4.46,49.30,45.90,0.01,65.83,5.16
1,300031,146,65,小客车,4.52,50.40,40.15,0.20,25.96,2.33
1,300038,255,156,小客车,4.05,41.00,39.53,0.00,89.76,8.17
1,300046,237,127,小客车,4.20,43.90,42.92,0.00,137.84,11.56
1,300058,244,87,小客车,4.28,45.60,43.19,0.00,79.02,6.59
1,300065,264,83,小客车,4.12,42.40,38.41,0.01,44.95,4.21
1,300071,270,77,小客车,4.54,50.70,40.80,0.00,29.79,2.63
1,300085,285,64,小客车,4.33,46.60,37.25,0.01,26.15,2.53
1,400001,98,93,小客车,4.73,54.60,51.41,0.00,90.12,6.31
1,400009,110,95,小客车,4.49,49.70,47.27,0.01,87.62,6.67
1,400010,103,88,小客车,4.66,53.10,49.82,0.00,79.23,5.72
1,400015,124,100,小客车,4.48,49.60,48.55,0.00,182.19,13.51
1,400016,139,113,小客车,4.04,40.70,39.80,0.00,124.27,11.24
1,400029,247,196,小客车,4.54,50.80,43.70,0.00,39.56,3.26
1,400040,258,192,小客车,4.47,49.40,39.33,0.01,27.40,2.51
1,400055,260,168,小客车,4.88,57.50,39.28,0.01,21.19,1.94
1,400058,267,171,小客车,4.79,55.90,39.74,0.00,22.76,2.06
1,400064,275,174,小客车,4.02,40.40,37.81,0.01,57.43,5.47
1,400070,278,168,小客车,4.67,53.40,37.70,0.01,21.13,2.02
1,400077,280,160,小客车,4.84,56.90,37.62,0.01,19.60,1.88
1,400087,282,141,小客车,4.94,58.80,37.55,0.01,18.97,1.82
1,400093,288,133,小客车,4.33,46.50,37.06,0.01,25.85,2.51
1,400109,291,110,小客车,4.17,43.50,36.74,0.01,30.48,2.99
2,100012,314,275,小客车,4.13,42.50,41.86,0.00,224.58,19.31
2,100029,325,206,小客车,4.36,47.10,42.00,0.00,45.27,3.88
2,100034,327,183,小客车,4.87,57.40,42.14,0.00,25.10,2.14
2,100042,320,137,小客车,4.54,50.90,41.76,0.00,31.56,2.72
2,100050,330,118,小客车,4.58,51.70,43.82,0.00,37.91,3.11
2,100053,453,237,小客车,4.68,53.70,49.75,0.00,82.27,5.95
2,100067,466,198,小客车,4.12,42.40,41.76,0.00,178.31,15.37
2,100079,471,160,小客车,4.33,46.50,42.57,0.00,55.42,4.69
2,100086,475,133,小客车,4.55,51.00,43.01,0.00,35.96,3.01
2,100090,480,131,小客车,4.42,48.50,44.08,0.00,54.69,4.47
2,100095,482,121,小客车,4.95,59.00,44.12,0.00,27.12,2.21
2,300095,317,60,小客车,4.61,52.20,42.14,0.00,30.63,2.62
2,300101,338,65,小客车,4.37,47.30,45.01,0.00,90.57,7.24
2,300115,387,61,小客车,4.88,57.50,57.50,0.00,997.56,3600.00
2,400118,425,221,小客车,4.07,41.30,40.90,0.00,215.80,18.99
2,400120,410,202,小客车,4.62,52.30,51.87,0.00,355.20,24.65
2,400129,445,223,小客车,4.01,40.20,39.74,0.00,228.90,20.74
