统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200004,45,34,小客车,4.58,51.60,51.60,0.00,997.71,3600.00
1,200005,170,161,小客车,4.22,44.50,23.87,0.01,15.08,4.55
1,200007,54,32,小客车,4.78,55.60,53.28,0.00,120.20,8.12
1,200011,169,138,小客车,4.49,49.70,40.31,0.04,32.08,2.87
1,200019,94,53,小客车,4.98,59.60,56.64,0.44,997.51,3600.00
1,200024,166,121,小客车,4.11,42.10,42.08,0.00,997.95,3600.00
1,200038,277,211,小客车,4.49,49.70,39.93,0.03,28.16,2.54
1,200070,272,147,小客车,4.53,50.60,39.64,0.01,11.99,2.18
1,200077,274,136,小客车,4.36,47.10,40.46,0.09,33.82,3.01
2,200022,361,317,小客车,4.58,51.60,49.95,0.00,145.06,10.45
2,200023,349,304,小客车,4.28,45.50,42.61,0.17,90.57,7.65
2,200026,382,329,小客车,4.63,52.50,18.30,2.42,10.56,2.08
2,200031,367,311,小客车,4.54,50.80,43.02,0.05,35.08,2.94
2,200035,374,314,小客车,4.62,52.40,21.74,0.01,14.16,4.69
2,200037,364,299,小客车,4.64,52.90,45.29,0.05,36.92,2.93
2,200040,370,297,小客车,4.53,50.50,41.40,0.05,30.66,2.67
2,200041,386,304,小客车,4.54,50.70,23.59,1.73,11.80,1.80
2,200052,389,288,大客车,11.64,40.00,29.23,0.84,17.78,2.19
2,200058,402,294,小客车,4.94,58.80,23.74,0.01,9.27,2.81
2,200061,384,266,小客车,4.84,56.90,18.80,3.92,13.35,2.56
2,200065,391,267,小客车,5.00,60.00,30.47,0.42,14.13,1.67
2,200074,402,273,小客车,4.75,55.10,32.65,0.00,10.86,1.20
2,200081,376,235,小客车,4.50,50.00,36.72,0.00,24.82,2.43
2,200083,342,193,小客车,4.60,52.00,50.17,0.31,997.70,3600.00
2,200084,415,264,小客车,4.71,54.30,37.11,0.00,22.08,2.14
2,200090,397,241,小客车,4.72,54.50,32.91,0.09,16.52,1.81
2,200091,408,249,小客车,4.58,51.50,23.93,0.01,10.71,1.61
2,200092,382,226,小客车,4.68,53.70,43.45,0.01,16.22,2.69
2,200095,395,233,小客车,4.33,46.50,28.34,1.11,19.77,2.51
2,200097,410,248,小客车,4.58,51.60,20.47,0.01,15.04,5.29
2,200099,400,224,小客车,4.70,53.90,31.88,0.00,15.30,1.73
2,200100,405,229,小客车,4.92,58.40,19.01,0.01,8.38,1.59
2,200106,422,236,小客车,4.39,47.80,35.99,0.24,21.21,2.12
2,200107,440,251,小客车,4.22,44.50,33.35,0.20,19.93,2.15
2,200109,426,237,小客车,4.39,47.80,33.11,0.14,17.94,1.95
2,200110,446,257,小客车,4.96,59.10,33.53,0.07,15.73,1.69
2,200111,410,221,小客车,4.17,43.50,23.04,0.11,10.48,1.64
2,200121,428,221,小客车,4.61,52.10,32.63,0.13,16.19,1.79
2,200126,424,212,小客车,4.61,52.20,34.04,0.22,17.41,1.84
2,200128,460,242,小客车,4.08,41.60,14.77,0.00,11.55,2.82
2,200130,452,233,小客车,4.97,59.40,35.93,0.00,17.59,1.76
2,200135,420,198,小客车,4.61,52.10,43.84,0.00,42.12,3.46
2,200137,442,216,小客车,4.86,57.10,33.39,0.12,15.90,1.71
2,200140,431,200,小客车,4.36,47.20,32.49,0.07,17.54,1.94
2,200142,462,225,小客车,4.63,52.50,24.24,1.40,13.65,2.03
2,200145,436,201,小客车,4.51,50.30,39.61,0.77,44.41,4.04
2,200146,438,200,小客车,4.77,55.40,34.09,0.58,16.66,1.76
2,200149,444,205,小客车,4.86,57.10,33.49,0.08,15.96,1.72
2,200155,450,203,小客车,4.67,53.50,40.40,0.00,28.30,2.52
2,200158,483,224,小客车,4.79,55.70,20.41,0.00,9.08,1.60
2,200162,506,242,小客车,4.88,57.70,6.37,0.01,0.77,0.87
2,200165,457,187,小客车,4.50,50.00,13.66,0.00,5.16,1.36
2,200167,454,183,小客车,4.89,57.90,22.16,0.00,20.89,3.39
2,200169,466,193,小客车,4.53,50.50,26.63,0.01,3.95,1.07
2,200172,467,190,小客车,4.40,48.00,32.89,0.00,16.00,1.75
2,200174,477,199,小客车,4.63,52.60,23.40,0.32,9.47,1.46
2,200175,480,197,小客车,4.64,52.90,20.95,0.62,10.84,1.86
2,200176,476,194,小客车,4.13,42.60,32.30,0.00,24.93,2.78
2,200177,471,187,小客车,4.59,51.90,29.86,0.05,14.53,1.75
2,200182,456,167,小客车,4.37,47.40,34.71,0.01,27.61,5.73
2,200187,487,185,小客车,4.91,58.10,10.34,0.00,5.56,1.94
2,200192,497,189,小客车,4.67,53.40,22.80,0.34,10.13,1.60
2,200193,469,162,小客车,4.82,56.40,30.68,0.05,13.95,1.64
2,200196,493,179,小客车,4.09,41.90,17.68,1.10,7.97,1.62
2,200197,506,187,小客车,4.66,53.10,21.11,0.00,9.11,1.55
2,200209,490,146,小客车,4.54,50.80,11.10,0.55,5.43,1.76
2,200212,501,154,小客车,4.49,49.80,22.06,0.00,9.62,1.57
2,200218,504,147,小客车,4.01,40.20,21.39,0.00,9.68,1.63
2,200222,495,129,小客车,4.10,42.00,22.14,0.28,9.91,1.61
2,200225,499,127,小客车,4.06,41.20,22.82,0.23,10.54,1.66
2,200245,509,99,小客车,4.34,46.90,12.38,0.00,6.52,1.90
