统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500001,195,189,电动车,2.55,26.75,26.75,0.00,0.54,0.07
1,500006,203,185,电动车,2.49,24.65,24.46,0.00,22.13,3.26
1,500012,218,188,自行车,1.91,16.46,19.97,0.00,0.50,0.09
1,500018,194,147,电动车,2.56,27.15,27.15,0.00,998.72,3600.00
1,500021,199,139,电动车,2.55,26.60,25.99,0.00,33.38,4.63
1,500027,213,143,电动车,2.59,27.95,27.83,0.00,66.77,8.64
1,600002,231,222,自行车,1.76,14.46,19.92,0.00,28.14,5.09
1,600011,236,215,电动车,2.37,20.80,20.21,0.00,23.58,4.20
1,600016,214,182,电动车,2.65,29.95,29.95,0.00,5.57,0.67
1,600018,217,179,电动车,2.52,25.80,25.16,0.01,27.40,3.92
1,600021,218,177,电动车,2.64,29.75,28.74,0.00,3.75,0.47
1,600023,239,194,电动车,2.64,29.75,20.21,0.00,6.57,1.17
1,600025,243,196,电动车,2.57,27.35,20.25,0.00,10.70,1.90
1,600027,241,190,电动车,2.51,25.40,20.23,0.00,11.56,2.06
1,600036,246,173,电动车,2.51,25.25,20.45,0.00,12.01,2.11
1,600041,248,172,电动车,2.60,28.25,20.55,0.00,0.50,0.09
1,600045,251,168,电动车,2.53,25.85,21.77,0.00,13.98,2.31
1,600048,226,139,电动车,2.41,22.00,21.88,0.00,42.00,6.91
1,600060,232,117,电动车,2.38,21.15,20.75,0.00,2.87,0.50
1,600073,237,93,电动车,2.46,23.55,22.69,0.00,2.65,0.42
1,600079,248,94,电动车,2.53,26.00,25.76,0.00,9.41,1.31
2,500036,360,262,电动车,2.37,20.50,20.50,0.00,51.87,9.11
2,500043,342,228,电动车,2.62,28.85,28.85,0.00,998.69,3600.00
2,500046,362,239,电动车,2.53,25.85,20.50,0.00,9.90,1.74
2,500065,502,347,电动车,2.43,22.70,22.70,0.00,55.02,8.73
2,500070,349,181,电动车,2.59,27.85,27.59,0.00,60.19,7.86
2,500073,360,186,电动车,2.45,23.30,23.15,0.00,1.29,0.20
2,500087,370,165,自行车,1.91,16.42,19.92,0.00,20.21,3.65
2,500090,353,138,电动车,2.64,29.70,27.30,0.00,22.11,2.92
2,500093,375,151,自行车,1.83,15.44,19.41,0.00,3.61,0.67
2,500108,495,233,电动车,2.56,26.85,26.85,0.00,998.72,3600.00
2,500111,504,235,电动车,2.43,22.55,22.46,0.00,7.91,1.27
2,600057,384,280,自行车,1.90,16.38,19.93,0.00,47.93,8.66
2,600082,392,233,自行车,1.71,13.80,19.76,0.00,23.80,4.34
2,600088,367,198,电动车,2.56,26.85,25.26,0.00,26.32,3.75
2,600092,394,219,电动车,2.56,26.95,19.76,0.00,5.92,1.08
2,600100,396,216,电动车,2.59,27.90,19.76,0.00,4.31,0.79
2,600104,412,219,自行车,1.74,14.22,19.95,0.00,87.06,15.71
2,600132,385,122,自行车,1.94,16.86,19.85,0.00,1.85,0.34
2,600135,374,104,电动车,2.50,25.05,24.70,0.00,20.93,3.05
2,600139,386,109,自行车,1.88,16.02,20.00,0.00,5.59,1.01
2,600144,387,95,电动车,2.53,26.10,19.85,0.00,3.33,0.60
2,600150,393,89,电动车,2.48,24.45,23.47,0.00,3.88,0.60
2,600157,395,86,电动车,2.61,28.80,23.58,0.00,4.83,0.74
