统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200004,141,130,小客车,4.58,51.60,51.59,0.00,997.71,3600.00
1,200006,147,130,小客车,4.37,47.30,47.14,0.03,997.82,3600.00
1,200014,155,120,小客车,4.19,43.80,43.74,0.01,997.90,3600.00
1,200018,162,121,小客车,4.04,40.70,40.67,0.01,997.98,3600.00
1,200029,290,236,小客车,4.74,54.70,54.62,0.01,997.63,3600.00
1,200042,296,214,小客车,4.47,49.40,49.23,0.03,997.76,3600.00
1,300001,106,99,小客车,4.54,50.90,50.90,0.00,997.73,3600.00
1,300008,111,77,小客车,4.46,49.30,48.78,0.10,997.77,3600.00
1,300013,118,79,小客车,4.12,42.30,42.25,0.01,997.94,3600.00
1,300021,131,73,小客车,4.17,43.50,43.50,0.00,997.91,3600.00
1,300044,258,154,小客车,4.53,50.50,50.45,0.01,997.74,3600.00
1,300048,264,151,小客车,4.58,51.70,51.17,0.09,997.71,3600.00
1,300060,271,113,小客车,4.36,47.20,47.11,0.02,997.82,3600.00
1,300068,275,86,小客车,4.32,46.40,44.49,0.36,997.84,3600.00
1,300088,282,55,小客车,4.42,48.50,48.07,0.08,997.79,3600.00
2,200026,469,422,小客车,4.63,52.50,47.86,0.77,997.69,3600.00
2,200030,450,396,小客车,4.03,40.50,40.50,0.00,997.99,3600.00
2,200040,462,389,小客车,4.53,50.50,45.05,0.08,44.67,3.57
2,200057,456,345,小客车,4.88,57.50,43.02,0.18,25.81,2.16
2,200070,326,200,小客车,4.53,50.60,50.60,0.00,997.73,3600.00
2,200071,459,332,小客车,4.64,52.90,45.19,0.18,37.38,2.98
2,200082,486,337,小客车,4.03,40.50,40.50,0.00,997.99,3600.00
2,200083,453,304,小客车,4.60,52.00,42.17,0.00,31.51,2.69
2,200094,465,307,小客车,4.84,56.80,47.16,0.06,36.45,2.78
2,200096,474,310,小客车,4.70,53.90,52.22,0.28,997.65,3600.00
2,300092,402,158,小客车,4.97,59.40,59.40,0.00,997.51,3600.00
2,300100,406,134,小客车,4.99,59.80,58.18,0.24,997.50,3600.00
2,300105,417,130,小客车,4.08,41.70,41.70,0.00,997.96,3600.00
2,300119,424,92,小客车,4.04,40.80,40.67,0.03,997.98,3600.00
2,300132,434,51,小客车,4.62,52.30,52.28,0.00,997.69,3600.00
