统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,600008,142,129,电动车,2.55,26.55,26.55,0.00,998.73,3600.00
1,600015,167,136,自行车,1.94,16.92,20.00,0.00,999.03,3600.00
1,600024,177,130,自行车,1.80,14.94,20.00,0.00,999.10,3600.00
1,600038,296,224,电动车,2.49,24.70,24.70,0.00,998.75,3600.00
2,600028,310,257,自行车,1.67,13.30,20.00,0.00,21.76,3.92
2,600040,303,229,电动车,2.40,21.70,21.70,0.00,12.62,2.09
2,600046,306,222,电动车,2.53,26.00,21.70,0.00,13.55,2.25
2,600049,315,226,自行车,1.78,14.68,19.53,0.00,0.52,0.10
2,600055,301,202,电动车,2.50,25.00,24.25,0.00,31.54,4.68
2,600058,315,210,电动车,2.36,20.35,20.32,0.02,9.51,1.69
2,600063,313,194,电动车,2.39,21.30,21.30,0.00,14.28,2.41
2,600068,318,188,电动车,2.55,26.70,19.55,0.00,10.44,1.92
2,600085,315,147,电动车,2.63,29.40,21.21,0.01,0.50,0.08
2,600103,320,127,电动车,2.42,22.25,21.48,0.01,9.95,1.67
2,600120,442,205,电动车,2.51,25.35,25.35,0.00,998.74,3600.00
2,600129,471,209,自行车,1.91,16.52,19.89,0.02,25.07,4.54
2,600138,446,171,电动车,2.54,26.25,25.11,0.00,27.51,3.94
2,600142,476,191,自行车,1.88,16.08,19.32,0.00,23.84,4.44
2,600145,460,164,自行车,1.91,16.42,20.00,0.00,499.77,89.96
2,600151,460,155,电动车,2.55,26.75,26.75,0.00,499.61,67.24
2,600159,466,150,自行车,1.84,15.60,19.64,0.00,8.23,1.51
2,600163,465,142,电动车,2.62,28.95,27.91,0.00,25.68,3.31
2,600186,478,128,电动车,2.58,27.60,25.19,0.81,9.64,1.38
