统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500010,84,61,电动车,2.38,21.05,20.80,0.00,12.38,2.14
1,500013,90,57,电动车,2.52,25.55,23.72,0.00,10.06,1.53
1,500023,110,49,电动车,2.62,29.05,23.22,0.00,15.27,2.37
1,500031,139,57,电动车,2.55,26.65,21.68,0.00,8.23,1.37
1,500072,238,64,自行车,1.71,13.86,20.00,0.00,3.83,0.69
1,500077,250,65,自行车,1.85,15.64,15.75,0.00,8.52,1.95
1,500078,254,62,电动车,2.38,20.90,7.85,0.08,3.95,1.81
1,500080,260,65,自行车,1.87,15.92,15.76,0.00,8.51,1.94
1,500081,242,49,电动车,2.59,28.10,21.80,1.02,4.41,0.73
1,500082,262,66,自行车,1.82,15.20,14.68,0.00,3.30,0.81
1,500086,257,55,电动车,2.48,24.25,7.81,0.03,3.98,1.83
1,500088,268,59,电动车,2.62,28.95,10.01,0.00,4.02,1.45
1,500092,283,62,电动车,2.37,20.75,19.18,0.43,4.31,0.81
1,500098,286,54,电动车,2.65,29.90,22.55,0.00,6.81,1.09
2,500103,312,60,电动车,2.38,20.85,20.63,0.00,21.29,3.71
2,500125,380,61,电动车,2.42,22.40,17.22,0.00,9.50,1.99
2,500126,374,54,电动车,2.57,27.40,22.08,0.91,7.42,1.21
2,500128,389,65,电动车,2.36,20.40,16.46,0.00,13.08,2.86
2,500129,392,66,自行车,1.73,14.10,17.45,0.46,5.89,1.22
2,500134,402,64,自行车,1.87,15.90,16.20,0.00,13.12,2.92
2,500135,405,56,电动车,2.47,24.00,18.42,1.03,5.37,1.05
2,500138,416,57,电动车,2.43,22.75,17.04,1.09,2.73,0.58
2,500141,418,55,电动车,2.63,29.50,12.37,0.00,0.78,0.23
2,500143,428,61,电动车,2.40,21.65,11.75,0.00,1.63,0.50
2,500145,437,67,自行车,1.70,13.60,15.18,0.00,6.85,1.62
2,500147,440,65,自行车,1.91,16.52,11.05,0.00,1.19,0.39
2,500151,439,60,电动车,2.42,22.20,11.77,1.45,1.22,0.37
2,500152,447,65,自行车,1.87,15.88,18.77,0.00,5.53,1.06
2,500153,448,66,电动车,2.41,22.05,20.05,0.23,5.88,1.06
2,500155,441,55,电动车,2.57,27.20,12.81,0.00,1.49,0.42
2,500165,465,55,电动车,2.52,25.65,20.31,0.00,10.38,1.84
2,500170,490,67,电动车,2.45,23.30,16.94,1.04,12.52,2.66
2,500183,497,48,电动车,2.63,29.25,17.09,0.19,9.22,1.94
