统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100008,168,145,小客车,4.89,57.90,57.52,0.00,67.27,4.21
1,100013,171,130,小客车,4.75,55.00,54.24,0.01,44.70,2.97
1,100030,177,44,小客车,4.96,59.10,58.91,0.00,89.90,5.49
1,200029,143,89,小客车,4.74,54.70,54.70,0.00,386.71,25.45
1,200043,159,77,小客车,4.92,58.30,56.46,0.00,38.94,2.48
1,200047,163,75,小客车,4.75,55.00,54.62,0.02,65.23,4.30
1,300012,199,160,小客车,4.11,42.10,42.10,0.00,349.83,29.91
1,300027,201,127,小客车,4.36,47.10,42.06,0.00,19.27,1.65
1,300030,214,135,小客车,4.32,46.40,43.09,0.00,22.35,1.87
1,300037,203,105,小客车,4.49,49.70,42.16,0.00,17.67,1.51
1,300041,218,117,小客车,4.01,40.20,39.95,0.00,42.58,3.84
1,300047,204,92,小客车,4.93,58.70,42.18,0.00,15.33,1.31
1,300053,206,69,小客车,4.85,57.00,42.27,0.00,15.62,1.33
1,300054,208,68,小客车,4.92,58.40,42.35,0.00,15.47,1.31
1,300056,210,64,小客车,4.29,45.70,42.81,0.00,23.14,1.95
1,300060,212,54,小客车,4.36,47.20,42.81,0.00,20.47,1.72
1,300063,219,53,小客车,4.72,54.40,39.95,0.00,14.63,1.32
