统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400005,38,27,小客车,4.78,55.60,55.59,0.00,997.61,3600.00
1,400008,42,30,小客车,4.81,56.20,55.85,0.01,65.39,4.21
1,400014,51,28,小客车,4.39,47.80,47.75,0.00,76.74,5.79
1,400019,62,35,小客车,4.01,40.20,40.19,0.00,129.24,11.58
1,400027,71,25,小客车,4.74,54.70,54.53,0.00,98.43,6.50
1,400031,84,31,小客车,4.21,44.30,44.30,0.00,997.89,3600.00
1,400033,86,32,小客车,4.62,52.40,43.90,0.02,21.15,1.73
1,400038,88,29,小客车,4.53,50.50,44.70,0.00,23.95,1.93
1,400045,96,26,小客车,4.75,55.00,54.51,0.01,69.78,4.61
1,400050,109,32,小客车,4.20,44.00,43.97,0.00,97.72,8.00
1,400053,114,25,小客车,4.70,53.90,53.29,0.00,57.40,3.88
1,400059,120,24,小客车,4.84,56.90,56.73,0.00,88.12,5.59
1,400066,130,28,小客车,4.37,47.30,47.29,0.00,155.00,11.80
1,400068,134,27,小客车,4.53,50.60,49.53,0.00,38.94,2.83
1,400073,135,25,小客车,4.93,58.70,50.26,0.00,21.53,1.54
1,400075,144,31,小客车,4.36,47.10,46.96,0.03,109.77,8.42
1,400077,149,30,小客车,4.84,56.90,56.35,0.02,71.56,4.57
1,400079,154,29,小客车,4.50,50.00,49.45,0.10,68.96,5.02
1,400083,156,25,小客车,4.79,55.80,47.41,0.10,19.20,1.46
1,400099,195,31,小客车,4.13,42.70,42.70,0.00,997.93,3600.00
1,400102,199,31,大客车,12.35,45.90,45.74,0.05,134.67,10.60
1,400115,218,28,小客车,4.62,52.30,51.31,0.15,527.33,37.00
1,400117,218,26,小客车,4.64,52.80,34.43,0.00,5.42,0.57
