统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200001,75,45,小客车,4.70,63.90,20.77,5.21,997.65,3600.00
1,200007,77,24,小客车,4.78,65.60,21.78,2.40,13.57,2.24
1,200013,80,20,小客车,4.97,69.50,27.86,2.04,17.85,2.31
1,200020,82,20,小客车,5.00,69.90,24.15,0.00,12.72,1.90
1,200029,85,15,小客车,4.74,64.70,19.46,0.52,11.05,2.04
1,200035,104,19,小客车,4.62,62.40,62.40,0.00,997.69,3600.00
1,200040,225,18,小客车,4.53,60.50,19.78,5.21,997.74,3600.00
1,200047,227,24,小客车,4.75,65.00,26.31,3.03,18.66,2.55
1,200058,229,14,小客车,4.94,68.80,30.26,2.13,19.74,2.35
1,200061,232,15,小客车,4.84,66.90,32.29,1.66,20.16,2.25
1,200068,234,19,小客车,4.37,57.30,33.34,1.28,20.31,2.19
1,200074,236,24,小客车,4.75,65.10,25.16,0.00,14.00,2.00
1,200081,242,12,小客车,4.50,60.00,34.11,0.00,19.47,2.05
