统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,300,1,0,0.00
1,1,300,2,0,0.00
1,1,300,3,0,0.00
1,1,300,4,0,0.00
1,1,300,5,0,0.00
1,1,300,6,0,0.00
1,1,300,7,0,0.00
1,1,300,8,0,0.00
1,1,300,9,0,0.00
1,1,300,10,0,0.00
1,1,300,11,0,0.00
1,1,300,12,0,0.00
1,1,300,13,0,0.00
1,1,300,14,0,0.00
1,1,300,15,0,0.00
1,1,300,16,0,0.00
1,1,300,17,0,0.00
1,1,300,18,0,0.00
1,1,300,19,0,0.00
1,1,300,20,0,0.00
1,1,300,21,0,0.00
1,1,300,22,0,0.00
1,1,300,23,0,0.00
1,1,300,24,0,0.00
1,1,300,25,0,0.00
1,1,300,26,0,0.00
1,1,300,27,0,0.00
1,1,300,28,0,0.00
1,1,300,29,0,0.00
1,1,300,30,0,0.00
1,1,300,31,0,0.00
1,1,300,32,0,0.00
1,1,300,33,0,0.00
1,1,300,34,0,0.00
1,1,300,35,0,0.00
1,1,300,36,0,0.00
1,1,300,37,0,0.00
1,1,300,38,0,0.00
1,1,300,39,0,0.00
1,1,300,40,0,0.00
1,1,300,41,0,0.00
1,1,300,42,0,0.00
1,1,300,43,0,0.00
1,1,300,44,0,0.00
1,1,300,45,0,0.00
1,1,300,46,0,0.00
1,1,300,47,0,0.00
1,1,300,48,0,0.00
1,1,300,49,0,0.00
1,1,300,50,0,0.00
1,1,300,51,0,0.00
1,1,300,52,0,0.00
1,1,300,53,0,0.00
1,1,300,54,0,0.00
1,1,300,55,0,0.00
1,1,300,56,0,0.00
1,1,300,57,0,0.00
1,1,300,58,0,0.00
1,1,300,59,0,0.00
1,1,300,60,0,0.00
1,1,300,61,0,0.00
1,1,300,62,0,0.00
1,1,300,63,0,0.00
1,1,300,64,0,0.00
1,1,300,65,0,0.00
1,1,300,66,0,0.00
1,1,300,67,0,0.00
1,1,300,68,0,0.00
1,1,300,69,0,0.00
1,1,300,70,1,4.78
1,1,300,71,1,4.78
1,1,300,72,1,4.78
1,1,300,73,1,4.78
1,1,300,74,1,4.78
1,1,300,75,1,4.78
1,1,300,76,1,4.78
1,1,300,77,1,4.78
1,1,300,78,2,11.03
1,1,300,79,2,10.38
1,1,300,80,3,18.60
1,1,300,81,3,17.11
1,1,300,82,3,16.54
1,1,300,83,3,16.32
1,1,300,84,3,16.22
1,1,300,85,3,16.18
1,1,300,86,3,16.17
1,1,300,87,3,16.16
1,1,300,88,3,16.16
1,1,300,89,3,16.16
1,1,300,90,3,16.16
1,1,300,91,3,16.15
1,1,300,92,3,16.15
1,1,300,93,3,16.15
1,1,300,94,3,16.15
1,1,300,95,3,16.15
1,1,300,96,3,16.15
1,1,300,97,3,16.15
1,1,300,98,3,16.15
1,1,300,99,3,16.15
1,1,300,100,3,16.15
1,1,300,101,3,16.15
1,1,300,102,3,16.15
1,1,300,103,3,16.15
1,1,300,104,3,16.15
1,1,300,105,3,16.15
1,1,300,106,3,16.15
1,1,300,107,3,16.15
1,1,300,108,3,16.15
1,1,300,109,3,16.15
1,1,300,110,3,16.15
1,1,300,111,3,16.15
1,1,300,112,3,16.15
1,1,300,113,3,16.15
1,1,300,114,3,16.15
1,1,300,115,3,16.15
1,1,300,116,3,16.15
1,1,300,117,3,16.15
1,1,300,118,3,16.15
1,1,300,119,3,16.15
1,1,300,120,3,16.15
1,1,300,121,3,16.15
1,1,300,122,3,16.15
1,1,300,123,3,16.15
1,1,300,124,3,16.15
1,1,300,125,3,16.15
1,1,300,126,3,16.15
1,1,300,127,3,16.15
1,1,300,128,3,16.15
1,1,300,129,3,16.15
1,1,300,130,3,16.15
1,1,300,131,3,16.15
1,1,300,132,3,16.15
1,1,300,133,3,16.15
1,1,300,134,3,16.15
1,1,300,135,3,16.15
1,1,300,136,3,16.15
1,1,300,137,3,16.15
1,1,300,138,3,16.15
1,1,300,139,3,16.15
1,1,300,140,3,16.15
1,1,300,141,4,23.92
1,1,300,142,4,22.56
1,1,300,143,4,22.08
1,1,300,144,4,21.89
1,1,300,145,4,21.82
1,1,300,146,4,21.80
1,1,300,147,4,21.79
1,1,300,148,4,21.78
1,1,300,149,5,29.36
1,1,300,150,5,27.84
1,1,300,151,5,27.76
1,1,300,152,5,27.75
1,1,300,153,5,27.75
1,1,300,154,5,27.75
1,1,300,155,5,27.75
1,1,300,156,5,27.75
1,1,300,157,5,27.75
1,1,300,158,5,27.75
