统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,3600,300,0,0.00
1,1,3600,301,0,0.00
1,1,3600,302,0,0.00
1,1,3600,303,0,0.00
1,1,3600,304,0,0.00
1,1,3600,305,0,0.00
1,1,3600,306,0,0.00
1,1,3600,307,0,0.00
1,1,3600,308,0,0.00
1,1,3600,309,0,0.00
1,1,3600,310,0,0.00
1,1,3600,311,0,0.00
1,1,3600,312,0,0.00
1,1,3600,313,0,0.00
1,1,3600,314,0,0.00
1,1,3600,315,0,0.00
1,1,3600,316,0,0.00
1,1,3600,317,0,0.00
1,1,3600,318,0,0.00
1,1,3600,319,0,0.00
1,1,3600,320,0,0.00
1,1,3600,321,0,0.00
1,1,3600,322,0,0.00
1,1,3600,323,0,0.00
1,1,3600,324,0,0.00
1,1,3600,325,0,0.00
1,1,3600,326,0,0.00
1,1,3600,327,1,4.03
1,1,3600,328,2,12.92
1,1,3600,329,2,11.63
1,1,3600,330,2,10.94
1,1,3600,331,2,10.50
1,1,3600,332,2,10.27
1,1,3600,333,2,10.14
1,1,3600,334,3,43.43
1,1,3600,335,3,41.45
1,1,3600,336,3,40.63
1,1,3600,337,3,40.32
1,1,3600,338,3,40.18
1,1,3600,339,4,49.51
1,1,3600,340,4,48.02
1,1,3600,341,4,47.33
1,1,3600,342,4,46.99
1,1,3600,343,5,57.02
1,1,3600,344,5,55.21
1,1,3600,345,5,54.37
1,1,3600,346,6,63.52
1,1,3600,347,6,62.31
1,1,3600,348,6,61.56
1,1,3600,349,6,61.18
1,1,3600,350,6,60.98
1,1,3600,351,6,60.87
1,1,3600,352,6,60.81
1,1,3600,353,6,60.78
1,1,3600,354,6,60.76
1,1,3600,355,7,69.51
1,1,3600,356,7,68.46
1,1,3600,357,7,67.96
1,1,3600,358,7,67.69
1,1,3600,359,7,67.57
1,1,3600,360,7,67.51
1,1,3600,361,7,67.48
1,1,3600,362,7,67.47
1,1,3600,363,7,67.46
1,1,3600,364,7,67.46
1,1,3600,365,7,67.46
1,1,3600,366,7,67.46
1,1,3600,367,7,67.46
1,1,3600,368,7,67.46
1,1,3600,369,7,67.46
1,1,3600,370,7,67.46
1,1,3600,371,7,67.46
1,1,3600,372,7,67.46
1,1,3600,373,8,76.49
1,1,3600,374,8,75.13
1,1,3600,375,8,74.46
1,1,3600,376,8,74.14
1,1,3600,377,8,73.97
1,1,3600,378,8,73.90
1,1,3600,379,8,73.86
1,1,3600,380,8,73.84
1,1,3600,381,8,73.83
1,1,3600,382,8,73.83
1,1,3600,383,8,73.83
1,1,3600,384,9,83.80
1,1,3600,385,9,82.39
1,1,3600,386,9,81.74
1,1,3600,387,9,81.43
1,1,3600,388,9,81.28
1,1,3600,389,9,81.20
1,1,3600,390,9,81.17
1,1,3600,391,9,81.15
1,1,3600,392,9,81.14
1,1,3600,393,9,81.14
1,1,3600,394,9,81.14
1,1,3600,395,9,81.14
1,1,3600,396,9,81.13
1,1,3600,397,9,81.13
1,1,3600,398,9,81.13
1,1,3600,399,9,81.13
1,1,3600,400,9,81.13
1,1,3600,401,9,81.13
1,1,3600,402,9,81.13
1,1,3600,403,9,81.13
1,1,3600,404,9,81.13
1,1,3600,405,9,81.13
1,1,3600,406,10,89.11
1,1,3600,407,10,87.88
1,1,3600,408,11,96.37
1,1,3600,409,11,94.92
1,1,3600,410,11,94.13
1,1,3600,411,11,93.66
1,1,3600,412,11,93.42
1,1,3600,413,11,93.28
1,1,3600,414,11,93.22
1,1,3600,415,11,93.18
1,1,3600,416,11,93.16
1,1,3600,417,11,93.15
1,1,3600,418,11,93.14
1,1,3600,419,11,93.14
1,1,3600,420,12,102.44
1,1,3600,421,12,100.80
1,1,3600,422,12,99.90
1,1,3600,423,0,0.00
1,1,3600,424,0,0.00
1,1,3600,425,0,0.00
1,1,3600,426,0,0.00
1,1,3600,427,0,0.00
1,1,3600,428,0,0.00
1,1,3600,429,0,0.00
1,1,3600,430,0,0.00
1,1,3600,431,0,0.00
1,1,3600,432,0,0.00
1,1,3600,433,0,0.00
