统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200025,305,22,小客车,4.86,67.30,67.30,0.00,498.78,53.36
1,200027,319,27,小客车,4.45,58.90,58.87,0.00,121.47,14.86
1,200029,321,29,小客车,4.25,55.00,52.82,0.00,21.33,2.91
1,200031,331,22,小客车,4.88,67.60,67.38,0.00,70.48,7.53
1,200033,342,22,小客车,4.86,67.10,67.00,0.00,98.03,10.54
1,200035,352,29,小客车,4.01,50.30,50.25,0.00,85.51,12.25
1,200037,361,22,小客车,5.00,69.90,69.57,0.00,63.47,6.57
1,200039,384,29,小客车,4.06,51.20,51.16,0.00,126.65,17.82
1,200041,402,28,小客车,4.17,53.30,53.26,0.00,127.07,17.18
1,200046,422,27,小客车,4.28,55.60,55.55,0.00,99.55,12.90
