统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
2,301,600,100101,303.45,341.90,38.45,630.68,0.67,60.10
2,301,600,100104,312.85,356.30,43.45,631.32,0.65,53.10
2,301,600,100107,320.00,358.30,38.30,631.00,3.88,66.00
2,301,600,100110,324.80,362.40,37.60,631.00,2.60,64.90
2,301,600,100113,330.85,366.65,35.80,631.25,1.47,66.20
2,301,600,100116,348.00,382.70,34.70,630.94,0.08,65.60
2,301,600,100119,361.25,401.50,40.25,631.32,0.10,56.60
2,301,600,100122,380.25,428.00,47.75,631.00,0.03,47.60
2,301,600,100125,384.25,431.70,47.45,630.68,5.09,53.60
2,301,600,100128,390.90,431.30,40.40,631.32,2.39,59.80
