统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,300037,33,27,小客车,4.03,110.60,110.60,0.00,997.99,3600.00
1,300083,40,27,小客车,4.13,112.70,112.45,0.04,997.93,3600.00
1,300115,49,31,大客车,9.45,95.40,95.39,0.00,995.28,3600.00
1,300148,54,31,大客车,9.97,99.75,96.22,0.00,117.53,4.40
1,300200,104,72,电动车,2.50,25.00,40.00,0.00,998.75,3600.00
1,300303,107,60,货车,12.84,82.10,40.00,0.00,20.46,1.84
1,300338,110,55,大客车,9.73,97.75,40.00,0.00,19.37,1.74
1,300340,112,52,小客车,4.86,127.20,40.00,0.00,19.12,1.72
1,300345,115,47,货车,12.70,81.75,39.49,0.00,20.21,1.84
1,300355,131,54,公交车,12.58,54.80,54.79,0.01,993.71,3600.00
