统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,600,100001,2.95,90.75,87.80,1052.11,24.67,60.00
1,1,600,100002,8.80,96.80,88.00,1051.67,17.17,53.45
1,1,600,100003,11.80,112.50,100.70,1053.66,27.89,52.10
1,1,600,100004,13.10,89.40,76.30,1052.43,22.10,69.90
1,1,600,100005,15.20,99.55,84.35,1053.07,26.12,65.10
1,1,600,100006,17.10,123.80,106.70,1053.50,47.63,64.20
1,1,600,100007,18.55,115.15,96.60,1052.11,37.79,64.40
1,1,600,100008,24.10,111.35,87.25,1053.47,38.12,77.20
1,1,600,100009,33.50,115.80,82.30,1053.68,21.90,62.80
1,1,600,100010,35.65,125.20,89.55,1051.89,29.82,63.40
1,1,600,100011,39.00,130.30,91.30,1053.35,36.34,69.00
1,1,600,100012,41.55,134.40,92.85,1053.07,43.93,77.50
1,1,600,100013,43.80,130.10,86.30,1052.11,38.17,78.70
1,1,600,100014,44.55,143.60,99.05,1051.84,36.15,60.20
1,1,600,100015,46.05,136.25,90.20,1053.35,41.65,78.10
1,1,600,100016,46.90,153.55,106.65,1052.11,56.94,76.20
1,1,600,100018,48.30,143.90,95.60,1053.35,46.73,77.60
1,1,600,100020,49.85,151.60,101.75,1053.79,43.39,65.00
