统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
2,200001,80,61,小客车,4.70,119.10,119.10,0.00,997.65,3600.00
2,200002,88,64,大客车,11.81,113.60,112.82,0.00,252.92,8.07
2,200003,92,66,小客车,4.73,119.80,111.31,0.01,99.82,3.23
2,200004,96,64,小客车,4.58,116.80,111.81,0.00,130.99,4.22
2,200005,110,66,小客车,4.22,109.70,109.39,0.00,442.49,14.56
2,200006,116,65,小客车,4.37,112.50,109.71,0.00,165.18,5.42
2,200007,119,68,大客车,12.34,118.00,108.98,0.00,97.74,3.23
3,100005,178,169,小客车,4.67,118.70,117.03,0.00,238.21,7.33
3,200008,126,64,小客车,4.46,114.30,112.19,0.00,207.58,6.66
3,200009,136,64,小客车,4.46,114.50,113.59,0.00,308.81,9.79
3,200010,144,62,大客车,12.37,118.30,116.30,0.00,229.47,7.10
3,200011,160,63,小客车,4.49,114.90,114.61,0.00,509.67,16.01
3,200012,166,62,小客车,4.66,118.30,115.87,0.00,195.80,6.08
3,200013,171,62,小客车,4.97,124.70,115.59,0.00,144.63,4.50
4,100008,183,172,小客车,4.89,123.10,116.02,0.00,149.76,4.65
4,100011,189,174,小客车,4.58,116.90,114.62,0.00,186.91,5.87
4,200014,196,66,小客车,4.19,109.00,108.09,0.00,224.86,7.49
