统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100002,95.95,130.10,34.15,1117.80,0.05,118.00
1,1,300,100003,100.85,135.65,34.80,1117.79,0.14,116.10
1,1,300,100004,110.65,148.75,38.10,1117.79,0.07,105.80
1,1,300,100005,102.15,136.45,34.30,1117.80,0.40,118.70
1,1,300,100006,112.20,150.10,37.90,1117.79,0.04,106.30
1,1,300,100007,114.55,152.30,37.75,1117.79,1.45,110.85
1,1,300,100008,106.40,140.85,34.45,1117.80,1.76,123.10
1,1,300,100009,115.00,152.75,37.75,1117.79,3.50,117.50
1,1,300,100010,117.85,155.40,37.55,1117.79,2.51,114.85
1,1,300,100011,111.15,146.15,35.00,1117.80,0.58,116.90
1,1,300,100012,119.85,157.90,38.05,1117.79,0.69,107.70
1,1,300,100013,120.55,158.05,37.50,1117.79,4.02,120.20
1,1,300,100014,120.60,158.20,37.60,1117.80,0.10,107.30
1,1,300,100015,123.70,161.45,37.75,1117.79,1.61,111.35
1,1,300,100016,123.30,160.75,37.45,1117.80,4.60,122.50
1,1,300,100017,123.95,161.00,37.05,1117.79,2.45,116.30
1,1,300,100018,128.05,165.15,37.10,1117.79,1.55,113.20
1,1,300,100019,128.70,165.20,36.50,1117.79,1.08,113.60
1,1,300,100020,129.50,165.85,36.35,1117.80,0.68,112.80
1,1,300,100021,131.80,168.05,36.25,1117.79,3.90,124.40
1,1,300,100022,133.25,169.30,36.05,1117.80,1.76,117.35
1,1,300,100023,137.25,174.50,37.25,1117.79,0.23,108.70
1,1,300,100024,136.25,172.50,36.25,1117.79,0.98,114.10
1,1,300,100025,136.70,172.60,35.90,1117.80,1.91,118.40
1,1,300,100026,140.55,177.70,37.15,1117.79,2.01,114.50
1,1,300,100027,139.35,175.40,36.05,1117.79,3.41,123.30
1,1,300,100028,142.00,178.80,36.80,1117.80,0.43,110.65
1,1,300,100029,144.35,181.50,37.15,1117.79,1.32,112.30
1,1,300,100030,142.45,178.40,35.95,1117.79,3.58,124.30
1,1,300,100031,144.95,181.60,36.65,1117.80,3.42,121.10
1,1,300,100032,148.30,185.30,37.00,1117.79,1.51,113.40
1,1,300,100033,146.10,182.25,36.15,1117.79,1.34,115.60
1,1,300,100034,147.80,184.40,36.60,1117.80,3.78,122.60
1,1,300,100035,149.50,185.70,36.20,1117.79,1.76,116.85
1,1,300,100036,150.85,187.40,36.55,1117.80,2.39,117.80
1,1,300,100037,152.55,189.00,36.45,1117.79,4.10,124.40
1,1,300,100038,152.40,188.85,36.45,1117.79,1.67,115.70
1,1,300,100039,156.50,192.80,36.30,1117.79,1.32,115.05
1,1,300,100041,157.30,193.30,36.00,1117.79,0.92,114.70
1,1,300,100042,160.15,196.40,36.25,1117.79,1.59,116.10
