统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400004,62,52,小客车,4.37,47.30,47.30,0.00,997.82,3600.00
1,400016,167,58,小客车,4.04,40.70,3.96,0.01,997.98,3600.00
1,400032,169,51,小客车,4.70,53.90,21.48,2.67,12.46,2.09
1,400037,172,55,小客车,4.46,49.10,26.75,1.51,13.70,1.84
1,400049,174,96,小客车,4.11,42.10,27.04,0.72,13.91,1.85
1,400054,178,88,小客车,4.04,40.80,28.59,0.38,15.27,1.92
1,400061,176,78,小客车,4.73,54.60,28.46,0.63,14.69,1.86
1,400069,184,77,小客车,4.64,52.90,38.16,0.00,21.91,2.07
1,400074,181,67,小客车,4.59,51.90,30.40,0.16,15.69,1.86
1,400078,187,64,小客车,4.54,50.90,44.09,0.00,32.90,2.69
1,400089,195,54,小客车,4.58,51.50,51.37,0.04,997.71,3600.00
1,400091,200,57,小客车,4.28,45.50,45.14,0.12,997.86,3600.00
