统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100005,144,123,小客车,4.67,53.50,53.39,0.00,264.55,17.84
1,100007,156,134,小客车,4.07,41.30,41.22,0.00,174.39,15.23
1,100014,162,120,小客车,4.11,42.10,41.33,0.00,71.09,6.19
1,100022,165,79,小客车,4.71,54.30,42.30,0.00,25.13,2.14
1,100026,169,69,小客车,4.46,49.30,46.12,0.00,45.87,3.58
1,400005,90,79,小客车,4.78,55.60,55.60,0.00,997.61,3600.00
1,400009,104,89,小客车,4.49,49.70,49.37,0.00,123.47,9.00
1,400011,96,79,小客车,4.97,59.50,58.07,0.00,90.08,5.58
1,400014,113,90,小客车,4.39,47.80,47.46,0.00,126.05,9.56
1,400025,117,78,小客车,4.97,59.50,54.67,0.00,50.57,3.33
1,400027,126,80,小客车,4.74,54.70,54.10,0.00,123.36,8.21
