统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200003,43,33,小客车,4.73,54.60,54.60,0.00,997.63,3600.00
1,200006,54,37,小客车,4.37,47.30,47.11,0.00,152.82,11.68
1,200009,65,36,小客车,4.46,49.30,48.95,0.00,136.83,10.06
1,200010,68,39,小客车,4.81,56.20,48.86,0.00,33.90,2.50
1,200015,81,45,小客车,4.08,41.60,40.83,0.01,61.96,5.46
1,200017,76,36,小客车,4.48,49.60,49.11,0.00,114.31,8.38
1,200018,86,45,小客车,4.04,40.70,39.56,0.00,54.21,4.93
1,200019,89,47,小客车,4.98,59.60,39.56,0.00,21.09,1.92
1,200024,92,47,小客车,4.11,42.10,39.14,0.00,35.58,3.27
1,200028,95,43,小客车,4.49,49.70,39.10,0.00,23.26,2.14
1,200039,106,35,小客车,4.46,49.10,48.56,0.00,119.72,8.88
1,200042,117,35,小客车,4.47,49.40,48.72,0.01,119.11,8.80
1,200047,121,33,小客车,4.75,55.00,51.57,0.00,51.24,3.58
1,200049,127,38,小客车,4.58,51.70,50.64,0.00,79.47,5.65
1,200050,130,39,小客车,4.60,52.00,47.46,0.05,38.42,2.91
1,200055,136,34,小客车,4.70,53.90,52.63,0.00,84.31,5.77
1,200057,141,31,小客车,4.88,57.50,54.74,0.00,60.97,4.01
1,200063,152,33,小客车,4.73,54.60,54.33,0.03,585.95,38.82
1,200067,165,40,小客车,4.13,42.60,42.55,0.02,997.93,3600.00
1,200070,168,41,小客车,4.53,50.60,42.11,0.01,28.80,2.46
1,200083,183,34,小客车,4.60,52.00,50.64,0.00,77.08,5.48
1,200090,189,34,小客车,4.72,54.50,53.00,0.00,76.86,5.22
1,200092,193,36,小客车,4.68,53.70,51.75,0.00,63.46,4.41
1,200095,199,39,小客车,4.33,46.50,46.16,0.01,126.57,9.87
1,200098,206,34,小客车,4.57,51.30,50.14,0.00,81.25,5.83
1,200100,211,36,小客车,4.92,58.40,55.50,0.00,63.18,4.10
1,200103,214,31,小客车,4.95,58.90,54.59,0.00,48.92,3.23
1,200104,218,35,小客车,4.79,55.80,53.50,0.04,64.31,4.33
1,200108,227,39,小客车,4.30,46.10,45.87,0.00,128.71,10.10
1,200112,231,42,小客车,4.36,47.20,44.78,0.00,46.32,3.72
1,200116,238,42,小客车,4.11,42.20,41.65,0.00,80.45,6.95
