统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,700001,89,83,电动车,2.37,20.65,20.65,0.00,998.82,3600.00
1,700002,97,90,自行车,1.92,16.58,19.81,0.00,45.24,8.22
1,700006,105,81,电动车,2.39,21.25,21.25,0.00,89.90,15.23
1,700007,114,86,自行车,1.88,16.00,19.98,0.00,48.54,8.75
1,700009,123,86,自行车,1.68,13.46,19.93,0.01,30.08,5.43
1,700010,119,86,电动车,2.61,28.65,22.37,0.01,3.21,1.03
1,700011,116,78,电动车,2.52,25.55,19.74,0.21,10.77,1.96
1,700013,129,91,电动车,2.48,24.20,19.86,0.01,5.25,1.90
1,700014,116,72,电动车,2.46,23.80,23.70,0.00,0.50,0.08
1,700015,136,86,自行车,1.94,16.84,19.85,0.00,50.78,9.21
1,700019,154,86,自行车,1.85,15.64,20.00,0.00,91.95,16.55
1,700021,139,72,电动车,2.62,29.05,17.56,0.01,2.82,1.16
1,700024,165,86,自行车,1.94,16.82,20.00,0.00,167.93,30.23
1,700025,143,68,电动车,2.59,27.95,27.37,0.01,3.65,0.96
1,700026,165,75,电动车,2.45,23.20,23.18,0.00,1.55,0.24
1,700029,181,87,自行车,1.85,15.66,20.00,0.00,101.97,18.35
1,700031,167,69,电动车,2.64,29.60,21.15,0.31,7.87,1.34
1,700032,186,87,自行车,1.81,15.10,16.18,0.00,8.24,1.83
1,700033,184,83,电动车,2.50,24.85,20.44,0.12,11.52,2.03
1,700034,190,94,自行车,1.67,13.20,19.46,0.01,6.59,2.44
1,700037,202,87,自行车,1.65,13.04,19.92,0.00,70.33,12.71
1,700040,190,70,电动车,2.51,25.25,19.79,0.00,7.03,1.28
1,700041,204,81,电动车,2.62,28.85,19.80,0.00,9.85,1.79
1,700042,212,89,自行车,1.71,13.78,18.92,0.01,18.49,3.52
1,700045,210,89,电动车,2.64,29.70,20.54,0.01,4.11,1.44
1,700047,219,86,自行车,1.86,15.74,20.00,0.00,34.53,6.22
1,700048,221,88,电动车,2.64,29.55,24.58,0.73,8.49,1.24
1,700049,226,86,自行车,1.91,16.40,19.95,0.01,86.39,15.59
1,700050,214,73,电动车,2.63,29.20,19.13,0.00,9.32,1.75
1,700054,234,86,自行车,1.73,14.12,20.00,0.00,44.30,7.97
