统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100008,172,148,小客车,4.89,57.90,55.38,0.00,64.79,4.21
1,100018,176,111,小客车,4.30,46.00,45.06,0.02,63.86,5.10
1,100025,179,86,小客车,4.66,53.20,44.48,0.02,28.76,2.33
1,200007,109,88,小客车,4.78,55.60,55.44,0.04,997.61,3600.00
1,200010,116,87,小客车,4.81,56.20,55.19,0.00,95.77,6.25
1,200019,138,97,小客车,4.98,59.60,59.45,0.00,293.76,17.79
1,200020,118,76,小客车,5.00,59.90,51.19,0.10,33.80,2.38
1,200025,144,97,小客车,4.97,59.50,58.16,0.00,89.13,5.52
1,200029,150,96,小客车,4.74,54.70,53.79,0.00,91.53,6.13
1,200033,158,95,小客车,4.21,44.30,44.06,0.00,118.96,9.72
1,200040,163,90,小客车,4.53,50.50,48.62,0.00,62.52,4.63
1,200043,167,85,小客车,4.92,58.30,53.91,0.00,50.74,3.39
1,200056,216,108,小客车,4.04,40.80,38.97,0.01,42.69,3.94
1,200057,187,77,小客车,4.88,57.50,55.95,0.04,97.22,6.26
1,200065,227,107,小客车,5.00,60.00,45.19,2.63,66.26,5.28
1,300002,67,56,大客车,11.44,38.30,38.26,0.00,220.74,20.77
1,300003,52,40,小客车,4.67,53.50,53.50,0.00,997.66,3600.00
1,300005,197,168,小客车,4.07,41.30,41.19,0.00,166.65,14.56
1,300009,200,163,小客车,4.58,51.70,42.08,0.00,28.95,2.48
1,300011,203,165,小客车,4.75,55.00,40.80,0.00,23.83,2.10
1,300013,210,170,小客车,4.12,42.30,40.66,0.00,48.73,4.31
1,300014,205,165,小客车,4.87,57.30,42.01,0.00,23.84,2.04
1,300015,219,178,小客车,4.55,51.10,39.34,0.00,22.94,2.10
1,300034,221,136,小客车,4.63,52.60,39.61,0.00,22.67,2.06
1,300036,231,134,小客车,4.53,50.50,48.09,0.16,54.15,4.05
1,300039,224,125,小客车,4.47,49.50,40.45,0.00,25.50,2.27
1,300041,229,128,小客车,4.01,40.20,36.44,0.91,52.21,5.16
1,300047,212,100,小客车,4.93,58.70,40.97,0.00,22.35,1.96
