统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500001,195,189,电动车,2.55,26.75,26.75,0.00,0.54,0.07
1,500006,203,185,电动车,2.49,24.65,24.46,0.00,20.41,3.00
1,500012,218,188,自行车,1.91,16.46,19.97,0.00,0.50,0.09
1,500018,194,147,电动车,2.56,27.15,27.15,0.00,998.72,3600.00
1,500021,200,139,电动车,2.55,26.60,26.05,0.00,35.38,4.89
1,500027,213,143,电动车,2.59,27.95,27.82,0.00,66.69,8.63
1,600002,231,222,自行车,1.76,14.46,19.92,0.00,23.13,4.18
1,600011,237,216,电动车,2.37,20.80,20.26,0.00,9.41,1.67
1,600016,214,182,电动车,2.65,29.95,29.95,0.00,5.49,0.66
1,600018,219,181,电动车,2.52,25.80,25.43,0.00,0.70,0.10
1,600021,218,177,电动车,2.64,29.75,28.74,0.00,34.04,4.26
1,600023,235,190,电动车,2.64,29.75,20.69,0.00,10.42,1.81
1,600048,227,140,电动车,2.41,22.00,21.87,0.00,46.56,7.66
1,600060,233,118,电动车,2.38,21.15,20.70,0.00,5.73,1.00
1,600073,238,94,电动车,2.46,23.55,21.67,0.00,6.94,1.15
