统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400001,29,25,小客车,4.73,54.60,54.60,0.00,997.63,3600.00
1,400002,40,37,大客车,12.10,43.80,43.59,0.01,63.39,10.47
1,400004,40,29,小客车,4.37,47.30,47.30,0.00,997.82,3600.00
1,400007,47,34,小客车,4.46,49.30,40.34,0.01,11.40,2.03
1,400008,46,33,小客车,4.81,56.20,43.13,0.60,25.37,2.12
1,400009,43,30,小客车,4.49,49.70,41.78,0.00,27.95,2.41
1,400012,50,33,小客车,4.19,43.80,43.08,0.01,89.70,7.50
1,400013,54,34,小客车,4.08,41.60,39.57,0.02,40.82,3.71
1,400018,56,30,小客车,5.00,59.90,39.86,0.00,21.30,1.92
1,400020,59,29,小客车,4.58,51.60,37.43,0.15,22.84,2.20
1,400023,61,25,小客车,4.97,59.50,38.65,0.10,22.17,2.06
1,400025,64,24,小客车,4.97,59.50,39.77,0.23,22.91,2.07
1,400029,77,27,小客车,4.54,50.80,49.31,0.00,81.21,5.93
1,400034,81,27,小客车,4.91,58.10,52.27,0.00,44.31,3.05
1,400036,86,30,小客车,4.49,49.70,48.76,0.02,73.05,5.39
1,400038,88,28,小客车,4.53,50.50,43.91,0.06,32.22,2.64
1,400039,92,31,小客车,4.54,50.70,45.77,0.00,40.49,3.18
1,400040,95,30,小客车,4.47,49.40,42.55,0.96,47.69,4.03
1,400041,97,31,小客车,4.92,58.30,43.55,0.16,25.94,2.14
1,400046,100,27,小客车,4.83,56.50,42.20,0.00,26.16,2.23
1,400050,110,32,小客车,4.20,44.00,43.73,0.10,560.54,46.14
1,400052,119,33,大客车,11.81,41.45,41.10,0.00,108.13,9.47
1,400054,126,35,小客车,4.04,40.80,37.09,0.03,33.52,3.25
1,400058,122,26,小客车,4.79,55.90,38.75,0.15,29.07,2.70
1,400062,132,34,小客车,4.12,42.30,41.03,0.00,58.53,5.14
1,400067,134,28,小客车,4.58,51.60,38.24,0.17,23.17,2.18
1,400069,141,33,小客车,4.64,52.90,41.55,0.00,26.95,2.33
1,400070,138,29,小客车,4.67,53.40,47.06,0.00,39.50,3.02
1,400071,145,36,小客车,4.02,40.40,38.61,0.00,47.73,4.45
1,400080,162,33,小客车,4.03,40.50,40.05,0.00,97.14,8.73
1,400082,155,26,小客车,4.71,54.30,53.02,0.00,94.89,6.44
1,400084,165,32,小客车,4.20,44.00,38.96,0.01,31.39,2.90
1,400086,174,33,小客车,4.15,43.00,34.57,1.58,35.65,3.71
1,400087,168,27,小客车,4.94,58.80,42.55,0.00,26.03,2.20
1,400090,172,29,小客车,4.68,53.70,47.36,0.00,39.59,3.01
1,400091,176,33,小客车,4.28,45.50,38.97,0.01,11.63,2.15
1,400093,182,29,小客车,4.33,46.50,45.82,0.00,98.35,7.73
1,400095,186,28,小客车,4.58,51.60,47.32,0.00,43.90,3.34
1,400097,189,29,小客车,4.70,53.90,47.92,0.00,40.14,3.02
1,400101,192,25,小客车,4.95,58.90,48.20,0.06,32.29,2.41
1,400104,198,29,小客车,4.39,47.80,45.71,0.00,60.94,4.80
1,400105,203,33,小客车,4.22,44.50,43.18,0.02,61.13,5.10
1,400108,205,28,小客车,4.96,59.10,43.39,0.00,26.22,2.18
1,400109,212,32,小客车,4.17,43.50,42.69,0.00,79.05,6.67
1,400114,223,32,小客车,4.11,42.20,41.99,0.00,135.78,11.64
1,400120,235,27,小客车,4.62,52.30,51.70,0.00,132.43,9.22
