统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200004,140,129,小客车,4.58,51.60,51.60,0.00,997.71,3600.00
1,200006,146,129,小客车,4.37,47.30,47.28,0.01,997.82,3600.00
1,200012,149,117,小客车,4.66,53.10,47.99,0.00,38.63,2.90
1,200017,153,113,小客车,4.48,49.60,47.76,0.55,997.76,3600.00
1,200023,159,115,小客车,4.28,45.50,45.48,0.01,997.86,3600.00
1,200036,162,98,小客车,4.91,58.10,46.16,0.00,28.00,2.18
1,200039,166,96,小客车,4.46,49.10,48.81,0.09,997.77,3600.00
1,200042,173,91,小客车,4.47,49.40,49.39,0.00,997.76,3600.00
1,200046,177,92,小客车,4.60,52.00,48.65,0.01,45.90,3.40
1,300001,106,99,小客车,4.54,50.90,50.90,0.00,997.73,3600.00
1,300008,110,76,小客车,4.46,49.30,48.97,0.10,997.77,3600.00
1,300017,114,72,小客车,4.42,48.40,46.10,0.26,522.82,40.83
1,300021,119,62,小客车,4.17,43.50,43.33,0.06,997.91,3600.00
