统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,300,1,0,0.00
1,1,300,2,0,0.00
1,1,300,3,0,0.00
1,1,300,4,0,0.00
1,1,300,5,0,0.00
1,1,300,6,0,0.00
1,1,300,7,0,0.00
1,1,300,8,0,0.00
1,1,300,9,0,0.00
1,1,300,10,0,0.00
1,1,300,11,0,0.00
1,1,300,12,0,0.00
1,1,300,13,0,0.00
1,1,300,14,0,0.00
1,1,300,15,0,0.00
1,1,300,16,0,0.00
1,1,300,17,0,0.00
1,1,300,18,0,0.00
1,1,300,19,0,0.00
1,1,300,20,0,0.00
1,1,300,21,0,0.00
1,1,300,22,0,0.00
1,1,300,23,0,0.00
1,1,300,24,0,0.00
1,1,300,25,0,0.00
1,1,300,26,0,0.00
1,1,300,27,0,0.00
1,1,300,28,1,4.30
1,1,300,29,2,14.39
1,1,300,30,2,12.79
1,1,300,31,2,11.79
1,1,300,32,2,11.26
1,1,300,33,2,10.99
1,1,300,34,2,10.82
1,1,300,35,2,10.74
1,1,300,36,2,10.70
1,1,300,37,3,19.65
1,1,300,38,3,18.33
1,1,300,39,3,17.70
1,1,300,40,3,17.36
1,1,300,41,3,17.20
1,1,300,42,3,17.12
1,1,300,43,3,17.08
1,1,300,44,4,26.23
1,1,300,45,4,24.83
1,1,300,46,4,24.14
1,1,300,47,4,23.82
1,1,300,48,4,23.64
1,1,300,49,4,23.56
1,1,300,50,4,23.52
1,1,300,51,4,23.50
1,1,300,52,4,23.49
1,1,300,53,4,23.48
1,1,300,54,4,23.48
1,1,300,55,4,23.48
1,1,300,56,4,23.48
1,1,300,57,0,0.00
1,1,300,58,0,0.00
1,1,300,59,0,0.00
1,1,300,60,0,0.00
1,1,300,61,0,0.00
1,1,300,62,0,0.00
1,1,300,63,0,0.00
1,1,300,64,0,0.00
1,1,300,65,0,0.00
1,1,300,66,0,0.00
1,1,300,67,0,0.00
1,1,300,68,0,0.00
1,1,300,69,0,0.00
1,1,300,70,0,0.00
1,1,300,71,0,0.00
1,1,300,72,0,0.00
1,1,300,73,0,0.00
1,1,300,74,0,0.00
1,1,300,75,0,0.00
1,1,300,76,0,0.00
1,1,300,77,0,0.00
1,1,300,78,0,0.00
1,1,300,79,0,0.00
1,1,300,80,0,0.00
1,1,300,81,0,0.00
1,1,300,82,0,0.00
1,1,300,83,0,0.00
1,1,300,84,0,0.00
1,1,300,85,0,0.00
1,1,300,86,0,0.00
1,1,300,87,0,0.00
1,1,300,88,0,0.00
1,1,300,89,0,0.00
1,1,300,90,0,0.00
1,1,300,91,0,0.00
1,1,300,92,0,0.00
1,1,300,93,0,0.00
1,1,300,94,0,0.00
1,1,300,95,0,0.00
1,1,300,96,0,0.00
1,1,300,97,0,0.00
1,1,300,98,0,0.00
1,1,300,99,0,0.00
1,1,300,100,0,0.00
1,1,300,101,0,0.00
1,1,300,102,0,0.00
1,1,300,103,0,0.00
1,1,300,104,0,0.00
1,1,300,105,0,0.00
1,1,300,106,0,0.00
1,1,300,107,0,0.00
1,1,300,108,0,0.00
1,1,300,109,0,0.00
1,1,300,110,0,0.00
1,1,300,111,0,0.00
1,1,300,112,0,0.00
1,1,300,113,0,0.00
1,1,300,114,1,4.27
1,1,300,115,1,4.27
1,1,300,116,2,14.38
1,1,300,117,2,13.11
1,1,300,118,2,12.34
1,1,300,119,2,11.95
1,1,300,120,2,11.75
1,1,300,121,2,11.64
1,1,300,122,2,11.58
1,1,300,123,2,11.55
1,1,300,124,3,20.15
1,1,300,125,3,18.76
1,1,300,126,3,18.12
1,1,300,127,3,17.81
1,1,300,128,3,17.64
1,1,300,129,3,17.57
1,1,300,130,3,17.53
1,1,300,131,3,17.51
1,1,300,132,3,17.50
1,1,300,133,3,17.50
1,1,300,134,3,17.49
1,1,300,135,3,17.49
1,1,300,136,3,17.49
1,1,300,137,3,17.49
1,1,300,138,3,17.49
1,1,300,139,3,17.49
1,1,300,140,3,17.49
1,1,300,141,3,17.49
1,1,300,142,3,17.49
1,1,300,143,3,17.49
1,1,300,144,3,17.49
1,1,300,145,3,17.49
1,1,300,146,3,17.49
1,1,300,147,3,17.49
1,1,300,148,3,17.49
1,1,300,149,3,17.49
1,1,300,150,3,17.49
1,1,300,151,3,17.49
1,1,300,152,4,28.45
1,1,300,153,4,26.57
1,1,300,154,4,25.67
1,1,300,155,4,25.18
1,1,300,156,4,24.96
1,1,300,157,4,24.85
1,1,300,158,4,24.80
1,1,300,159,4,24.78
1,1,300,160,4,24.76
1,1,300,161,4,24.76
1,1,300,162,4,24.76
1,1,300,163,5,32.98
1,1,300,164,5,31.75
1,1,300,165,5,31.08
1,1,300,166,5,30.78
1,1,300,167,5,30.61
1,1,300,168,5,30.54
1,1,300,169,6,38.16
1,1,300,170,6,36.54
1,1,300,171,6,35.83
1,1,300,172,6,35.83
1,1,300,173,7,43.68
1,1,300,174,6,35.83
1,1,300,175,7,38.94
1,1,300,176,7,37.37
1,1,300,177,7,36.57
1,1,300,178,7,36.11
1,1,300,179,7,35.83
