统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100003,34,18,小客车,4.54,60.90,60.90,0.00,997.73,3600.00
1,100006,47,22,小客车,4.05,51.10,51.10,0.00,997.97,3600.00
1,100011,53,17,小客车,4.58,61.70,61.70,0.00,997.71,3600.00
1,100015,83,20,小客车,4.12,52.30,52.21,0.03,997.94,3600.00
1,100019,114,21,小客车,4.42,58.40,58.40,0.00,997.79,3600.00
1,100023,129,20,小客车,4.17,53.50,53.10,0.14,997.91,3600.00
1,100028,147,21,小客车,4.04,50.90,50.90,0.00,997.98,3600.00
1,100032,155,19,小客车,4.32,56.40,56.40,0.00,997.84,3600.00
1,100037,174,16,小客车,4.96,69.20,68.12,0.28,997.52,3600.00
1,100042,212,19,小客车,4.54,60.90,57.88,0.85,997.73,3600.00
1,100046,217,21,小客车,4.53,60.50,57.31,0.90,997.74,3600.00
1,100049,226,17,小客车,4.93,68.70,60.98,1.75,997.53,3600.00
1,100054,268,18,小客车,4.96,69.10,58.06,2.47,997.52,3600.00
1,100059,295,18,小客车,4.90,68.00,60.83,1.66,997.55,3600.00
2,100063,314,17,小客车,4.76,65.20,63.95,0.34,997.62,3600.00
2,100066,327,19,小客车,4.64,62.80,61.87,0.27,997.68,3600.00
2,100071,344,21,小客车,4.51,60.30,57.15,0.89,997.74,3600.00
2,100075,367,16,小客车,4.97,69.50,69.47,0.01,997.51,3600.00
