统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
2,100002,73,69,EV,4.78,72.80,72.80,0.00,997.61,3600.00
2,100022,93,71,EV,4.71,72.15,72.15,0.00,997.64,3600.00
2,100042,117,80,EV,4.54,70.45,70.45,0.00,997.73,3600.00
3,100062,134,75,EV,4.36,68.60,68.60,0.00,997.82,3600.00
3,100082,160,77,EV,4.09,65.90,65.90,0.00,997.96,3600.00
3,100102,172,73,EV,4.99,74.90,74.90,0.00,997.50,3600.00
4,100110,195,87,小客车,4.29,67.95,67.95,0.00,997.85,3600.00
4,100114,201,87,小客车,4.75,72.55,62.97,0.13,41.72,2.39
4,100115,203,90,小客车,4.25,67.55,60.92,0.20,44.03,2.60
4,100122,198,77,EV,4.28,67.75,65.10,0.68,997.86,3600.00
4,100130,209,84,小客车,4.74,72.40,72.26,0.04,997.63,3600.00
4,100131,213,87,小客车,4.44,69.40,69.08,0.08,997.78,3600.00
4,100134,220,91,小客车,4.62,71.15,64.46,0.93,523.03,29.21
4,100135,222,93,小客车,4.96,74.60,64.37,0.18,42.45,2.37
4,100142,217,83,EV,4.28,67.75,66.78,0.26,997.86,3600.00
4,100162,230,78,EV,4.45,69.45,69.45,0.00,997.78,3600.00
5,100179,256,89,小客车,4.79,72.85,72.71,0.04,997.61,3600.00
5,100182,246,77,EV,4.67,71.70,71.70,0.00,997.66,3600.00
5,100183,261,91,小客车,4.13,66.35,66.26,0.02,997.93,3600.00
5,100190,264,81,小客车,4.51,70.10,64.87,1.23,997.74,3600.00
5,100198,276,87,小客车,4.22,67.25,67.16,0.03,997.89,3600.00
5,100199,271,82,小客车,4.99,74.90,69.87,0.49,997.50,3600.00
5,100202,268,73,EV,4.54,70.40,69.80,0.15,997.73,3600.00
5,100203,280,84,小客车,4.28,67.75,66.44,0.35,997.86,3600.00
5,100207,284,84,小客车,4.07,65.70,65.09,0.17,997.97,3600.00
5,100223,289,75,EV,4.37,68.65,68.36,0.08,997.82,3600.00
6,100238,317,89,小客车,4.05,65.50,65.50,0.00,997.98,3600.00
6,100242,301,69,EV,4.99,74.90,74.90,0.00,997.50,3600.00
6,100243,321,88,小客车,4.05,65.55,64.29,0.35,997.97,3600.00
6,100255,331,92,小客车,4.50,70.00,70.00,0.00,997.75,3600.00
6,100262,323,80,EV,4.86,73.60,64.21,0.04,44.41,2.49
6,100263,336,92,小客车,4.17,66.65,66.55,0.03,997.92,3600.00
6,100266,340,91,小客车,4.01,65.15,64.65,0.14,997.99,3600.00
6,100267,343,93,小客车,4.27,67.70,64.14,0.90,997.87,3600.00
6,100270,346,94,小客车,4.91,74.10,63.42,0.13,41.30,2.34
6,100282,349,86,EV,4.83,73.30,63.21,0.20,41.69,2.37
6,100302,356,71,EV,4.96,74.65,74.64,0.00,997.52,3600.00
7,100322,384,80,EV,4.02,65.20,65.20,0.00,997.99,3600.00
7,100342,401,82,EV,4.11,66.10,65.54,0.15,997.95,3600.00
7,100362,411,79,EV,4.73,72.30,72.30,0.00,997.63,3600.00
8,100382,425,77,EV,5.00,75.00,75.00,0.00,997.50,3600.00
8,100402,451,81,EV,4.15,66.50,66.50,0.00,997.92,3600.00
8,100422,467,83,EV,4.46,69.55,69.55,0.00,997.77,3600.00
9,100442,483,78,EV,4.46,69.65,69.65,0.00,997.77,3600.00
9,100462,496,75,EV,4.93,74.35,74.33,0.00,997.53,3600.00
