统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200005,25,20,小客车,4.97,69.50,69.50,0.00,997.51,3600.00
1,200011,33,21,小客车,4.98,69.60,46.43,0.00,32.89,2.55
1,200012,41,28,大客车,12.59,54.95,30.13,0.00,21.65,2.59
1,200025,55,22,小客车,4.21,54.30,40.70,0.00,25.24,2.23
1,200029,58,25,小客车,4.64,62.90,55.16,2.03,997.68,3600.00
1,200032,65,30,大客车,12.03,50.25,50.25,0.00,993.99,3600.00
1,200041,72,30,小客车,4.58,61.70,61.69,0.00,997.71,3600.00
1,200051,78,29,小客车,4.50,60.00,59.99,0.00,997.75,3600.00
1,200056,85,32,小客车,4.12,52.30,52.30,0.00,997.94,3600.00
1,200064,89,32,小客车,4.67,63.40,62.20,0.34,997.66,3600.00
1,200070,108,44,小客车,4.01,50.30,31.05,0.00,19.13,2.22
1,200071,94,27,小客车,4.84,66.90,45.39,0.00,30.48,2.42
1,200076,102,29,小客车,4.71,64.30,39.43,0.00,25.92,2.37
1,200083,113,33,小客车,4.58,61.50,21.15,0.00,12.77,2.17
1,200091,120,30,小客车,4.70,63.90,7.72,0.00,6.40,2.98
1,200096,207,28,小客车,4.79,65.80,9.33,1.09,5.55,2.14
