统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100003,10.75,33.15,22.40,380.65,0.19,61.70
1,1,300,100004,14.35,40.90,26.55,380.78,0.44,52.50
1,1,300,100005,13.05,34.20,21.15,380.74,0.06,65.00
1,1,300,100008,14.20,36.40,22.20,380.97,1.82,67.30
1,1,300,100009,16.60,39.60,23.00,381.06,0.55,61.10
1,1,300,100011,20.55,44.40,23.85,381.29,0.35,58.40
1,1,300,100014,19.20,40.80,21.60,381.03,0.27,64.30
1,1,300,100015,27.95,54.50,26.55,381.29,0.89,53.50
1,1,300,100016,33.05,56.75,23.70,381.03,0.41,58.90
1,1,300,100017,31.10,53.10,22.00,381.38,0.28,63.20
1,1,300,100020,29.90,56.95,27.05,381.10,0.10,50.90
1,1,300,100022,36.75,62.15,25.40,380.65,0.28,54.55
1,1,300,100024,32.15,59.85,27.70,380.78,3.40,56.40
1,1,300,100025,37.10,60.30,23.20,380.74,0.51,60.40
1,1,300,100027,38.70,162.95,124.25,381.10,102.58,63.30
1,1,300,100029,41.70,167.75,126.05,380.97,106.23,69.20
1,1,300,100031,40.75,163.45,122.70,381.38,99.70,59.70
1,1,300,100033,43.70,163.65,119.95,381.58,96.86,59.50
1,1,300,100034,48.25,166.45,118.20,381.16,95.67,60.90
1,1,300,100036,50.10,170.35,120.25,381.29,93.49,51.30
1,1,300,100038,49.20,169.00,119.80,380.78,97.14,60.50
1,1,300,100040,52.20,171.50,119.30,380.78,93.87,53.90
1,1,300,100042,54.15,170.55,116.40,380.74,89.44,50.85
1,1,300,100043,57.40,166.10,108.70,381.23,88.92,69.40
1,1,300,100044,60.50,175.95,115.45,381.65,91.84,58.20
1,1,300,100046,61.90,172.55,110.65,380.65,90.82,69.10
1,1,300,100050,62.10,173.45,111.35,381.13,86.72,55.70
1,1,300,100051,62.90,168.55,105.65,381.04,85.48,68.00
1,1,300,100052,65.15,175.75,110.60,380.97,81.91,47.80
1,1,300,100054,66.55,178.20,111.65,380.78,87.69,57.20
1,1,300,100057,69.30,171.05,101.75,381.51,80.42,64.40
1,1,300,100058,71.50,173.55,102.05,381.03,80.21,62.80
