统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100010,256,196,小客车,4.77,65.40,45.39,0.00,24.26,1.92
1,100012,262,200,小客车,4.42,58.30,56.75,0.00,97.34,6.18
1,700021,143,58,小客车,4.94,68.80,68.61,0.05,997.53,3600.00
1,700023,147,57,小客车,4.70,64.00,62.29,0.02,80.88,4.67
1,700032,151,30,小客车,4.58,61.70,59.19,0.02,65.76,4.00
1,700049,241,35,小客车,4.73,64.60,64.60,0.00,997.63,3600.00
1,800001,28,26,小客车,4.80,66.00,66.00,0.00,997.60,3600.00
1,800005,45,29,小客车,4.43,58.70,58.70,0.00,997.78,3600.00
1,800007,49,30,小客车,4.50,60.00,57.56,0.01,65.54,4.10
1,800015,111,32,小客车,4.22,54.50,54.50,0.00,997.89,3600.00
1,800019,128,26,小客车,4.94,68.80,66.87,0.00,166.63,8.97
1,800024,157,32,小客车,4.32,56.30,55.43,0.00,95.30,6.19
1,800034,219,31,小客车,4.33,56.50,55.54,0.00,103.72,6.72
1,800042,254,38,大客车,11.42,45.15,44.68,0.00,90.31,7.28
1,800044,265,32,小客车,4.36,57.20,52.79,0.03,43.91,2.99
1,800051,290,34,小客车,4.11,52.10,52.10,0.00,997.95,3600.00
1,900004,187,154,小客车,4.03,50.60,50.06,0.01,86.55,6.22
1,900005,191,149,小客车,4.12,52.40,49.70,0.00,51.13,3.70
1,900012,182,74,小客车,4.75,64.90,64.90,0.00,997.63,3600.00
1,1000001,165,155,小客车,4.46,59.10,55.71,0.04,51.46,3.33
1,1000003,162,86,小客车,4.75,65.00,61.65,0.00,67.77,3.96
1,1000004,194,68,小客车,4.57,61.40,55.02,0.00,44.31,2.90
1,1200009,211,126,小客车,4.01,50.20,49.92,0.01,119.49,8.62
1,1200012,204,111,小客车,4.71,64.30,62.94,0.00,130.83,7.48
