统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,0,0.00
1,1,200,30,0,0.00
1,1,200,31,0,0.00
1,1,200,32,0,0.00
1,1,200,33,0,0.00
1,1,200,34,0,0.00
1,1,200,35,0,0.00
1,1,200,36,0,0.00
1,1,200,37,0,0.00
1,1,200,38,0,0.00
1,1,200,39,0,0.00
1,1,200,40,0,0.00
1,1,200,41,0,0.00
1,1,200,42,0,0.00
1,1,200,43,0,0.00
1,1,200,44,0,0.00
1,1,200,45,0,0.00
1,1,200,46,0,0.00
1,1,200,47,0,0.00
1,1,200,48,0,0.00
1,1,200,49,0,0.00
1,1,200,50,0,0.00
1,1,200,51,0,0.00
1,1,200,52,0,0.00
1,1,200,53,0,0.00
1,1,200,54,1,4.07
1,1,200,55,1,4.07
1,1,200,56,2,13.25
1,1,200,57,2,12.06
1,1,200,58,3,21.98
1,1,200,59,3,19.51
1,1,200,60,3,18.07
1,1,200,61,4,27.19
1,1,200,62,4,25.32
1,1,200,63,4,24.11
1,1,200,64,6,38.84
1,1,200,65,6,36.82
1,1,200,66,6,35.40
1,1,200,67,6,34.40
1,1,200,68,6,33.72
1,1,200,69,9,62.64
1,1,200,70,9,61.78
1,1,200,71,10,61.09
1,1,200,72,10,60.15
1,1,200,73,10,59.29
1,1,200,74,10,58.23
1,1,200,75,10,57.22
1,1,200,76,10,56.44
1,1,200,77,10,55.65
1,1,200,78,10,55.07
1,1,200,79,11,60.52
1,1,200,80,11,60.46
1,1,200,81,11,60.39
1,1,200,82,11,60.28
1,1,200,83,11,60.22
1,1,200,84,12,60.10
1,1,200,85,12,60.03
1,1,200,86,13,62.95
1,1,200,87,13,62.95
1,1,200,88,13,62.95
1,1,200,89,13,62.95
1,1,200,90,14,75.25
1,1,200,91,14,73.06
1,1,200,92,14,72.03
1,1,200,93,14,71.53
1,1,200,94,14,71.32
1,1,200,95,14,71.15
1,1,200,96,15,71.05
1,1,200,97,16,80.93
1,1,200,98,16,79.03
1,1,200,99,16,77.67
1,1,200,100,16,76.90
1,1,200,101,19,84.92
1,1,200,102,17,68.95
1,1,200,103,17,68.52
1,1,200,104,17,68.28
1,1,200,105,18,77.60
1,1,200,106,18,76.97
1,1,200,107,18,76.65
1,1,200,108,18,76.47
1,1,200,109,18,76.33
1,1,200,110,18,76.22
1,1,200,111,18,76.12
1,1,200,112,18,76.09
1,1,200,113,18,75.98
1,1,200,114,19,75.90
1,1,200,115,19,74.32
