统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100012,115,39,小客车,4.13,42.50,24.90,0.65,15.00,2.17
1,100021,124,47,小客车,4.96,59.20,45.19,0.36,40.35,3.21
1,100036,261,30,小客车,4.63,52.60,25.55,2.26,15.33,2.16
1,100040,266,43,小客车,4.05,41.00,26.74,0.71,16.81,2.26
1,100043,268,40,小客车,4.01,40.20,25.02,0.52,15.25,2.19
1,100044,270,40,小客车,4.07,41.30,24.38,0.44,14.54,2.15
1,100050,273,57,小客车,4.58,51.70,24.56,0.40,14.07,2.06
2,100067,409,35,小客车,4.12,42.40,19.07,4.24,997.94,3600.00
2,100072,411,29,小客车,4.89,57.80,23.41,1.94,13.81,2.12
2,100077,416,36,小客车,4.33,46.60,19.51,0.04,11.11,2.05
2,100079,419,38,小客车,4.33,46.50,17.57,0.00,10.03,2.06
2,100084,422,87,小客车,4.73,54.60,17.32,0.09,9.86,2.05
2,100087,424,77,小客车,4.33,46.60,18.38,0.23,10.36,2.03
2,100091,427,69,小客车,4.86,57.10,19.66,0.27,11.14,2.04
2,100093,430,68,小客车,4.89,57.90,20.89,0.26,11.83,2.04
2,100098,433,50,小客车,4.17,43.40,21.29,0.19,12.25,2.07
2,100101,559,44,小客车,4.03,40.50,18.99,4.18,997.99,3600.00
2,100104,561,39,小客车,4.33,46.50,21.54,1.37,12.02,2.01
2,100108,563,39,小客车,4.12,42.30,20.53,0.10,11.85,2.08
2,100113,566,33,小客车,4.59,51.80,18.05,0.23,10.19,2.03
2,100115,569,38,小客车,4.25,45.10,17.17,0.00,9.77,2.05
2,100118,572,95,小客车,4.44,48.80,17.06,0.11,9.65,2.04
2,100127,575,50,小客车,4.73,54.60,18.15,0.23,10.28,2.04
2,100129,577,52,小客车,4.24,44.80,19.18,0.27,10.86,2.04
2,100132,580,42,小客车,4.04,40.80,20.01,0.27,11.48,2.06
2,100133,583,45,小客车,4.28,45.50,20.81,0.25,11.85,2.05
2,100139,585,34,小客车,4.40,48.00,21.29,0.00,11.67,1.97
3,100141,709,41,小客车,4.16,43.20,19.10,4.27,997.92,3600.00
3,100142,711,34,小客车,4.28,45.50,22.28,1.82,12.95,2.09
3,100144,713,30,小客车,4.82,56.30,23.87,1.12,13.67,2.06
3,100167,723,49,小客车,4.25,45.10,24.81,0.42,14.54,2.11
3,100170,725,44,小客车,4.54,50.90,25.14,0.40,14.47,2.07
3,100173,731,41,小客车,4.26,45.20,25.43,0.31,15.04,2.13
3,100175,859,47,小客车,4.26,45.20,19.17,4.32,997.87,3600.00
3,100185,863,37,小客车,4.01,40.20,23.79,1.15,14.06,2.13
3,100187,861,28,小客车,4.92,58.50,23.91,2.00,14.17,2.13
3,100195,870,29,小客车,4.84,56.90,23.99,0.50,13.65,2.05
3,100199,873,63,小客车,4.99,59.80,24.62,0.37,14.03,2.05
3,100207,883,37,小客车,4.07,41.40,38.32,0.08,48.77,4.58
4,100214,1009,41,小客车,4.03,40.60,18.99,4.18,997.98,3600.00
4,100216,1011,35,小客车,4.14,42.90,21.59,1.70,12.49,2.08
4,100219,1013,29,小客车,4.79,55.70,20.28,0.00,11.68,2.07
4,100224,1016,35,小客车,4.70,53.90,18.88,0.33,10.65,2.03
4,100232,1021,97,小客车,4.88,57.60,22.01,0.42,12.48,2.04
4,100242,1027,79,小客车,4.99,59.80,23.35,0.36,13.27,2.05
4,100250,1159,57,小客车,4.14,42.80,19.09,4.25,997.93,3600.00
4,100257,1163,33,小客车,4.39,47.80,21.82,0.50,12.49,2.06
4,100262,1166,28,小客车,4.86,57.20,19.73,0.00,11.29,2.06
4,100267,1169,35,小客车,4.27,45.40,18.84,0.00,10.74,2.05
4,100269,1172,84,小客车,4.38,47.60,16.26,0.00,9.25,2.05
4,100271,1174,85,小客车,4.42,48.30,17.86,0.32,10.04,2.02
4,100276,1177,63,小客车,4.08,41.60,19.40,0.34,11.04,2.05
4,100279,1180,53,小客车,4.37,47.40,20.50,0.33,11.62,2.04
4,100283,1182,47,小客车,4.73,54.60,21.75,0.32,12.32,2.04
4,100284,1185,44,小客车,4.78,55.50,22.55,0.00,12.30,1.96
