统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100002,150,142,大客车,12.34,45.80,45.78,0.00,993.83,3600.00
1,100004,159,142,小客车,4.03,40.60,40.10,0.00,108.03,9.70
1,100014,165,123,小客车,4.11,42.10,40.17,0.00,61.15,5.48
1,100016,167,111,小客车,4.87,57.30,40.17,0.00,26.99,2.42
1,100019,171,103,小客车,4.42,48.40,40.11,0.00,33.40,3.00
1,100024,174,81,小客车,4.45,48.90,40.06,0.00,32.62,2.93
1,100029,299,181,小客车,4.36,47.10,44.96,0.00,71.18,5.70
1,400011,98,81,小客车,4.97,59.50,59.50,0.00,997.51,3600.00
1,400014,114,91,小客车,4.39,47.80,47.68,0.00,262.46,19.82
1,400027,124,78,小客车,4.74,54.70,53.55,0.00,129.40,8.70
1,400037,244,186,小客车,4.46,49.10,49.10,0.00,997.77,3600.00
1,400046,247,175,小客车,4.83,56.50,48.79,0.00,44.76,3.30
1,400053,251,162,小客车,4.70,53.90,47.95,0.01,48.13,3.61
1,400057,260,166,小客车,4.50,50.00,44.19,0.01,43.25,3.52
1,400066,256,154,小客车,4.37,47.30,45.07,0.01,65.69,5.25
1,400068,264,157,小客车,4.53,50.60,43.50,0.02,39.24,3.25
1,400075,267,154,小客车,4.36,47.10,42.31,0.02,43.79,3.73
1,400079,281,154,小客车,4.50,50.00,40.39,0.01,32.02,2.85
1,400098,270,108,小客车,4.92,58.40,42.14,0.02,29.00,2.48
1,400100,273,108,小客车,4.51,50.20,41.74,0.01,34.90,3.01
1,400103,278,110,小客车,4.20,44.00,40.62,0.01,47.80,4.24
1,400109,293,113,小客车,4.17,43.50,41.43,0.00,62.58,5.44
1,400112,284,100,小客车,4.63,52.50,40.25,0.01,29.56,2.64
1,400117,287,94,小客车,4.64,52.80,40.11,0.01,29.13,2.61
2,100033,303,164,小客车,4.52,50.40,44.90,0.00,45.62,3.66
2,100034,306,162,小客车,4.87,57.40,44.85,0.00,33.86,2.72
2,100047,309,107,小客车,4.88,57.70,44.90,0.00,33.72,2.70
2,100048,316,109,小客车,4.20,43.90,42.58,0.00,77.66,6.57
2,100052,325,109,大客车,11.89,42.10,40.26,0.01,63.27,5.66
2,100053,319,103,小客车,4.68,53.70,42.47,0.00,32.59,2.76
2,100058,328,91,小客车,4.29,45.70,39.78,0.01,37.22,3.37
2,100062,332,83,小客车,4.36,47.20,39.43,0.01,33.30,3.04
2,100064,460,201,小客车,4.07,41.30,41.00,0.00,142.05,12.47
2,100065,449,187,小客车,4.72,54.40,49.40,0.00,56.71,4.13
2,100069,464,193,小客车,4.27,45.40,40.57,0.00,41.47,3.68
2,100074,467,176,小客车,4.79,55.70,40.51,0.01,28.10,2.50
2,100081,470,152,小客车,4.66,53.20,40.45,0.01,29.44,2.62
2,100082,475,151,小客车,4.09,41.80,39.41,0.01,53.37,4.88
2,100089,481,134,小客车,4.27,45.40,39.16,0.01,35.77,3.29
2,100091,478,124,小客车,4.86,57.10,39.37,0.01,26.11,2.39
2,100098,485,106,小客车,4.17,43.40,38.77,0.01,39.58,3.68
2,400125,401,181,小客车,4.05,41.10,41.10,0.00,997.97,3600.00
2,400142,404,163,小客车,4.50,50.00,41.05,0.00,33.57,2.94
2,400148,407,157,小客车,4.46,49.10,40.92,0.00,34.46,3.03
2,400153,410,143,小客车,4.67,53.50,40.84,0.00,29.86,2.63
2,400158,413,143,小客车,4.46,49.30,40.62,0.01,33.41,2.96
2,400167,417,135,小客车,4.53,50.50,40.43,0.01,31.58,2.81
2,400170,435,150,小客车,4.40,48.00,38.57,0.02,30.27,2.83
2,400171,420,134,小客车,4.46,49.20,40.14,0.01,32.37,2.90
2,400179,424,120,小客车,4.18,43.60,39.22,0.01,40.95,3.76
2,400186,427,110,小客车,4.70,53.90,39.09,0.01,27.02,2.49
2,400195,432,100,小客车,4.66,53.10,38.87,0.01,27.10,2.51
2,400198,429,96,小客车,4.96,59.20,39.02,0.01,25.09,2.32
2,400200,438,95,小客车,4.96,59.10,38.51,0.01,24.59,2.30
2,400205,445,93,小客车,4.33,46.70,44.54,0.00,71.44,5.77
2,400209,548,191,小客车,4.17,43.30,43.30,0.00,997.92,3600.00
2,400222,552,181,小客车,4.66,53.20,43.27,0.00,34.80,2.89
2,400226,555,180,小客车,4.51,50.20,43.07,0.00,38.82,3.24
2,400235,559,170,小客车,4.37,47.30,42.40,0.01,43.78,3.72
2,400239,565,174,小客车,4.05,41.10,39.58,0.01,64.72,5.89
2,400249,568,161,小客车,4.98,59.60,39.53,0.01,25.53,2.32
2,400255,570,151,小客车,4.75,55.10,39.44,0.01,26.94,2.46
2,400262,574,140,小客车,4.17,43.30,38.68,0.01,39.37,3.66
2,400268,585,135,小客车,4.59,51.80,36.97,0.01,25.17,2.45
2,400274,578,125,小客车,4.17,43.50,38.06,0.01,36.11,3.42
2,400275,582,128,小客车,4.04,40.90,37.08,0.01,39.95,3.88
2,400277,591,131,小客车,4.32,46.40,39.22,0.00,34.63,3.18
2,400294,594,113,小客车,4.91,58.20,39.53,0.00,26.04,2.37
2,400296,587,95,小客车,4.95,59.00,36.93,0.01,23.08,2.25
3,100099,601,222,小客车,4.51,50.20,47.81,0.00,78.09,5.88
3,100103,607,206,小客车,4.37,47.30,45.50,0.00,74.62,5.90
3,100107,614,211,小客车,4.08,41.70,40.83,0.01,86.54,7.63
