统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500005,179,167,电动车,2.53,26.15,26.07,0.00,101.61,14.03
1,500010,199,175,电动车,2.38,21.05,21.03,0.00,141.29,24.18
1,500013,202,169,电动车,2.52,25.55,21.03,0.00,12.60,2.16
1,500019,217,166,自行车,1.70,13.70,19.95,0.00,86.17,15.55
1,800006,165,156,电动车,2.55,26.55,26.55,0.00,998.73,3600.00
1,800030,299,236,电动车,2.62,29.05,29.05,0.00,998.69,3600.00
2,500022,351,288,自行车,1.79,14.86,19.94,0.00,31.98,5.77
2,500028,357,282,自行车,1.75,14.28,19.58,0.00,30.06,5.53
2,500031,342,258,电动车,2.55,26.65,26.61,0.00,20.10,2.72
2,500042,362,248,自行车,1.81,15.10,19.56,0.00,29.45,5.42
2,500049,367,243,自行车,1.86,15.74,19.46,0.00,2.80,0.52
2,500057,374,225,自行车,1.89,16.22,19.65,0.00,22.44,4.11
2,500064,379,223,自行车,1.81,15.16,19.54,0.00,28.92,5.33
2,500066,494,336,电动车,2.45,23.20,20.49,0.02,6.70,1.18
2,500069,505,339,自行车,1.81,15.14,19.91,0.00,10.24,1.85
2,500082,367,169,自行车,1.82,15.20,19.97,0.00,22.71,4.09
2,500085,370,168,电动车,2.43,22.70,19.97,0.00,9.51,1.71
2,500088,493,286,电动车,2.62,28.95,23.15,0.00,5.99,0.93
2,500091,488,272,电动车,2.63,29.50,20.33,0.00,10.23,1.81
2,500099,503,268,自行车,1.76,14.46,20.00,0.00,51.44,9.26
2,500106,506,249,电动车,2.44,22.95,20.00,0.00,2.06,0.37
2,500109,518,253,自行车,1.83,15.36,19.87,0.00,11.94,2.16
2,500113,508,238,电动车,2.61,28.75,19.91,0.00,6.12,1.11
2,500118,521,228,电动车,2.43,22.75,19.88,0.00,13.59,2.46
2,500123,508,194,电动车,2.57,27.30,19.96,0.00,2.27,0.41
2,500126,523,202,电动车,2.57,27.40,19.88,0.00,10.33,1.87
2,500132,515,182,自行车,1.85,15.66,19.73,0.00,37.94,6.92
2,800012,322,300,自行车,1.66,13.14,20.00,0.00,13.16,2.37
2,800016,301,270,电动车,2.52,25.80,25.80,0.00,10.25,1.43
2,800029,325,262,自行车,1.84,15.48,20.00,0.00,0.50,0.09
2,800035,307,236,电动车,2.51,25.35,24.93,0.00,41.77,6.03
2,800038,325,251,电动车,2.40,21.70,19.99,0.00,16.67,3.00
2,800042,332,250,自行车,1.90,16.30,19.71,0.00,3.67,0.67
2,800051,310,217,电动车,2.61,28.75,24.90,0.00,16.44,2.38
2,800061,338,233,电动车,2.39,21.30,19.79,0.00,17.39,3.16
2,800072,331,214,自行车,1.65,13.06,19.63,0.00,31.27,5.74
2,800074,345,226,自行车,1.81,15.18,19.72,0.00,21.29,3.89
2,800079,314,186,电动车,2.59,27.90,26.56,0.00,28.45,3.86
2,800086,320,183,电动车,2.56,26.85,26.31,0.00,41.12,5.63
2,800087,470,328,自行车,1.73,14.10,20.00,0.00,99.49,17.91
2,800088,334,192,电动车,2.60,28.40,19.71,0.00,9.94,1.82
2,800099,472,315,自行车,1.71,13.80,20.00,0.00,8.71,1.57
2,800105,475,312,电动车,2.40,21.75,19.97,0.00,1.29,0.23
2,800115,472,293,电动车,2.53,26.05,20.00,0.00,1.07,0.19
2,800118,455,271,电动车,2.51,25.35,25.35,0.00,998.74,3600.00
2,800123,474,279,电动车,2.63,29.25,20.00,0.00,9.99,1.80
2,800133,479,272,电动车,2.50,25.05,20.00,0.00,9.59,1.73
2,800143,477,249,电动车,2.61,28.55,19.97,0.00,0.50,0.09
2,800146,477,244,电动车,2.50,24.95,19.99,0.00,8.37,1.51
2,800152,490,248,自行车,1.89,16.14,19.88,0.00,6.03,1.09
2,800155,479,228,电动车,2.61,28.80,19.97,0.00,0.50,0.09
2,800163,482,215,电动车,2.51,25.25,20.02,0.00,11.38,2.05
2,800168,484,214,电动车,2.54,26.30,20.14,0.00,11.00,1.97
2,800171,491,216,电动车,2.53,25.95,21.97,0.00,6.88,1.13
2,800181,486,197,电动车,2.62,29.05,20.22,0.00,10.23,1.82
3,500135,653,302,电动车,2.47,24.00,19.13,0.00,2.19,0.41
3,500153,660,276,电动车,2.41,22.05,20.23,0.00,8.66,1.54
3,500158,670,271,自行车,1.78,14.78,19.83,0.00,44.08,8.00
3,500163,646,237,电动车,2.43,22.55,22.42,0.00,0.50,0.08
3,500169,804,384,自行车,1.73,14.04,19.75,0.00,3.97,0.72
3,500175,662,229,电动车,2.59,27.85,20.29,0.00,0.50,0.09
3,500178,648,212,电动车,2.55,26.70,22.43,0.00,11.72,1.88
