统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200001,37,32,小客车,4.70,53.90,53.90,0.00,997.65,3600.00
1,200002,52,42,大客车,11.81,41.40,41.40,0.00,994.10,3600.00
1,200008,64,36,小客车,4.46,49.10,48.89,0.04,997.77,3600.00
1,200013,67,34,小客车,4.97,59.50,47.56,0.04,40.86,3.09
1,200014,78,42,小客车,4.19,43.80,34.58,0.23,29.23,3.04
1,200016,75,38,小客车,4.39,47.80,36.14,1.01,24.50,2.44
1,200020,73,31,小客车,5.00,59.90,57.79,0.34,997.50,3600.00
1,200022,83,38,小客车,4.58,51.60,43.21,0.00,42.50,3.54
1,200026,87,39,小客车,4.63,52.50,45.56,0.06,47.17,3.73
1,200028,97,46,小客车,4.49,49.70,45.77,0.00,61.49,4.84
1,200031,92,37,小客车,4.54,50.80,45.63,0.00,56.29,4.44
1,200033,103,40,小客车,4.21,44.30,36.12,0.16,32.35,3.22
1,200034,100,38,小客车,4.70,53.90,40.76,0.17,32.24,2.85
1,200036,106,42,小客车,4.91,58.10,36.28,0.13,25.62,2.54
1,200037,112,46,小客车,4.64,52.90,36.02,0.00,27.77,2.78
1,200038,109,43,小客车,4.49,49.70,30.87,0.00,20.56,2.40
1,200046,122,38,小客车,4.60,52.00,51.20,0.15,997.70,3600.00
1,200048,128,40,小客车,4.83,56.50,52.43,0.03,74.55,5.12
1,200053,135,37,小客车,4.42,48.40,48.16,0.05,997.79,3600.00
1,200054,145,44,小客车,4.34,46.90,46.36,0.02,164.87,12.80
1,200056,151,43,小客车,4.04,40.80,38.73,0.00,62.10,5.77
1,200060,153,35,小客车,4.79,55.90,37.04,0.00,25.70,2.50
1,200061,156,35,小客车,4.84,56.90,32.37,0.46,22.59,2.51
1,200064,169,48,小客车,4.12,42.30,27.10,1.15,16.08,2.14
1,200069,163,36,小客车,4.58,51.60,48.81,0.07,69.84,5.15
1,200072,167,40,小客车,4.67,53.40,47.97,0.02,54.92,4.12
1,200073,176,46,小客车,4.02,40.40,32.90,0.21,29.49,3.23
1,200074,173,44,小客车,4.75,55.10,42.55,0.15,39.13,3.31
1,200075,179,43,小客车,4.93,58.70,32.53,0.22,21.53,2.38
1,200078,188,47,小客车,4.01,40.30,29.79,0.24,24.33,2.94
1,200080,185,40,小客车,4.54,50.90,31.34,0.23,22.25,2.56
1,200081,182,38,小客车,4.50,50.00,33.72,0.08,25.41,2.71
1,200086,199,46,小客车,4.20,44.00,32.71,0.00,26.92,2.96
1,200087,196,42,小客车,4.22,44.40,42.21,0.01,73.43,6.26
1,200093,204,44,小客车,4.28,45.50,30.26,0.34,22.33,2.66
1,200095,202,40,小客车,4.33,46.50,33.18,0.38,25.25,2.74
1,200097,207,41,小客车,4.58,51.60,31.35,0.18,21.93,2.52
1,200099,211,37,小客车,4.70,53.90,40.43,0.00,33.33,2.97
1,200102,224,42,大客车,12.01,43.10,38.40,0.25,50.81,4.76
1,200104,220,36,小客车,4.79,55.80,53.98,0.13,140.88,9.40
1,200105,229,43,小客车,4.20,44.00,38.48,0.05,51.82,4.85
1,200107,235,46,小客车,4.22,44.50,32.83,0.15,26.22,2.87
1,200109,232,42,小客车,4.39,47.80,34.20,0.21,26.07,2.74
1,200110,240,50,小客车,4.96,59.10,30.25,0.25,20.16,2.40
1,200115,238,41,小客车,4.42,48.50,30.26,0.27,21.63,2.57
1,200123,253,44,小客车,4.10,42.00,41.63,0.01,136.57,11.81
1,200126,256,45,小客车,4.61,52.20,40.82,0.00,34.65,3.06
1,200128,262,46,小客车,4.08,41.60,38.52,0.00,55.51,5.19
1,200132,265,46,小客车,4.39,47.90,39.11,0.04,35.27,3.25
1,200136,273,47,小客车,4.96,59.30,28.07,0.56,18.76,2.41
1,200138,270,43,小客车,4.29,45.80,29.49,0.46,18.91,2.31
1,200139,268,39,小客车,4.50,50.10,34.08,0.28,25.12,2.65
1,200142,277,41,小客车,4.63,52.50,11.35,0.44,5.01,1.59
1,200144,275,42,小客车,4.50,50.00,26.18,0.01,20.69,5.69
1,200154,290,45,小客车,4.45,48.90,48.01,0.00,152.89,11.46
1,200157,296,46,小客车,4.07,41.40,39.84,0.01,72.27,6.53
1,200158,299,41,小客车,4.79,55.70,39.65,0.04,30.27,2.75
2,200160,302,38,小客车,4.46,49.30,34.31,0.26,25.94,2.72
2,200162,305,39,小客车,4.88,57.70,39.52,0.00,29.88,2.72
2,200163,310,41,小客车,4.65,53.00,28.84,0.57,20.67,2.58
2,200167,308,35,小客车,4.89,57.90,36.76,0.14,22.83,2.24
2,200172,315,38,小客车,4.40,48.00,40.46,0.00,40.88,3.64
2,200174,319,39,小客车,4.63,52.60,41.28,0.12,35.17,3.07
2,200176,327,46,小客车,4.13,42.60,38.42,0.10,44.14,4.14
2,200178,323,37,小客车,4.50,49.90,43.63,0.00,46.36,3.83
2,200181,332,42,小客车,4.18,43.60,40.44,0.07,91.77,8.17
2,200183,334,41,小客车,4.78,55.60,44.75,1.68,997.61,3600.00
2,200188,337,35,小客车,4.70,53.90,39.33,0.46,31.11,2.85
2,200191,343,38,小客车,4.88,57.70,38.16,0.32,27.71,2.61
2,200193,340,34,小客车,4.82,56.40,40.51,0.04,30.97,2.75
2,200195,350,42,小客车,4.13,42.70,42.04,0.15,997.93,3600.00
2,200196,353,44,小客车,4.09,41.90,37.42,0.85,116.23,11.18
2,200199,357,37,小客车,4.57,51.40,40.97,0.01,35.63,3.13
2,200201,362,38,小客车,4.46,49.10,42.67,0.00,48.51,4.09
2,200204,367,39,小客车,4.43,48.70,47.69,0.03,123.72,9.34
2,200205,373,44,小客车,4.49,49.80,36.06,0.20,27.85,2.78
2,200206,370,39,小客车,4.20,43.90,39.59,0.07,44.08,4.01
2,200207,376,42,小客车,4.33,46.70,32.19,0.32,24.20,2.71
2,200209,379,37,小客车,4.54,50.80,30.21,0.35,21.27,2.53
2,200211,386,41,小客车,4.17,43.30,41.08,0.06,66.26,5.81
2,200213,390,44,小客车,4.08,41.70,38.33,0.03,48.09,4.52
2,200214,394,47,小客车,4.31,46.20,38.00,0.01,34.96,3.31
2,200217,398,46,小客车,4.08,41.50,37.72,0.05,46.99,4.48
2,200221,402,46,小客车,4.28,45.60,37.99,0.07,35.69,3.38
2,200222,405,42,小客车,4.10,42.00,32.85,0.17,27.64,3.03
2,200225,414,44,小客车,4.06,41.20,36.03,0.09,37.20,3.72
2,200226,418,45,小客车,4.11,42.10,37.60,0.00,42.90,4.11
2,200227,411,37,小客车,4.52,50.40,44.49,0.00,51.15,4.14
2,200229,421,44,小客车,4.17,43.40,33.29,0.15,27.34,2.96
2,200233,425,39,小客车,4.51,50.20,36.10,0.00,28.18,2.81
2,200234,435,52,小客车,4.12,42.30,36.40,0.01,15.48,3.06
2,200236,429,41,小客车,4.33,46.70,40.40,0.00,43.05,3.84
2,200241,442,44,小客车,4.05,41.10,38.55,0.14,74.78,6.98
2,200242,438,32,小客车,4.98,59.60,44.81,0.12,42.09,3.38
2,200243,448,42,小客车,4.24,44.70,41.30,0.00,54.54,4.75
2,200246,450,41,小客车,4.50,49.90,34.83,0.26,26.44,2.73
2,200250,463,43,小客车,4.09,41.80,41.41,0.00,168.63,14.66
2,200254,470,41,小客车,4.68,53.60,39.40,0.05,30.66,2.80
2,200255,467,37,小客车,4.58,51.60,41.68,0.00,36.94,3.19
2,200256,476,45,小客车,4.25,45.00,33.79,2.14,67.24,7.16
2,200259,473,39,小客车,4.63,52.60,34.41,0.00,25.61,2.68
2,200261,478,42,小客车,4.75,55.00,39.45,2.44,110.07,10.05
2,200262,481,45,小客车,4.80,56.00,39.07,0.74,29.21,2.69
2,200270,486,36,小客车,4.59,51.80,47.67,0.00,60.73,4.59
2,200271,489,36,小客车,4.86,57.10,42.80,0.17,33.32,2.80
2,200273,494,39,小客车,4.30,46.00,42.33,0.02,54.94,4.67
2,200275,497,40,小客车,4.54,50.70,42.85,0.04,41.31,3.47
2,200277,504,48,小客车,4.04,40.90,39.60,0.01,25.88,4.71
2,200281,503,39,小客车,4.38,47.60,44.82,0.01,65.83,5.29
2,200283,506,38,小客车,4.62,52.40,37.89,1.08,37.99,3.61
2,200284,515,45,小客车,4.03,40.50,34.46,0.24,32.76,3.42
2,200285,509,38,小客车,4.53,50.60,43.17,0.13,48.11,4.01
2,200287,512,34,小客车,4.82,56.40,46.87,0.05,43.35,3.33
2,200292,524,38,小客车,4.29,45.70,44.54,0.05,166.80,13.48
2,200294,527,37,小客车,4.78,55.50,43.20,0.03,35.98,3.00
2,200297,532,38,小客车,4.63,52.60,46.37,0.07,50.81,3.95
2,200301,535,39,小客车,4.96,59.10,46.81,0.00,39.95,3.07
2,200304,548,43,小客车,4.05,41.10,40.43,0.00,164.86,14.68
2,200308,551,43,小客车,4.69,53.80,42.88,0.00,37.68,3.16
2,200310,557,43,小客车,4.05,41.00,38.78,0.02,61.93,5.75
2,200313,560,42,小客车,4.83,56.50,39.18,0.04,29.37,2.70
2,200316,563,44,小客车,4.62,52.40,33.80,0.00,24.66,2.63
2,200321,578,52,小客车,4.05,41.00,35.37,0.08,35.87,3.65
2,200322,566,38,小客车,4.88,57.60,28.26,0.20,19.60,2.50
2,200323,571,42,小客车,4.32,46.40,43.92,0.14,83.79,6.87
2,200324,574,44,小客车,4.34,46.90,38.92,0.13,35.30,3.27
2,200326,584,51,小客车,4.00,40.00,33.30,0.09,32.23,3.48
2,200327,581,43,小客车,4.82,56.30,35.01,0.08,24.11,2.48
2,200328,593,52,小客车,4.06,41.20,22.92,3.69,57.53,9.04
2,200330,599,59,小客车,4.88,57.60,37.09,2.76,85.68,8.32
2,200331,588,48,小客车,4.46,49.10,22.64,0.00,15.44,2.45
2,200333,585,47,小客车,4.05,41.00,34.64,0.01,31.19,6.48
2,200337,591,48,小客车,4.96,59.10,24.47,0.01,16.97,4.99
2,200341,597,46,小客车,4.47,49.50,20.30,1.25,26.70,4.74
3,200342,602,52,小客车,4.36,47.10,36.80,0.45,30.47,2.98
3,200348,605,48,小客车,4.44,48.80,36.78,0.12,29.61,2.90
3,200355,615,48,小客车,4.49,49.70,35.73,0.01,12.59,2.54
3,200357,609,39,小客车,4.77,55.40,43.53,0.00,39.56,3.27
3,200362,623,39,小客车,4.33,46.60,45.05,0.00,91.85,7.34
3,200363,625,38,小客车,4.71,54.30,38.29,0.22,28.57,2.69
3,200366,634,43,小客车,4.15,43.00,39.75,0.33,87.66,7.94
3,200369,630,36,小客车,4.49,49.80,43.49,0.00,47.80,3.96
3,200373,637,37,小客车,4.54,50.80,37.31,0.09,29.21,2.82
3,200375,641,39,小客车,4.61,52.20,32.30,0.00,52.74,5.88
3,200377,644,39,小客车,4.58,51.60,35.43,2.51,105.12,10.68
3,200379,647,36,小客车,4.96,59.10,46.15,1.27,106.25,8.29
3,200383,656,41,小客车,4.51,50.20,46.42,0.12,106.58,8.27
3,200387,664,40,小客车,4.21,44.30,42.66,0.00,97.31,8.21
3,200389,669,43,小客车,4.31,46.20,40.57,0.00,43.89,3.89
3,200392,678,45,小客车,4.54,50.90,35.52,0.86,56.42,5.72
3,200394,675,38,小客车,4.45,49.00,39.11,0.13,34.64,3.19
3,200397,671,31,小客车,4.93,58.60,35.54,0.25,24.81,2.51
3,200398,680,39,小客车,4.79,55.90,43.95,0.31,94.62,7.75
3,200401,684,41,小客车,4.34,46.90,42.94,0.00,94.79,7.95
3,200403,696,48,小客车,4.14,42.80,26.77,0.16,52.15,7.01
3,200405,691,42,小客车,4.21,44.30,37.41,0.00,29.88,2.88
3,200411,710,47,小客车,4.01,40.30,32.41,0.15,28.41,3.16
