统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,700001,89,83,电动车,2.37,20.65,20.65,0.00,998.82,3600.00
1,700002,97,90,自行车,1.92,16.58,19.81,0.00,45.24,8.22
1,700006,105,81,电动车,2.39,21.25,21.25,0.00,89.90,15.23
1,700007,114,86,自行车,1.88,16.00,19.98,0.00,48.54,8.74
1,700009,123,86,自行车,1.68,13.46,19.93,0.01,30.08,5.43
1,700010,119,86,电动车,2.61,28.65,22.37,0.01,3.21,1.03
1,700011,116,78,电动车,2.52,25.55,19.74,0.21,10.77,1.96
1,700013,129,91,电动车,2.48,24.20,19.86,0.01,5.25,1.90
1,700014,116,72,电动车,2.46,23.80,23.70,0.00,0.50,0.08
1,700015,136,86,自行车,1.94,16.84,19.85,0.00,50.78,9.21
1,700019,154,86,自行车,1.85,15.64,20.00,0.00,91.95,16.55
1,700021,139,72,电动车,2.62,29.05,17.56,0.01,2.82,1.16
1,700024,165,86,自行车,1.94,16.82,20.00,0.00,167.92,30.23
1,700025,143,68,电动车,2.59,27.95,27.37,0.01,3.65,0.96
1,700026,165,75,电动车,2.45,23.20,23.18,0.00,1.55,0.24
1,700029,181,87,自行车,1.85,15.66,20.00,0.00,101.94,18.35
1,700031,167,69,电动车,2.64,29.60,21.15,0.31,7.87,1.34
1,700032,186,87,自行车,1.81,15.10,16.17,0.00,8.24,1.83
1,700033,184,83,电动车,2.50,24.85,20.44,0.12,11.52,2.03
1,700034,190,94,自行车,1.67,13.20,19.46,0.01,6.59,2.44
1,700037,202,87,自行车,1.65,13.04,19.92,0.00,70.33,12.71
1,700040,190,70,电动车,2.51,25.25,19.79,0.00,7.03,1.28
1,700041,204,81,电动车,2.62,28.85,19.80,0.00,9.85,1.79
1,700042,212,89,自行车,1.71,13.78,18.92,0.01,18.49,3.52
1,700045,210,89,电动车,2.64,29.70,20.51,0.01,4.11,1.44
1,700047,219,86,自行车,1.86,15.74,20.00,0.00,34.54,6.22
1,700048,221,88,电动车,2.64,29.55,24.58,0.73,8.49,1.24
1,700049,226,86,自行车,1.91,16.40,19.95,0.01,86.39,15.59
1,700050,214,73,电动车,2.63,29.20,19.13,0.00,9.32,1.75
1,700054,234,86,自行车,1.73,14.12,20.00,0.00,44.30,7.97
1,700058,258,84,电动车,2.37,20.65,20.62,0.00,128.93,22.51
1,700059,265,87,自行车,1.87,15.88,19.99,0.00,42.31,7.62
1,700062,270,89,自行车,1.81,15.16,19.31,0.00,23.24,4.33
1,700065,272,86,电动车,2.50,25.15,21.31,0.77,10.10,1.71
1,700066,276,92,电动车,2.62,28.90,22.14,0.01,5.04,1.64
1,700067,277,87,自行车,1.81,15.14,19.97,0.00,14.40,2.60
1,700070,287,97,电动车,2.41,22.15,19.69,0.01,6.67,2.44
1,700079,284,63,电动车,2.59,28.10,27.82,0.00,62.83,8.13
1,700081,299,74,电动车,2.45,23.30,23.30,0.00,83.64,12.92
2,700077,306,92,自行车,1.86,15.86,19.94,0.01,0.62,0.22
2,700080,310,87,自行车,1.82,15.20,19.97,0.00,26.48,4.77
2,700083,313,79,电动车,2.43,22.70,16.36,0.00,3.68,0.81
2,700085,312,68,电动车,2.61,28.55,21.24,0.00,7.99,1.35
2,700089,336,87,自行车,1.94,16.80,20.00,0.00,0.50,0.09
2,700090,336,83,电动车,2.37,20.75,20.73,0.00,109.13,18.95
2,700091,321,67,电动车,2.53,26.10,25.90,0.00,60.74,8.44
2,700096,363,98,电动车,2.65,29.90,27.05,0.01,1.86,0.50
2,700099,367,86,自行车,1.94,16.82,20.00,0.00,47.83,8.61
2,700100,369,87,电动车,2.58,27.50,22.99,0.71,9.97,1.56
2,700102,373,87,自行车,1.68,13.46,19.10,0.18,90.20,17.00
2,700107,386,94,自行车,1.83,15.36,19.61,0.00,31.24,5.73
2,700108,358,71,电动车,2.58,27.55,22.74,0.01,6.03,1.91
2,700109,380,87,自行车,1.73,14.02,19.99,0.00,2.93,0.53
2,700111,359,61,电动车,2.61,28.75,21.95,0.00,8.89,1.46
2,700112,393,87,自行车,1.78,14.76,19.92,0.00,67.86,12.27
2,700113,379,74,电动车,2.47,23.85,22.23,0.00,26.81,4.34
2,700114,398,86,自行车,1.86,15.80,20.00,0.00,97.00,17.46
2,700116,401,89,电动车,2.43,22.75,20.18,0.05,13.87,2.47
2,700117,405,87,自行车,1.71,13.80,19.92,0.02,38.13,6.89
2,700121,418,87,电动车,2.57,27.30,21.19,0.01,5.05,1.72
